Station Date,Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2/11/2015,"5,613","16,664","36,806","57,346","21,546","14,585","11,946","3,930","3,056","13,941","2,037","3,768","9,679","8,563","11,264","17,040","14,799","4,786","8,378","3,123","7,987","8,478","3,496","43,054","2,663","10,777","12,456","15,810","21,011","15,071","9,385","30,563","21,279","34,928","31,657","7,010","37,284","27,594","26,786","21,032","28,283","167,312","41,447","27,664","24,808","25,166","38,695","33,888","26,261","12,108","32,907","7,439","7,489","18,697","8,102","3,538","3,172","11,052","10,272","7,531","35,683","16,822","7,096","20,335","16,753","29,527","41,384","40,328","26,539","27,423","78,074","20,990","32,159","47,076","29,750","65,136","19,954","20,069","16,421","10,697","9,745","33,171","17,401","7,303","7,014","39,259","18,330","19,868","19,090","8,283","11,330","4,641","4,262","4,032","8,258","9,229","11,849","16,701","28,968","24,439","11,048","11,907","12,120","10,943","11,387","7,993","7,687"
2/12/2015,"5,675","17,138","37,279","58,626","21,725","14,430","12,017","3,880","3,101","14,154","2,042","3,680","10,029","8,753","11,306","17,250","21,775","4,767","8,559","3,339","7,951","8,551","3,519","41,017","2,458","10,869","12,186","15,718","20,878","15,098","9,422","29,977","21,123","33,734","32,523","6,882","37,321","27,594","26,585","20,929","27,528","171,209","41,532","26,322","24,863","24,811","38,642","33,460","24,889","12,119","32,060","7,548","7,589","18,869","7,978","3,573","3,077","10,935","9,902","7,301","35,921","17,573","6,987","20,025","16,885","29,403","41,412","39,558","25,969","28,578","77,536","20,446","32,839","47,493","30,226","68,081","19,695","20,052","16,726","10,776","9,698","39,973","17,079","7,488","7,136","39,086","18,021","19,997","18,959","8,326","11,301","4,703","4,275","3,926","8,283","9,233","11,826","16,053","29,085","24,709","10,912","11,514","12,056","10,949","11,289","7,846","7,773"
2/13/2015,"6,003","18,018","39,461","65,516","22,740","14,767","12,468","3,959","3,092","13,458","2,171","3,754","10,514","8,957","14,263","17,687","15,443","4,959","8,786","3,875","8,151","8,746","3,575","41,713","2,371","11,061","12,602","16,651","21,613","15,578","9,710","30,240","22,679","35,075","35,298","7,146","38,137","28,144","27,214","21,502","28,042","187,581","45,377","27,921","26,081","26,547","40,806","34,732","26,745","12,320","32,382","7,547","7,734","19,560","8,605","3,580","3,086","11,198","10,047","7,678","37,590","18,494","7,388","20,680","16,877","31,620","44,977","40,828","26,622","27,939","86,115","22,310","34,409","51,638","32,355","79,720","20,955","20,895","17,233","11,339","10,083","43,862","18,661","8,363","7,551","41,518","18,562","20,311","19,965","8,462","11,539","5,186","4,671","3,975","8,330","9,770","12,093","17,150","30,461","26,614","11,044","12,195","12,419","11,154","11,673","7,942","7,878"
2/14/2015,"5,100","11,739","22,601","64,302","14,927","9,729","8,968","3,783","2,639","9,505","1,749","3,096","10,694","6,959","13,488","7,064","7,642","4,288","8,730","3,868","5,795","7,880","1,573","34,707","2,602","11,958","10,055","12,670","15,305","13,451","8,399","27,557","20,960","27,216","30,000","3,729","32,225","23,095","21,227","18,435","14,533","179,372","44,074","23,518","18,124","24,150","43,517","30,992","22,534","9,532","26,369","5,897","5,597","17,135","9,763","3,033","1,953","8,695","8,930","6,314","42,396","15,992","6,382","17,411","12,431","29,103","40,869","33,359","21,011","27,371","90,418","14,505","29,802","45,829","26,945","71,681","15,706","18,749","10,709","9,266","8,607","43,135","13,784","11,067","6,548","21,972","17,840","14,213","18,922","7,477","10,450","4,374","2,525","3,727","6,912","8,868","12,772","12,913","20,403","24,146","9,727","10,393","10,874","9,454","10,569","7,021","6,874"
2/15/2015,"4,006","10,097","17,575","51,602","11,510","7,856","6,815","3,320","2,251","7,269","1,392","2,554","10,433","5,726","9,882","5,423","5,670","3,427","6,243","3,051","4,844","6,293","1,403","28,226","2,079","9,644","8,638","10,721","12,532","11,751","7,151","24,483","17,681","21,520","25,568","3,098","27,469","19,442","17,553","15,998","9,954","163,836","35,408","16,608","16,180","19,779","34,453","25,120","22,263","6,926","20,056","5,048","4,464","14,313","8,097","2,469","1,596","6,887","7,175","5,442","34,491","12,213","5,572","15,133","9,674","23,458","35,557","27,930","17,544","23,729","75,050","12,161","24,664","35,969","21,903","58,270","12,890","15,934","8,568","7,819","6,803","35,662","10,568","10,312","5,745","16,350","14,347","11,791","14,521","6,162","9,249","3,473","1,850","2,966","5,939","7,418","10,786","10,227","17,140","21,238","7,814","8,664","9,119","8,115","8,950","5,835","5,846"
2/16/2015,"5,581","15,418","34,480","58,441","19,240","12,473","10,629","3,635","2,663","12,097","1,839","3,317","6,170","7,498","11,092","14,687","12,826","4,252","7,687","2,896","6,920","7,394","3,104","26,936","2,023","9,629","10,883","14,123","19,094","13,472","8,369","23,263","18,850","29,150","33,770","6,563","34,352","24,221","24,190","19,424","25,420","167,900","39,598","25,499","22,796","22,198","32,194","26,895","23,360","11,072","28,896","7,139","7,041","17,334","6,533","3,157","2,804","10,196","8,998","6,353","32,968","14,309","6,842","18,627","15,226","27,409","40,066","36,462","24,381","27,131","75,979","18,601","30,251","45,088","28,146","70,233","18,712","17,977","15,146","9,318","8,583","37,032","15,784","8,239","7,097","36,902","16,173","18,694","17,869","6,880","10,204","4,319","4,032","3,603","7,364","8,849","11,389","15,084","27,385","23,493","9,673","10,764","11,298","10,006","10,678","6,858","6,786"
2/17/2015,"5,296","13,140","28,251","53,597","16,226","10,107","9,022","3,259","2,225","10,035","1,540","2,697","7,582","5,939","9,642","12,269","11,071","3,533","6,540","2,435","5,886","6,323","2,584","24,583","1,740","8,682","9,532","12,079","15,494","12,080","7,550","19,431","15,551","23,763","29,649","5,408","29,556","21,141","20,807","17,682","20,132","169,851","36,515","21,769","19,204","19,690","31,762","26,542","21,066","9,352","23,405","6,375","6,092","15,413","5,733","2,925","2,324","8,555","7,858","5,996","27,533","12,715","6,056","16,118","12,753","23,652","37,778","31,861","20,905","24,263","65,869","15,892","25,854","40,231","22,174","59,658","16,660","16,414","12,965","8,275","7,560","22,945","13,615","7,351","6,296","30,720","12,999","15,799","16,264","5,537","8,907","3,803","3,303","3,237","6,438","7,957","9,745","12,701","23,231","21,005","8,481","9,381","9,862","8,513","9,499","6,078","5,842"
2/18/2015,"3,168","4,102","8,054","21,774","5,438","3,600","3,561","2,159","1,139","4,262",739,"1,375","1,717","2,353","4,569","2,068","2,224","1,544","3,241","1,138","2,276","2,819",517,"8,229",966,"5,248","4,981","5,726","6,918","5,820","4,195","7,020","5,704","8,672","11,117","1,383","14,057","9,261","9,198","9,129","3,621","93,546","13,733","7,744","6,710","9,212","14,288","11,502","9,989","4,036","10,141","3,164","2,596","7,923","4,153","1,585",769,"3,392","4,285","3,533","17,616","6,602","3,144","7,510","4,974","9,361","18,762","12,674","8,625","15,809","29,254","5,442","7,107","11,783","6,232","22,164","6,940","7,466","4,174","3,349","2,917","11,844","4,919","3,748","1,920","6,547","4,079","6,239","7,391","2,527","4,138","1,688","1,068","1,473","3,115","4,095","4,398","5,705","8,566","9,496","3,825","4,230","4,893","4,034","4,976","3,207","2,777"
2/19/2015,"3,562","6,013","10,308","39,926","6,677","4,129","4,693","2,698","1,426","5,638","1,355","2,488","18,628","2,864","8,934","2,307","2,769","2,381","4,291","3,043","2,986","4,236",835,"10,761","1,476","10,963","7,087","8,480","8,959","8,374","4,979","13,038","8,343","11,043","13,811","1,906","20,788","14,374","13,667","15,672","4,673","119,842","24,261","11,938","10,762","22,335","37,865","22,911","14,134","5,520","13,872","4,469","5,272","11,864","9,966","2,706","3,120","19,648","6,236","5,318","55,313","11,860","5,121","12,190","7,479","19,031","29,655","20,460","12,917","58,641","68,061","5,935","11,073","18,212","13,633","47,976","7,752","12,431","5,911","6,367","7,276","26,103","6,737","5,673","2,400","9,578","5,913","8,150","23,119","3,846","6,779","2,812","1,629","2,508","4,947","6,715","5,598","6,604","39,871","12,592","6,070","8,651","7,434","6,943","7,961","4,945","4,815"
2/20/2015,"3,873","6,372","11,950","38,507","7,604","4,680","5,114","2,880","1,430","5,847","1,251","2,855","19,272","3,828","8,810","2,836","3,233","2,518","4,883","3,327","3,331","4,790","1,065","12,209","1,753","12,299","7,849","8,801","9,879","9,065","5,578","14,084","9,652","12,191","18,239","2,015","22,698","15,389","14,549","16,219","5,296","131,286","24,074","11,976","11,380","21,373","39,159","25,716","15,495","5,678","16,357","4,710","4,869","13,486","11,677","2,618","2,009","12,981","6,465","5,922","61,303","12,282","5,250","12,607","7,795","18,816","29,715","20,815","13,570","37,231","63,020","5,892","12,353","19,858","15,391","44,367","8,572","12,759","6,603","6,547","7,401","24,889","7,648","6,021","2,455","10,532","6,278","8,378","18,952","4,559","7,217","2,974","1,489","2,418","4,865","6,862","6,086","7,589","20,434","14,112","6,745","8,392","8,398","7,237","8,595","5,587","4,981"
2/21/2015,"4,110","7,709","15,420","48,297","9,595","5,830","6,200","3,189","2,029","7,877","1,927","4,159","27,873","4,252","11,283","3,730","4,054","3,116","6,321","5,024","4,453","6,127","1,342","25,464","2,366","16,378","9,248","10,786","11,581","10,694","6,599","20,266","12,107","14,351","22,639","2,374","25,920","18,102","17,024","18,314","7,052","154,378","30,788","13,959","13,639","27,451","47,917","31,761","17,697","6,611","19,508","5,123","5,570","15,954","14,957","2,848","2,225","15,756","7,450","7,213","79,738","15,020","5,952","14,869","8,898","22,501","35,621","24,239","15,777","39,788","81,916","7,356","18,084","28,259","22,598","57,787","9,886","15,195","7,752","8,380","10,055","29,362","9,057","8,131","3,023","13,117","13,697","9,982","22,897","5,767","8,250","3,342","1,621","2,841","5,521","7,480","6,414","8,539","21,569","18,763","8,274","9,780","8,954","8,407","8,991","6,157","5,880"
2/22/2015,"4,214","8,293","16,111","49,156","9,774","6,462","6,517","3,310","2,250","8,026","1,564","3,364","20,580","4,713","11,261","4,133","4,773","3,403","6,450","3,982","4,693","6,124","1,407","25,331","2,391","13,260","9,219","11,208","12,432","11,829","7,192","22,359","14,534","16,032","24,069","2,381","27,751","19,608","17,562","18,530","6,846","149,210","30,963","13,843","14,718","25,222","41,533","28,222","18,887","7,126","19,952","5,474","5,006","15,576","12,021","3,100","1,976","13,382","7,616","6,676","61,155","14,525","5,862","15,727","9,255","23,607","35,664","25,702","16,809","36,487","82,913","8,474","20,319","31,299","22,439","56,311","10,854","15,276","8,433","8,242","8,048","26,607","10,210","6,877","3,001","14,563","16,249","10,890","20,737","6,149","8,086","3,559","1,739","2,893","5,660","7,942","6,990","9,247","21,085","18,628","8,085","9,656","9,748","8,568","9,166","6,261","5,712"
2/23/2015,"4,627","8,853","17,349","46,675","11,294","7,579","6,964","3,276","2,018","10,913","1,512","2,908","12,495","5,723","10,471","5,411","5,816","3,661","6,438","3,375","4,855","6,483","1,293","15,517","1,850","10,959","9,005","11,065","13,179","11,423","7,236","26,003","14,879","18,763","20,297","2,896","28,160","19,448","17,993","17,160","11,256","134,971","31,079","16,831","14,894","22,205","33,907","26,881","18,723","8,471","22,894","5,319","4,648","14,587","9,211","2,733","2,493","11,343","7,908","5,862","48,024","13,347","5,553","15,684","10,568","22,608","33,531","27,835","17,756","31,442","75,791","9,035","23,227","32,413","21,075","51,243","12,410","14,619","9,393","7,658","7,386","21,806","10,892","5,795","3,317","17,704","9,261","11,783","15,609","7,762","7,738","3,521","1,955","2,786","5,896","7,191","6,867","10,128","21,320","17,871","7,721","9,285","9,162","8,279","9,090","5,682","5,419"
2/24/2015,"5,374","15,586","33,965","46,885","23,518","13,921","11,043","3,721","2,998","15,624","1,918","4,357","7,998","8,655","9,763","15,102","14,258","5,338","7,790","2,810","8,021","8,504","2,818","25,822","2,213","10,543","11,676","14,744","20,200","15,460","8,735","29,801","18,620","30,894","27,494","7,960","35,834","25,702","24,582","19,942","24,671","134,462","34,603","22,291","23,267","24,689","33,841","31,999","22,684","12,539","31,303","7,296","7,133","19,458","7,552","3,385","2,987","12,230","9,640","6,699","38,454","16,172","6,383","19,679","15,488","26,188","36,913","37,412","24,146","28,856","68,234","22,843","29,560","39,092","23,946","57,710","20,553","17,760","15,336","10,276","8,586","26,797","15,690","5,889","5,547","36,213","15,918","18,338","17,049","13,720","10,824","4,273","3,829","3,836","8,234","8,556","11,107","15,849","28,867","22,096","10,479","11,634","11,999","10,906","11,190","7,073","7,012"
2/25/2015,"5,202","15,739","33,800","49,236","23,120","14,935","11,162","3,659","3,101","15,585","2,009","4,612","9,848","10,441","10,232","15,598","14,413","5,589","7,988","3,184","8,339","8,549","3,112","28,686","2,282","10,992","11,741","14,837","20,150","15,933","8,686","27,958","18,769","32,412","30,695","8,263","35,308","26,121","25,303","20,489","26,308","138,764","36,280","23,811","24,741","26,175","36,900","32,725","24,432","12,946","32,763","7,419","7,214","19,925","7,351","3,476","3,054","14,919","9,839","6,849","39,615","16,296","6,701","20,090","17,448","26,924","36,798","39,307","24,728","28,458","67,657","23,124","30,962","40,147","24,837","59,106","20,097","17,964","16,037","10,640","8,970","25,772","15,541","6,440","5,693","36,061","18,058","18,204","17,185","13,394","11,190","4,391","4,024","3,953","8,695","8,456","11,245","15,865","27,721","22,484","10,669","12,136","11,898","11,165","11,268","7,594","7,179"
2/26/2015,"5,854","16,720","35,901","53,877","24,063","15,589","11,856","3,727","2,951","16,050","1,965","4,763","8,404","10,496","11,014","15,891","14,931","5,675","8,107","3,186","8,394","8,891","3,253","29,799","2,382","11,053","12,379","15,388","21,229","16,961","9,098","28,918","19,661","32,950","30,289","8,270","37,270","27,072","25,906","21,275","26,860","168,004","38,849","23,998","26,291","29,228","39,803","33,506","24,361","13,020","33,461","7,670","7,717","20,477","7,450","3,618","3,320","13,951","10,047","7,293","38,076","16,892","6,921","20,977","17,939","28,148","40,862","40,767","25,419","29,281","73,806","24,095","32,490","43,430","26,186","65,318","21,186","19,332","16,441","11,263","9,017","26,781","16,554","6,360","5,955","38,608","18,794","19,173","18,271","13,291","11,588","4,593","4,199","4,033","8,729","8,593","11,708","16,872","29,860","23,662","11,271","12,425","12,571","11,679","11,893","7,906","7,486"
2/27/2015,"5,368","11,213","22,174","59,677","16,739","10,495","8,974","3,736","2,454","11,048","2,051","4,541","25,951","6,746","12,389","6,697","7,025","4,275","7,854","4,935","5,801","7,371","1,758","19,343","2,468","13,232","10,473","13,100","15,869","14,491","8,263","33,468","20,179","25,013","28,117","3,837","33,698","24,357","22,279","19,308","12,444","187,213","43,091","22,726","19,106","54,396","48,280","35,277","22,147","10,438","28,086","5,881","5,934","17,942","11,469","3,395","2,938","11,376","9,430","6,981","53,923","16,129","6,321","17,519","13,086","28,687","42,534","33,841","20,901","31,929","93,880","14,371","32,594","43,710","32,567","68,444","14,966","17,746","10,431","9,471","10,185","26,357","13,695","8,900","4,243","21,083","12,492","13,753","19,436","8,929","10,713","4,333","2,225","3,849","6,942","9,165","9,027","12,545","21,726","23,325","9,895","11,053","11,393","9,810","10,522","7,257","7,159"
2/28/2015,"4,561","10,590","20,404","58,227","14,540","9,609","8,411","3,602","2,634","9,712","2,103","4,752","21,316","6,709","12,889","6,014","6,447","4,286","8,086","5,187","5,610","7,845","1,806","20,475","2,678","14,053","10,450","12,975","15,597","14,686","8,382","47,886","21,401","25,729","33,533","4,209","33,273","23,785","21,769","19,900","13,488","185,854","41,574","18,644","19,519","84,904","54,776","35,394","22,662","9,646","27,008","6,327","5,860","18,221","12,486","3,729","2,222","11,763","9,291","7,044","59,840","16,421","6,748","18,063","12,560","28,594","42,401","32,572","20,760","32,100","92,999","13,504","32,945","40,352","31,674","67,130","14,377","17,167","10,180","9,398","10,839","28,183","12,935","10,783","4,349","20,468","13,315","14,202","20,183","9,572","11,723","4,782","2,232","3,633","7,919","9,053","8,940","12,080","20,547","23,870","10,176","11,657","11,618","10,518","11,040","7,889","8,083"
