"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2018/4/1,"5,111 ","8,856 ","20,175 ","42,579 ","14,243 ","9,071 ","7,774 ","7,357 ","2,376 ","10,085 ","1,773 ","3,129 ","18,749 ","6,606 ","10,371 ","5,952 ","6,549 ","4,315 ","8,653 ","3,863 ","5,772 ","6,295 ","2,054 ","14,735 ","2,161 ","14,482 ","9,201 ","11,870 ","13,142 ","12,858 ","7,465 ","26,304 ","16,057 ","21,705 ","23,968 ","4,389 ","28,410 ","20,334 ","17,403 ","16,681 ","11,164 ","160,479 ","36,292 ","14,587 ","17,630 ","26,651 ","31,395 ","25,035 ","21,409 ","8,047 ","24,380 ","5,425 ","5,380 ","15,336 ","6,955 ","2,888 ","1,800 ","9,445 ","8,097 ","8,963 ","42,432 ","6,001 ","9,732 ","6,911 ","15,997 ","12,547 ","22,660 ","35,599 ","27,995 ","18,733 ","26,613 ","72,541 ","14,831 ","26,212 ","30,116 ","19,542 ","46,921 ","13,278 ","12,571 ","8,871 ","13,185 ","9,415 ","25,120 ","11,331 ","13,958 ","8,927 ","16,647 ","20,629 ","13,903 ","17,162 ","6,389 ","8,662 ","3,174 ","2,123 ","5,794 ","6,806 ","8,274 ","8,374 ","11,252 ","19,218 ","21,302 ","9,093 ","9,125 ","8,966 ","8,755 ","9,447 ","7,395 ","6,724 "
2018/4/2,"6,137 ","15,013 ","40,956 ","44,444 ","26,888 ","12,796 ","11,484 ","4,236 ","3,034 ","15,596 ","2,137 ","4,636 ","7,640 ","8,107 ","9,976 ","17,980 ","16,816 ","5,527 ","8,846 ","3,254 ","8,459 ","8,443 ","4,711 ","27,450 ","2,257 ","11,711 ","11,352 ","16,179 ","20,849 ","15,055 ","8,928 ","22,348 ","16,756 ","29,870 ","28,257 ","8,920 ","36,471 ","26,391 ","24,722 ","20,132 ","26,763 ","149,024 ","35,720 ","24,025 ","24,103 ","26,299 ","29,076 ","26,692 ","22,536 ","13,158 ","33,537 ","7,482 ","8,611 ","18,777 ","5,398 ","3,310 ","3,057 ","13,435 ","9,861 ","7,379 ","33,541 ","7,799 ","12,109 ","7,189 ","21,848 ","21,800 ","26,122 ","39,016 ","39,579 ","25,998 ","28,142 ","63,861 ","23,655 ","30,247 ","36,794 ","22,139 ","59,458 ","19,936 ","16,494 ","14,752 ","16,763 ","10,916 ","27,163 ","17,892 ","8,125 ","11,387 ","39,871 ","25,030 ","23,941 ","23,751 ","7,525 ","11,153 ","4,329 ","4,884 ","5,945 ","9,620 ","9,253 ","11,241 ","17,127 ","28,843 ","23,246 ","12,367 ","12,738 ","11,896 ","11,799 ","11,965 ","9,356 ","8,495 "
2018/4/3,"6,241 ","14,901 ","42,026 ","48,266 ","27,325 ","13,261 ","11,726 ","4,213 ","2,959 ","15,447 ","2,045 ","4,676 ","8,904 ","8,162 ","10,498 ","16,483 ","16,722 ","5,713 ","9,347 ","3,193 ","8,317 ","8,546 ","4,621 ","27,352 ","2,491 ","12,101 ","11,852 ","16,662 ","21,533 ","15,975 ","9,148 ","23,167 ","17,779 ","30,547 ","30,481 ","9,287 ","37,410 ","27,016 ","25,261 ","21,126 ","26,723 ","184,738 ","39,648 ","24,813 ","24,591 ","28,479 ","31,260 ","28,130 ","23,829 ","13,544 ","33,446 ","7,646 ","8,942 ","19,881 ","5,841 ","3,425 ","3,047 ","13,627 ","10,066 ","7,207 ","33,747 ","8,346 ","13,506 ","7,335 ","22,847 ","22,131 ","27,802 ","43,979 ","40,837 ","26,541 ","28,501 ","68,998 ","25,128 ","29,664 ","39,247 ","23,263 ","65,083 ","20,750 ","16,648 ","14,836 ","22,786 ","11,303 ","27,722 ","18,960 ","8,043 ","11,990 ","40,911 ","25,551 ","24,776 ","25,290 ","7,608 ","11,839 ","4,488 ","4,929 ","6,340 ","9,909 ","9,886 ","11,619 ","17,662 ","29,793 ","23,996 ","13,131 ","13,363 ","12,519 ","12,205 ","12,231 ","9,664 ","8,933 "
2018/4/4,"5,810 ","8,319 ","19,804 ","45,069 ","13,253 ","8,751 ","7,695 ","6,450 ","2,040 ","8,871 ","1,840 ","3,528 ","22,875 ","5,243 ","9,658 ","4,927 ","5,623 ","3,430 ","7,899 ","4,091 ","4,688 ","6,451 ","2,063 ","16,041 ","1,872 ","18,189 ","8,933 ","11,327 ","13,030 ","12,313 ","6,846 ","23,004 ","13,318 ","18,590 ","20,666 ","4,016 ","27,116 ","18,945 ","17,348 ","16,323 ","9,627 ","181,219 ","35,547 ","15,254 ","14,639 ","24,850 ","36,606 ","27,216 ","17,778 ","7,296 ","22,074 ","4,973 ","5,292 ","14,951 ","7,195 ","2,641 ","2,404 ","8,191 ","7,649 ","7,884 ","47,707 ","5,894 ","10,508 ","6,150 ","15,414 ","13,898 ","23,344 ","39,378 ","27,043 ","17,882 ","28,966 ","76,032 ","11,638 ","23,908 ","31,110 ","18,350 ","51,011 ","12,212 ","12,324 ","7,888 ","19,346 ","9,857 ","23,344 ","11,609 ","7,821 ","9,530 ","17,562 ","15,720 ","14,035 ","19,463 ","5,496 ","10,257 ","3,440 ","2,016 ","7,703 ","6,286 ","8,739 ","8,258 ","10,602 ","17,069 ","19,390 ","9,117 ","9,399 ","8,723 ","8,273 ","9,282 ","7,063 ","6,543 "
2018/4/5,"4,864 ","7,398 ","16,770 ","39,735 ","11,825 ","7,618 ","6,792 ","5,813 ","2,001 ","6,801 ","1,562 ","3,016 ","22,213 ","4,493 ","8,428 ","4,118 ","4,760 ","3,074 ","7,288 ","3,714 ","4,118 ","4,796 ","1,723 ","13,660 ","1,833 ","18,591 ","7,933 ","10,392 ","10,853 ","11,237 ","6,226 ","21,580 ","12,519 ","15,971 ","17,939 ","3,552 ","25,416 ","17,874 ","15,982 ","15,529 ","8,200 ","147,588 ","32,302 ","14,241 ","13,260 ","21,999 ","35,554 ","26,104 ","16,525 ","6,478 ","19,886 ","4,578 ","5,063 ","13,347 ","7,335 ","2,486 ","1,428 ","7,134 ","6,928 ","7,858 ","49,668 ","5,307 ","8,939 ","5,513 ","13,958 ","10,709 ","19,516 ","33,388 ","23,500 ","15,493 ","24,395 ","72,057 ","11,110 ","21,239 ","27,784 ","14,783 ","45,019 ","10,643 ","10,948 ","6,915 ","12,941 ","9,883 ","36,423 ","10,746 ","7,376 ","8,565 ","15,153 ","9,383 ","12,094 ","17,843 ","4,960 ","8,620 ","3,050 ","1,829 ","6,426 ","5,822 ","8,124 ","7,547 ","10,012 ","14,288 ","17,871 ","8,227 ","8,199 ","8,027 ","7,573 ","8,488 ","6,329 ","5,990 "
2018/4/6,"4,683 ","8,199 ","19,991 ","49,566 ","14,364 ","8,408 ","7,171 ","3,912 ","1,754 ","8,717 ","1,398 ","2,782 ","13,871 ","5,370 ","9,230 ","4,844 ","5,509 ","3,421 ","7,609 ","2,888 ","4,734 ","5,504 ","2,027 ","13,722 ","1,970 ","12,918 ","8,572 ","11,053 ","12,783 ","12,300 ","7,130 ","24,245 ","14,501 ","19,485 ","22,210 ","4,005 ","28,504 ","19,816 ","17,938 ","16,910 ","17,511 ","161,990 ","37,938 ","20,238 ","16,138 ","22,958 ","34,080 ","28,298 ","19,653 ","9,052 ","23,601 ","5,176 ","5,536 ","14,338 ","8,709 ","2,622 ","2,200 ","7,766 ","7,529 ","6,109 ","40,829 ","5,962 ","9,961 ","5,674 ","15,607 ","14,305 ","23,610 ","36,931 ","27,600 ","18,224 ","26,953 ","84,580 ","11,878 ","25,771 ","34,418 ","18,117 ","51,491 ","12,431 ","12,661 ","7,966 ","13,134 ","8,475 ","39,485 ","12,648 ","7,692 ","9,360 ","18,431 ","12,502 ","14,494 ","18,744 ","5,984 ","7,491 ","3,266 ","2,094 ","5,699 ","6,625 ","9,300 ","8,537 ","12,104 ","17,661 ","19,545 ","9,061 ","9,226 ","9,485 ","8,803 ","9,483 ","6,552 ","6,428 "
2018/4/7,"4,088 ","9,005 ","21,202 ","48,059 ","15,239 ","9,272 ","7,737 ","3,849 ","2,287 ","8,628 ","1,599 ","2,933 ","11,951 ","6,705 ","10,636 ","5,316 ","6,198 ","3,740 ","8,050 ","2,869 ","4,977 ","6,041 ","2,111 ","14,367 ","2,431 ","14,439 ","9,339 ","12,415 ","14,064 ","13,621 ","7,913 ","27,240 ","16,222 ","23,709 ","24,391 ","4,252 ","30,454 ","21,348 ","18,687 ","17,971 ","11,420 ","156,577 ","38,952 ","18,482 ","15,748 ","24,358 ","34,027 ","27,145 ","20,448 ","8,299 ","23,119 ","5,466 ","5,756 ","14,952 ","8,160 ","2,827 ","1,685 ","8,033 ","7,894 ","6,368 ","40,789 ","6,365 ","10,016 ","5,762 ","16,919 ","14,019 ","24,744 ","37,611 ","28,889 ","19,857 ","26,789 ","82,094 ","14,009 ","28,058 ","34,709 ","19,611 ","52,148 ","13,743 ","13,067 ","8,030 ","12,833 ","8,433 ","39,408 ","13,031 ","11,029 ","9,261 ","17,990 ","15,499 ","15,692 ","19,248 ","6,678 ","8,227 ","3,449 ","2,109 ","5,739 ","6,906 ","9,621 ","8,821 ","12,187 ","20,290 ","20,654 ","9,677 ","9,918 ","9,916 ","9,254 ","10,128 ","6,961 ","6,853 "
2018/4/8,"5,187 ","8,291 ","17,554 ","39,543 ","13,104 ","8,548 ","7,205 ","4,026 ","2,290 ","9,838 ","1,759 ","3,068 ","14,364 ","6,443 ","9,816 ","5,622 ","6,370 ","4,166 ","7,717 ","4,191 ","5,205 ","5,852 ","1,978 ","15,375 ","2,298 ","14,703 ","8,925 ","12,193 ","13,654 ","13,942 ","7,979 ","28,259 ","14,892 ","20,303 ","22,513 ","4,463 ","29,008 ","20,512 ","18,070 ","17,231 ","10,102 ","151,867 ","32,668 ","14,331 ","17,206 ","28,084 ","33,145 ","27,477 ","19,712 ","7,585 ","23,463 ","5,668 ","5,257 ","15,665 ","6,624 ","2,670 ","1,654 ","8,951 ","8,081 ","7,790 ","49,511 ","6,284 ","9,805 ","5,451 ","16,099 ","12,512 ","22,436 ","35,620 ","28,094 ","18,816 ","24,101 ","67,119 ","12,649 ","26,280 ","27,212 ","17,345 ","45,100 ","13,140 ","12,137 ","8,324 ","12,376 ","9,705 ","34,607 ","10,896 ","11,704 ","8,886 ","14,904 ","10,956 ","13,932 ","15,761 ","8,253 ","7,914 ","3,352 ","2,056 ","6,769 ","6,498 ","7,877 ","8,163 ","10,841 ","16,877 ","19,466 ","9,042 ","9,058 ","8,965 ","8,828 ","9,227 ","7,297 ","6,971 "
2018/4/9,"5,610 ","15,085 ","40,591 ","41,838 ","26,510 ","14,726 ","11,604 ","3,868 ","3,161 ","15,838 ","2,161 ","4,567 ","6,262 ","10,664 ","9,496 ","18,725 ","16,672 ","5,623 ","8,472 ","3,303 ","8,455 ","8,278 ","4,605 ","26,540 ","2,322 ","11,207 ","10,320 ","16,617 ","21,621 ","17,258 ","9,226 ","27,109 ","17,135 ","32,601 ","26,718 ","11,184 ","37,156 ","27,048 ","25,666 ","21,179 ","27,083 ","129,633 ","33,190 ","22,996 ","24,079 ","26,935 ","32,635 ","28,065 ","23,163 ","13,398 ","33,660 ","7,458 ","8,377 ","19,138 ","4,871 ","3,417 ","3,123 ","13,738 ","10,040 ","7,103 ","36,642 ","7,949 ","12,445 ","7,104 ","22,298 ","21,998 ","26,486 ","38,784 ","40,132 ","26,491 ","26,762 ","57,711 ","20,345 ","29,326 ","34,480 ","20,570 ","57,879 ","19,901 ","16,470 ","14,916 ","15,910 ","10,811 ","24,772 ","17,537 ","7,622 ","10,971 ","38,892 ","24,065 ","23,977 ","23,091 ","13,817 ","11,433 ","4,474 ","4,833 ","6,068 ","9,981 ","9,388 ","11,567 ","17,084 ","28,717 ","22,128 ","12,579 ","12,819 ","12,121 ","12,083 ","12,288 ","9,638 ","8,661 "
2018/4/10,"5,588 ","15,373 ","42,286 ","43,812 ","27,410 ","15,362 ","12,024 ","3,920 ","3,205 ","15,973 ","2,157 ","4,736 ","6,823 ","10,933 ","10,218 ","19,496 ","17,409 ","5,715 ","8,893 ","3,211 ","8,502 ","8,504 ","4,798 ","27,870 ","2,353 ","11,538 ","11,782 ","16,848 ","22,034 ","17,438 ","9,441 ","27,001 ","17,893 ","33,134 ","28,437 ","11,440 ","37,851 ","27,831 ","25,553 ","21,488 ","27,466 ","129,214 ","35,799 ","23,500 ","24,573 ","27,127 ","32,808 ","28,970 ","24,889 ","13,559 ","33,597 ","7,873 ","8,849 ","19,553 ","5,081 ","3,585 ","3,173 ","14,028 ","10,231 ","7,259 ","35,250 ","8,068 ","12,670 ","7,206 ","22,546 ","22,357 ","27,471 ","39,039 ","41,442 ","26,900 ","27,522 ","59,502 ","24,205 ","30,569 ","35,669 ","21,477 ","58,024 ","20,776 ","16,603 ","15,249 ","16,220 ","11,024 ","25,144 ","18,536 ","8,030 ","11,089 ","39,670 ","25,605 ","24,641 ","23,753 ","13,578 ","11,901 ","4,584 ","5,073 ","6,247 ","10,135 ","9,489 ","11,889 ","17,649 ","29,927 ","23,697 ","12,673 ","13,170 ","12,464 ","12,328 ","12,148 ","9,970 ","8,750 "
