"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2016/3/1,"5,564 ","15,851 ","38,198 ","45,329 ","25,104 ","15,706 ","11,855 ","3,733 ","2,990 ","16,470 ","2,030 ","4,699 ","6,671 ","11,133 ","9,616 ","19,169 ","15,531 ","5,574 ","7,972 ","3,064 ","8,550 ","8,937 ","4,148 ","29,117 ","2,257 ","10,512 ","12,070 ","15,915 ","20,930 ","17,087 ","9,169 ","28,574 ","18,733 ","33,367 ","29,868 ","10,224 ","37,190 ","26,956 ","25,712 ","21,507 ","27,678 ","134,896 ","34,905 ","24,002 ","24,857 ","27,635 ","35,672 ","29,734 ","23,236 ","13,226 ","32,982 ","7,328 ","8,181 ","19,729 ","6,019 ","3,315 ","3,018 ","14,378 ","10,455 ","7,589 ","38,561 ","6,515 ","11,573 ","6,767 ","21,250 ","19,749 ","26,752 ","37,977 ","39,953 ","26,053 ","27,076 ","61,459 ","23,584 ","30,816 ","37,437 ","21,281 ","52,965 ","20,718 ","17,047 ","15,910 ","12,471 ","9,762 ","25,366 ","17,472 ","6,985 ","7,619 ","38,613 ","23,068 ","21,804 ","20,835 ","14,321 ","11,859 ","4,368 ","4,369 ","4,410 ","9,461 ","9,010 ","11,939 ","17,285 ","28,262 ","23,474 ","11,576 ","12,523 ","12,383 ","12,017 ","11,813 ","8,712 ","8,245 "
2016/3/2,"5,522 ","16,627 ","39,021 ","47,376 ","25,820 ","16,037 ","11,826 ","3,855 ","3,186 ","16,385 ","2,109 ","4,616 ","7,219 ","11,015 ","10,193 ","19,565 ","15,733 ","5,666 ","8,165 ","3,374 ","8,865 ","9,048 ","4,245 ","36,371 ","2,445 ","11,191 ","12,250 ","16,245 ","20,948 ","16,941 ","8,975 ","27,974 ","19,198 ","34,002 ","30,915 ","10,156 ","37,590 ","27,638 ","25,831 ","21,401 ","27,522 ","135,764 ","36,346 ","24,282 ","25,175 ","27,220 ","36,554 ","30,542 ","25,639 ","13,090 ","33,711 ","7,584 ","8,334 ","19,946 ","6,097 ","3,471 ","3,140 ","14,667 ","10,499 ","7,608 ","38,670 ","6,763 ","11,785 ","6,861 ","21,453 ","19,754 ","27,433 ","39,240 ","40,912 ","26,475 ","27,397 ","64,407 ","24,830 ","32,098 ","39,249 ","22,392 ","54,784 ","21,142 ","17,552 ","16,243 ","12,815 ","10,042 ","27,054 ","17,428 ","7,352 ","7,579 ","39,433 ","23,348 ","22,176 ","20,939 ","13,995 ","11,939 ","4,471 ","4,278 ","4,526 ","9,609 ","9,231 ","11,824 ","17,661 ","29,097 ","23,772 ","11,700 ","12,655 ","12,341 ","12,156 ","12,141 ","8,796 ","8,110 "
2016/3/3,"5,429 ","16,393 ","39,574 ","47,900 ","26,194 ","15,794 ","11,876 ","3,786 ","3,156 ","16,239 ","2,188 ","4,659 ","7,277 ","10,877 ","10,178 ","19,431 ","15,676 ","5,740 ","8,228 ","3,290 ","8,878 ","8,875 ","4,367 ","38,137 ","2,492 ","10,916 ","12,185 ","15,954 ","21,662 ","16,651 ","8,966 ","27,684 ","19,028 ","33,871 ","30,488 ","10,035 ","37,558 ","27,288 ","25,735 ","21,243 ","26,553 ","139,908 ","36,673 ","24,204 ","25,207 ","27,524 ","37,100 ","30,352 ","23,889 ","13,134 ","33,238 ","7,477 ","8,497 ","20,003 ","6,099 ","3,398 ","3,205 ","14,197 ","10,423 ","7,516 ","38,675 ","6,553 ","11,937 ","6,747 ","21,435 ","19,768 ","27,536 ","38,829 ","40,915 ","26,388 ","27,446 ","63,835 ","24,406 ","31,694 ","39,412 ","22,504 ","56,734 ","21,111 ","16,957 ","16,354 ","12,934 ","10,026 ","27,815 ","17,626 ","7,227 ","7,781 ","39,741 ","23,753 ","21,682 ","21,329 ","13,879 ","11,962 ","4,670 ","4,306 ","4,469 ","9,335 ","8,983 ","11,903 ","18,022 ","29,246 ","24,907 ","11,903 ","12,662 ","12,300 ","12,089 ","11,981 ","8,718 ","8,269 "
2016/3/4,"6,067 ","17,768 ","42,328 ","55,402 ","27,863 ","16,818 ","12,633 ","3,959 ","3,221 ","17,036 ","2,147 ","4,829 ","7,968 ","11,079 ","11,558 ","19,662 ","16,569 ","6,067 ","9,004 ","3,578 ","9,181 ","9,683 ","4,687 ","39,274 ","2,629 ","11,543 ","13,031 ","17,130 ","22,638 ","18,135 ","9,751 ","31,768 ","21,252 ","35,652 ","34,690 ","10,326 ","39,801 ","28,692 ","26,851 ","22,513 ","26,825 ","177,570 ","42,718 ","25,742 ","26,621 ","30,190 ","41,494 ","33,091 ","25,883 ","13,492 ","34,432 ","7,705 ","8,490 ","20,813 ","6,997 ","3,458 ","3,175 ","14,247 ","10,645 ","7,484 ","41,102 ","7,213 ","13,351 ","7,513 ","22,705 ","20,251 ","30,377 ","44,133 ","42,741 ","27,969 ","29,154 ","76,340 ","25,996 ","35,960 ","46,028 ","25,359 ","64,791 ","22,171 ","18,734 ","17,106 ","14,126 ","10,809 ","30,866 ","19,141 ","8,211 ","8,480 ","41,709 ","24,760 ","23,771 ","23,828 ","14,862 ","12,595 ","4,845 ","4,581 ","4,585 ","9,774 ","10,035 ","12,688 ","18,665 ","31,451 ","26,996 ","12,571 ","13,496 ","13,426 ","12,669 ","12,592 ","9,355 ","8,620 "
2016/3/5,"4,964 ","12,223 ","26,970 ","58,752 ","19,114 ","11,932 ","9,613 ","3,839 ","2,951 ","11,919 ","1,751 ","3,947 ","13,074 ","8,838 ","13,566 ","7,206 ","7,856 ","4,369 ","8,181 ","4,745 ","6,587 ","7,965 ","2,080 ","26,877 ","2,597 ","12,657 ","10,525 ","14,376 ","17,173 ","15,349 ","9,000 ","35,581 ","22,054 ","30,880 ","33,591 ","5,964 ","34,266 ","25,631 ","21,907 ","20,094 ","17,178 ","188,894 ","44,414 ","21,653 ","19,344 ","30,686 ","46,481 ","34,227 ","22,185 ","9,802 ","28,699 ","6,163 ","5,837 ","17,965 ","8,930 ","3,268 ","2,140 ","9,928 ","9,785 ","6,709 ","49,252 ","6,063 ","12,188 ","6,701 ","18,717 ","15,176 ","30,583 ","44,111 ","35,380 ","23,680 ","29,249 ","91,592 ","18,246 ","39,478 ","44,691 ","25,441 ","59,369 ","16,996 ","16,465 ","11,040 ","10,202 ","10,226 ","29,177 ","14,702 ","11,236 ","7,102 ","24,123 ","22,094 ","17,180 ","20,024 ","10,661 ","11,505 ","4,755 ","2,560 ","6,794 ","8,881 ","9,746 ","10,338 ","14,352 ","22,992 ","26,957 ","10,781 ","11,565 ","11,830 ","10,709 ","11,656 ","8,272 ","7,782 "
2016/3/6,"4,563 ","9,129 ","19,569 ","44,990 ","14,715 ","9,796 ","7,519 ","3,556 ","2,361 ","9,933 ","1,734 ","3,193 ","12,887 ","7,222 ","10,949 ","6,108 ","6,157 ","3,987 ","6,881 ","4,553 ","5,509 ","7,301 ","1,682 ","15,428 ","2,615 ","12,171 ","9,141 ","12,501 ","14,361 ","14,433 ","7,666 ","37,771 ","18,348 ","24,277 ","32,651 ","4,245 ","28,751 ","20,992 ","18,480 ","16,758 ","11,949 ","170,274 ","35,095 ","15,198 ","17,586 ","27,279 ","39,332 ","28,582 ","23,397 ","7,971 ","24,024 ","5,544 ","4,739 ","15,852 ","7,692 ","2,720 ","1,723 ","9,490 ","8,217 ","6,129 ","51,426 ","5,308 ","10,514 ","5,641 ","15,942 ","11,994 ","24,616 ","37,439 ","28,842 ","19,454 ","26,354 ","74,653 ","15,001 ","33,214 ","33,475 ","19,680 ","46,368 ","13,247 ","13,037 ","8,953 ","8,420 ","9,333 ","22,784 ","10,590 ","10,719 ","6,063 ","19,235 ","18,764 ","13,821 ","16,428 ","8,742 ","8,891 ","4,045 ","2,487 ","3,471 ","6,778 ","7,796 ","9,099 ","11,043 ","18,578 ","22,478 ","9,001 ","9,398 ","9,545 ","8,820 ","9,734 ","7,115 ","6,978 "
2016/3/7,"5,484 ","15,616 ","37,611 ","44,351 ","24,327 ","15,315 ","11,587 ","3,640 ","3,034 ","15,796 ","2,010 ","4,539 ","5,888 ","10,822 ","9,494 ","18,442 ","15,500 ","5,409 ","7,966 ","3,154 ","8,587 ","8,673 ","4,124 ","26,953 ","2,225 ","10,631 ","11,926 ","15,685 ","20,685 ","16,505 ","8,727 ","27,190 ","17,988 ","32,677 ","31,123 ","9,955 ","36,426 ","26,359 ","24,994 ","21,031 ","26,768 ","135,738 ","34,564 ","23,737 ","24,277 ","25,187 ","36,413 ","29,062 ","22,990 ","12,783 ","32,320 ","7,178 ","8,202 ","19,499 ","5,604 ","3,325 ","3,187 ","14,026 ","10,203 ","7,470 ","39,967 ","6,443 ","11,763 ","6,961 ","21,077 ","19,385 ","26,551 ","37,060 ","39,636 ","25,613 ","27,040 ","62,729 ","23,115 ","30,750 ","37,655 ","21,460 ","53,652 ","19,930 ","17,017 ","15,529 ","12,310 ","9,726 ","26,452 ","16,461 ","6,831 ","7,616 ","38,495 ","22,246 ","21,525 ","20,742 ","14,218 ","11,654 ","4,459 ","4,311 ","4,330 ","9,343 ","8,890 ","11,612 ","17,378 ","28,770 ","23,342 ","11,513 ","12,339 ","12,069 ","11,941 ","11,741 ","8,675 ","8,171 "
2016/3/8,"5,355 ","16,207 ","38,633 ","47,677 ","25,349 ","15,741 ","11,773 ","3,841 ","3,045 ","16,386 ","2,038 ","4,623 ","7,495 ","10,694 ","10,074 ","19,039 ","15,980 ","5,745 ","8,239 ","3,198 ","8,573 ","8,894 ","4,146 ","27,904 ","2,297 ","10,766 ","12,148 ","16,000 ","21,146 ","16,714 ","9,101 ","27,489 ","18,570 ","34,014 ","31,506 ","10,419 ","37,564 ","27,313 ","25,765 ","21,456 ","26,846 ","135,937 ","36,646 ","23,813 ","24,670 ","26,505 ","36,536 ","29,532 ","23,844 ","13,292 ","32,524 ","7,530 ","8,391 ","20,025 ","6,004 ","3,415 ","3,060 ","14,290 ","10,473 ","7,606 ","37,726 ","6,467 ","11,943 ","6,746 ","21,497 ","19,564 ","27,503 ","38,449 ","40,507 ","26,292 ","27,266 ","63,516 ","24,569 ","31,459 ","38,649 ","22,522 ","53,949 ","20,973 ","17,217 ","16,099 ","12,692 ","9,658 ","26,059 ","17,321 ","6,977 ","7,627 ","39,422 ","22,735 ","22,362 ","21,356 ","13,953 ","11,798 ","4,365 ","4,382 ","4,400 ","9,569 ","9,071 ","11,970 ","17,675 ","28,852 ","24,916 ","11,638 ","12,541 ","12,467 ","12,188 ","11,820 ","8,715 ","8,215 "
2016/3/9,"5,297 ","16,872 ","39,900 ","47,215 ","25,657 ","16,387 ","12,147 ","4,082 ","3,105 ","16,579 ","2,048 ","4,696 ","5,730 ","10,973 ","9,864 ","19,469 ","16,142 ","5,813 ","8,322 ","3,014 ","8,803 ","8,924 ","4,477 ","28,475 ","2,405 ","10,554 ","12,414 ","16,213 ","21,606 ","16,986 ","9,276 ","28,150 ","19,144 ","35,316 ","31,283 ","10,616 ","38,325 ","27,843 ","26,406 ","21,776 ","27,036 ","136,233 ","37,223 ","24,194 ","25,102 ","26,623 ","34,101 ","29,672 ","25,225 ","12,862 ","32,678 ","7,596 ","8,184 ","19,233 ","6,038 ","3,647 ","3,141 ","14,280 ","10,296 ","7,326 ","34,981 ","6,525 ","11,831 ","7,011 ","21,615 ","19,951 ","27,721 ","38,813 ","41,664 ","26,642 ","28,454 ","65,106 ","25,854 ","32,915 ","40,128 ","23,133 ","55,379 ","21,615 ","17,638 ","16,399 ","12,900 ","9,218 ","26,736 ","18,046 ","6,806 ","7,945 ","41,151 ","23,579 ","22,845 ","20,931 ","14,367 ","11,800 ","4,464 ","4,475 ","4,496 ","10,130 ","9,467 ","12,085 ","18,158 ","30,396 ","25,359 ","11,759 ","12,618 ","12,866 ","12,352 ","12,434 ","8,774 ","8,250 "
2016/3/10,"5,624 ","17,372 ","41,592 ","51,377 ","26,968 ","17,620 ","12,893 ","4,236 ","3,151 ","16,863 ","2,055 ","4,557 ","5,347 ","11,323 ","10,406 ","19,997 ","16,599 ","5,814 ","8,601 ","2,909 ","9,180 ","8,932 ","4,798 ","39,564 ","2,429 ","10,500 ","12,486 ","16,612 ","21,860 ","17,153 ","9,784 ","28,550 ","19,730 ","35,716 ","30,346 ","10,666 ","40,160 ","28,240 ","27,097 ","22,138 ","26,527 ","144,321 ","38,431 ","23,868 ","26,079 ","26,243 ","35,020 ","29,050 ","23,210 ","12,956 ","32,232 ","7,706 ","8,522 ","18,872 ","6,133 ","3,760 ","3,055 ","14,113 ","10,051 ","6,984 ","33,042 ","6,617 ","11,744 ","6,986 ","21,705 ","20,150 ","27,375 ","41,069 ","41,932 ","27,054 ","26,762 ","66,549 ","25,671 ","33,483 ","41,184 ","23,260 ","58,387 ","22,057 ","17,773 ","16,519 ","13,080 ","9,232 ","26,965 ","18,747 ","6,798 ","7,975 ","42,855 ","24,664 ","23,839 ","21,340 ","14,559 ","11,997 ","4,588 ","4,539 ","4,742 ","10,349 ","9,708 ","12,735 ","18,941 ","31,227 ","26,319 ","12,029 ","12,761 ","13,423 ","12,731 ","12,899 ","8,712 ","8,681 "
