"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2018/10/1,"5,307 ","15,421 ","42,233 ","42,712 ","27,043 ","15,345 ","11,799 ","3,883 ","3,446 ","16,300 ","2,203 ","4,786 ","6,777 ","10,934 ","9,985 ","19,757 ","17,523 ","5,547 ","8,855 ","3,154 ","8,928 ","8,617 ","4,978 ","27,667 ","2,304 ","11,152 ","12,106 ","16,836 ","22,128 ","17,965 ","9,446 ","28,510 ","17,516 ","33,434 ","28,506 ","11,887 ","37,860 ","27,701 ","25,962 ","21,910 ","27,804 ","136,136 ","41,839 ","24,658 ","24,330 ","27,229 ","34,008 ","29,471 ","23,432 ","13,439 ","34,035 ","6,986 ","8,404 ","19,028 ","5,058 ","3,683 ","3,718 ","14,224 ","10,060 ","7,286 ","39,425 ","8,322 ","13,389 ","7,208 ","22,742 ","23,799 ","27,529 ","40,557 ","41,822 ","26,802 ","29,375 ","63,123 ","23,321 ","31,529 ","35,563 ","21,524 ","60,085 ","20,494 ","16,459 ","15,516 ","16,773 ","13,531 ","28,999 ","18,733 ","7,651 ","11,657 ","39,871 ","24,981 ","25,133 ","24,263 ","15,311 ","11,854 ","4,636 ","4,860 ","6,324 ","10,109 ","9,638 ","11,878 ","17,594 ","29,636 ","24,809 ","13,473 ","12,882 ","12,628 ","12,324 ","12,371 ","10,736 ","8,986 "
2018/10/2,"5,251 ","15,827 ","43,527 ","46,439 ","28,128 ","15,848 ","12,145 ","3,994 ","3,530 ","16,265 ","2,285 ","4,972 ","7,868 ","11,444 ","10,436 ","20,130 ","17,761 ","5,774 ","8,829 ","3,227 ","9,045 ","8,723 ","5,194 ","28,282 ","2,407 ","11,544 ","12,298 ","17,056 ","22,311 ","18,597 ","9,858 ","28,918 ","18,282 ","34,736 ","31,110 ","12,090 ","38,437 ","28,026 ","26,218 ","22,451 ","27,519 ","134,221 ","43,388 ","25,181 ","25,093 ","28,703 ","35,353 ","30,519 ","24,378 ","13,715 ","33,936 ","7,258 ","8,580 ","19,875 ","5,563 ","3,841 ","3,816 ","14,484 ","10,348 ","7,313 ","39,144 ","8,671 ","13,459 ","7,280 ","23,200 ","24,548 ","28,304 ","40,639 ","42,864 ","27,234 ","29,868 ","65,006 ","25,124 ","31,952 ","36,630 ","22,994 ","60,390 ","21,333 ","16,740 ","15,509 ","17,383 ","13,850 ","29,174 ","19,493 ","8,128 ","12,005 ","41,473 ","26,398 ","25,871 ","24,729 ","15,397 ","12,124 ","4,746 ","4,892 ","6,229 ","10,343 ","9,559 ","12,067 ","18,493 ","29,482 ","25,956 ","13,489 ","13,027 ","13,105 ","12,634 ","12,541 ","10,819 ","9,101 "
2018/10/3,"5,508 ","16,203 ","44,452 ","46,909 ","28,332 ","16,360 ","12,290 ","4,062 ","3,562 ","16,722 ","2,255 ","4,995 ","7,811 ","11,568 ","11,350 ","20,253 ","18,040 ","5,833 ","9,131 ","3,291 ","9,068 ","8,946 ","5,147 ","28,953 ","2,386 ","11,730 ","12,729 ","17,254 ","22,554 ","18,654 ","9,937 ","29,913 ","18,676 ","35,023 ","31,049 ","12,130 ","38,961 ","28,436 ","26,668 ","22,421 ","28,346 ","137,713 ","44,735 ","25,502 ","24,860 ","28,713 ","34,808 ","31,320 ","24,420 ","13,978 ","34,789 ","7,348 ","8,672 ","19,909 ","5,718 ","3,903 ","3,766 ","14,676 ","10,340 ","7,523 ","38,699 ","8,527 ","13,816 ","7,523 ","23,124 ","24,665 ","28,594 ","42,762 ","43,147 ","27,755 ","29,845 ","68,578 ","26,335 ","32,817 ","38,308 ","23,523 ","62,336 ","21,747 ","17,068 ","15,788 ","17,489 ","13,445 ","30,819 ","19,854 ","7,975 ","12,007 ","42,130 ","27,455 ","26,240 ","25,000 ","15,228 ","12,146 ","4,944 ","5,106 ","6,346 ","10,410 ","9,890 ","12,345 ","18,552 ","30,434 ","26,737 ","13,620 ","13,312 ","13,217 ","12,785 ","12,628 ","10,807 ","9,149 "
2018/10/4,"5,521 ","16,347 ","45,697 ","48,022 ","28,575 ","16,116 ","12,434 ","4,174 ","3,124 ","16,759 ","2,242 ","4,872 ","6,396 ","11,301 ","11,018 ","20,646 ","18,328 ","5,916 ","9,434 ","3,119 ","9,064 ","9,011 ","5,506 ","28,836 ","2,628 ","11,341 ","12,672 ","17,409 ","23,045 ","18,491 ","9,969 ","29,610 ","18,901 ","35,242 ","30,657 ","11,988 ","39,420 ","29,171 ","26,798 ","22,496 ","27,303 ","139,429 ","53,279 ","24,588 ","24,943 ","27,654 ","32,829 ","30,965 ","23,892 ","13,594 ","33,590 ","7,250 ","8,718 ","19,137 ","5,776 ","3,982 ","3,779 ","14,098 ","10,132 ","7,201 ","35,474 ","8,352 ","13,519 ","7,274 ","23,331 ","24,184 ","28,212 ","43,399 ","43,526 ","27,846 ","28,906 ","69,048 ","25,618 ","34,013 ","38,526 ","23,583 ","65,400 ","22,200 ","17,003 ","16,354 ","17,936 ","12,649 ","34,037 ","19,680 ","7,867 ","11,929 ","43,449 ","28,001 ","26,763 ","24,197 ","15,543 ","12,544 ","4,754 ","5,073 ","6,391 ","10,604 ","10,099 ","12,433 ","18,849 ","30,416 ","26,798 ","13,758 ","13,132 ","13,241 ","13,099 ","12,759 ","10,581 ","9,232 "
2018/10/5,"6,643 ","16,863 ","47,369 ","54,407 ","29,538 ","16,722 ","12,944 ","4,131 ","3,074 ","17,234 ","2,357 ","5,086 ","7,615 ","11,262 ","12,926 ","20,389 ","18,393 ","6,104 ","9,856 ","3,459 ","9,280 ","9,426 ","5,421 ","30,193 ","2,531 ","11,902 ","12,981 ","18,382 ","24,040 ","19,454 ","10,483 ","34,761 ","20,724 ","36,740 ","32,505 ","12,285 ","40,969 ","29,660 ","27,629 ","23,490 ","28,321 ","182,576 ","58,930 ","26,732 ","26,604 ","30,921 ","38,871 ","34,177 ","26,263 ","13,912 ","35,036 ","7,620 ","9,001 ","21,008 ","6,638 ","4,093 ","3,964 ","14,192 ","10,602 ","7,412 ","42,040 ","9,133 ","15,447 ","8,016 ","24,666 ","24,843 ","31,197 ","48,012 ","44,738 ","29,131 ","32,348 ","81,193 ","26,888 ","39,573 ","44,196 ","26,533 ","75,227 ","22,771 ","17,974 ","16,213 ","21,113 ","14,505 ","36,809 ","21,539 ","8,921 ","13,316 ","44,383 ","29,324 ","27,824 ","27,579 ","15,363 ","12,887 ","5,169 ","5,237 ","6,854 ","10,817 ","10,878 ","12,983 ","19,670 ","31,891 ","28,167 ","14,389 ","14,053 ","13,995 ","13,032 ","13,067 ","11,044 ","9,550 "
2018/10/6,"4,671 ","11,031 ","27,723 ","54,307 ","19,180 ","11,099 ","9,251 ","3,648 ","2,509 ","11,352 ","2,107 ","3,898 ","12,329 ","7,950 ","12,443 ","7,123 ","7,467 ","4,865 ","8,211 ","4,083 ","6,198 ","6,985 ","2,449 ","22,694 ","2,387 ","12,748 ","10,359 ","14,261 ","17,276 ","16,580 ","9,260 ","33,956 ","20,082 ","29,706 ","27,868 ","5,767 ","40,900 ","24,462 ","21,859 ","19,909 ","15,097 ","182,681 ","77,475 ","24,157 ","20,520 ","52,932 ","40,239 ","30,693 ","22,906 ","9,730 ","27,436 ","6,594 ","6,534 ","17,372 ","7,683 ","3,429 ","2,100 ","9,987 ","9,535 ","6,598 ","49,571 ","7,172 ","13,330 ","6,532 ","19,414 ","17,618 ","31,102 ","44,098 ","34,893 ","23,273 ","32,251 ","92,392 ","18,129 ","36,258 ","41,310 ","23,536 ","63,083 ","15,848 ","15,526 ","10,056 ","16,000 ","11,853 ","34,290 ","15,365 ","12,044 ","11,717 ","22,815 ","19,094 ","18,250 ","22,399 ","10,415 ","15,254 ","4,464 ","2,615 ","6,731 ","8,007 ","10,204 ","10,601 ","15,068 ","22,095 ","26,110 ","11,995 ","11,177 ","11,351 ","10,437 ","11,127 ","8,636 ","8,084 "
2018/10/7,"5,063 ","8,395 ","20,829 ","41,070 ","13,787 ","8,501 ","7,162 ","3,266 ","2,266 ","9,731 ","1,634 ","2,958 ","10,325 ","6,287 ","12,494 ","5,813 ","6,607 ","3,753 ","6,889 ","3,464 ","5,198 ","5,855 ","2,078 ","14,959 ","2,076 ","10,746 ","9,082 ","12,292 ","14,460 ","14,880 ","8,119 ","28,508 ","15,870 ","22,323 ","23,564 ","4,422 ","28,845 ","20,460 ","17,750 ","16,881 ","11,718 ","165,704 ","53,126 ","15,890 ","17,794 ","26,553 ","31,812 ","26,121 ","21,636 ","8,204 ","22,445 ","6,475 ","5,652 ","15,138 ","6,801 ","2,987 ","1,693 ","9,228 ","7,946 ","5,706 ","44,794 ","6,381 ","10,701 ","6,033 ","16,207 ","14,078 ","24,571 ","38,660 ","28,476 ","19,152 ","27,777 ","74,595 ","14,732 ","29,486 ","29,588 ","16,470 ","51,016 ","13,978 ","12,998 ","8,711 ","12,893 ","9,305 ","28,866 ","10,880 ","11,017 ","10,157 ","16,854 ","15,844 ","14,904 ","16,987 ","8,499 ","11,751 ","3,891 ","2,273 ","5,815 ","6,706 ","8,001 ","8,702 ","12,176 ","18,177 ","22,180 ","9,370 ","9,034 ","10,002 ","8,525 ","9,504 ","7,354 ","6,840 "
2018/10/8,"6,124 ","15,419 ","42,836 ","44,352 ","27,362 ","15,216 ","11,753 ","3,955 ","2,920 ","16,390 ","2,098 ","4,828 ","5,651 ","10,928 ","10,299 ","19,557 ","17,299 ","5,806 ","8,745 ","3,041 ","9,208 ","8,684 ","5,192 ","28,038 ","2,437 ","11,125 ","12,392 ","16,907 ","22,122 ","17,954 ","9,671 ","29,089 ","17,941 ","33,812 ","28,394 ","12,071 ","38,440 ","27,702 ","26,242 ","22,224 ","27,242 ","138,787 ","45,105 ","23,938 ","24,328 ","26,692 ","33,014 ","28,932 ","22,913 ","13,424 ","33,196 ","7,105 ","8,549 ","18,881 ","5,308 ","3,723 ","3,684 ","14,209 ","10,003 ","7,154 ","37,038 ","8,366 ","13,619 ","7,189 ","22,596 ","23,918 ","27,628 ","41,724 ","41,712 ","26,723 ","28,906 ","64,939 ","23,455 ","31,157 ","36,872 ","22,113 ","61,843 ","20,677 ","16,870 ","15,881 ","17,376 ","12,003 ","29,199 ","18,990 ","7,342 ","12,006 ","40,594 ","25,041 ","25,417 ","23,810 ","15,014 ","11,878 ","4,568 ","4,903 ","6,121 ","10,266 ","9,686 ","11,901 ","17,837 ","30,068 ","24,855 ","13,537 ","12,797 ","12,745 ","12,549 ","12,265 ","10,495 ","8,951 "
2018/10/9,"5,977 ","16,403 ","46,629 ","49,635 ","29,013 ","16,580 ","12,868 ","4,173 ","3,171 ","18,261 ","2,158 ","5,099 ","7,972 ","11,155 ","11,325 ","20,720 ","18,617 ","5,976 ","9,282 ","3,066 ","9,284 ","9,107 ","5,605 ","30,881 ","2,549 ","11,647 ","12,650 ","17,820 ","23,598 ","19,456 ","10,138 ","31,370 ","19,362 ","36,334 ","30,682 ","12,295 ","41,047 ","29,367 ","27,277 ","23,146 ","29,162 ","146,961 ","50,164 ","25,688 ","25,891 ","29,468 ","37,063 ","30,954 ","25,032 ","13,634 ","34,788 ","7,339 ","9,022 ","20,073 ","5,693 ","3,785 ","3,923 ","14,765 ","10,484 ","7,428 ","38,387 ","8,766 ","14,652 ","7,631 ","23,909 ","24,805 ","30,313 ","44,963 ","44,035 ","28,375 ","31,652 ","74,204 ","26,387 ","34,090 ","40,771 ","24,282 ","68,387 ","22,228 ","17,914 ","16,049 ","18,621 ","13,529 ","31,863 ","20,973 ","7,935 ","13,109 ","43,735 ","26,881 ","27,031 ","26,237 ","15,940 ","12,702 ","4,942 ","5,320 ","6,647 ","10,826 ","10,769 ","12,604 ","19,708 ","32,599 ","26,797 ","13,699 ","13,524 ","13,355 ","13,105 ","13,052 ","10,844 ","9,426 "
2018/10/10,"4,858 ","8,604 ","21,407 ","47,437 ","13,877 ","8,826 ","7,234 ","3,253 ","2,001 ","10,318 ","1,574 ","2,957 ","10,289 ","6,680 ","10,732 ","5,675 ","6,263 ","3,671 ","7,101 ","2,875 ","5,071 ","5,723 ","2,410 ","15,634 ","1,862 ","10,418 ","9,411 ","12,257 ","13,406 ","13,927 ","8,255 ","27,619 ","15,240 ","21,804 ","28,090 ","4,541 ","28,866 ","19,978 ","17,745 ","16,943 ","15,323 ","142,965 ","54,646 ","15,389 ","15,877 ","21,889 ","30,045 ","25,909 ","18,255 ","7,537 ","22,054 ","5,313 ","5,417 ","14,457 ","6,767 ","2,642 ","2,338 ","8,761 ","7,790 ","5,435 ","40,362 ","5,848 ","10,146 ","5,431 ","15,679 ","13,571 ","23,670 ","38,272 ","29,013 ","18,923 ","26,668 ","82,291 ","11,277 ","25,725 ","34,032 ","20,387 ","56,551 ","13,399 ","13,249 ","8,522 ","14,050 ","8,285 ","31,446 ","11,929 ","6,030 ","9,806 ","19,580 ","13,416 ","14,840 ","16,348 ","8,953 ","7,742 ","3,762 ","2,144 ","5,051 ","6,786 ","8,818 ","9,109 ","12,285 ","18,851 ","19,696 ","9,098 ","8,732 ","9,339 ","8,576 ","9,427 ","7,095 ","6,549 "
