"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2016/5/1,"4,974 ","9,280 ","19,263 ","49,982 ","14,177 ","9,312 ","7,858 ","3,475 ","2,206 ","9,882 ","1,565 ","4,101 ","9,259 ","7,266 ","12,416 ","6,205 ","6,557 ","3,352 ","6,169 ","3,000 ","5,458 ","5,929 ","1,793 ","20,909 ","2,187 ","11,064 ","8,943 ","12,143 ","14,377 ","14,590 ","7,602 ","31,006 ","18,387 ","22,916 ","26,207 ","4,148 ","28,845 ","21,124 ","18,175 ","17,094 ","11,374 ","169,190 ","40,680 ","16,250 ","18,349 ","28,648 ","35,103 ","26,680 ","23,391 ","7,831 ","22,521 ","5,090 ","4,658 ","14,893 ","7,170 ","2,681 ","1,909 ","9,099 ","7,893 ","5,541 ","42,315 ","5,188 ","12,746 ","5,668 ","17,019 ","12,699 ","24,823 ","38,851 ","29,290 ","18,823 ","26,817 ","79,719 ","16,401 ","31,383 ","34,794 ","20,193 ","52,445 ","13,820 ","13,582 ","8,946 ","9,004 ","7,216 ","31,048 ","11,539 ","10,011 ","5,406 ","17,955 ","15,148 ","14,012 ","16,177 ","8,734 ","9,556 ","3,531 ","2,124 ","3,466 ","6,567 ","7,870 ","8,779 ","12,282 ","19,308 ","23,716 ","8,940 ","9,487 ","10,194 ","9,038 ","9,763 ","6,965 ","6,849 "
2016/5/2,"5,165 ","10,318 ","23,687 ","49,074 ","18,689 ","12,152 ","9,089 ","3,454 ","2,309 ","12,879 ","1,634 ","4,250 ","9,666 ","9,523 ","9,808 ","8,224 ","8,549 ","4,955 ","7,169 ","3,754 ","7,120 ","7,353 ","2,052 ","18,911 ","2,055 ","11,473 ","10,244 ","13,782 ","16,747 ","14,471 ","7,833 ","27,630 ","16,011 ","26,242 ","26,141 ","9,360 ","32,707 ","23,111 ","20,516 ","18,219 ","21,769 ","137,420 ","36,828 ","20,984 ","18,936 ","26,708 ","35,315 ","29,979 ","20,172 ","11,606 ","29,263 ","5,819 ","5,499 ","17,580 ","6,292 ","2,770 ","2,656 ","11,990 ","9,382 ","5,970 ","44,339 ","5,178 ","12,150 ","6,218 ","18,559 ","16,245 ","23,798 ","36,990 ","33,357 ","21,936 ","27,209 ","64,781 ","18,578 ","28,049 ","32,370 ","16,748 ","50,157 ","16,028 ","15,439 ","12,141 ","10,841 ","8,551 ","24,685 ","12,631 ","7,068 ","6,857 ","21,754 ","15,273 ","15,323 ","15,756 ","12,218 ","10,003 ","3,533 ","2,305 ","3,631 ","8,067 ","8,050 ","10,552 ","13,916 ","20,723 ","24,311 ","9,638 ","10,899 ","10,574 ","10,104 ","10,356 ","7,472 ","6,926 "
2016/5/3,"5,825 ","15,960 ","39,070 ","48,327 ","25,162 ","15,490 ","11,812 ","3,802 ","3,056 ","15,907 ","2,032 ","4,634 ","7,232 ","10,695 ","10,163 ","18,460 ","15,613 ","5,512 ","7,816 ","2,942 ","8,431 ","8,370 ","4,299 ","27,287 ","2,159 ","10,920 ","11,866 ","15,581 ","20,513 ","16,520 ","8,883 ","26,819 ","18,959 ","33,382 ","30,098 ","10,249 ","36,554 ","26,655 ","25,252 ","20,899 ","26,487 ","134,923 ","39,765 ","24,320 ","25,170 ","26,373 ","35,646 ","29,851 ","24,403 ","13,030 ","31,800 ","7,407 ","8,226 ","19,671 ","5,584 ","3,313 ","3,096 ","13,733 ","10,117 ","7,196 ","36,357 ","6,579 ","12,065 ","6,604 ","21,072 ","19,626 ","26,531 ","37,588 ","40,141 ","25,990 ","27,558 ","63,986 ","24,274 ","30,386 ","37,975 ","21,595 ","54,146 ","20,282 ","16,942 ","15,790 ","12,270 ","9,677 ","27,683 ","17,538 ","7,101 ","8,246 ","39,482 ","22,777 ","22,172 ","20,952 ","13,428 ","11,661 ","4,213 ","4,297 ","4,434 ","9,581 ","8,771 ","11,955 ","17,679 ","29,486 ","26,322 ","11,658 ","12,337 ","12,142 ","11,867 ","11,675 ","8,511 ","8,098 "
2016/5/4,"5,818 ","16,402 ","39,459 ","49,292 ","25,175 ","15,723 ","11,937 ","3,883 ","3,046 ","16,034 ","2,079 ","4,729 ","7,389 ","10,840 ","10,249 ","18,871 ","15,687 ","5,468 ","8,026 ","3,160 ","8,485 ","8,536 ","4,341 ","27,864 ","2,317 ","11,035 ","12,043 ","15,914 ","20,929 ","16,575 ","8,975 ","27,571 ","18,922 ","34,155 ","31,416 ","10,450 ","37,255 ","27,251 ","25,408 ","21,068 ","26,660 ","137,259 ","41,757 ","25,137 ","24,991 ","26,625 ","36,031 ","30,699 ","25,539 ","13,082 ","32,254 ","7,275 ","8,117 ","19,333 ","5,682 ","3,512 ","3,170 ","13,937 ","10,291 ","7,258 ","36,999 ","6,619 ","12,305 ","6,911 ","21,367 ","19,808 ","26,828 ","38,709 ","40,132 ","26,281 ","28,504 ","65,797 ","24,872 ","31,330 ","39,551 ","22,565 ","55,757 ","20,460 ","17,069 ","16,015 ","12,490 ","9,851 ","27,783 ","17,838 ","7,369 ","8,253 ","40,513 ","22,799 ","22,157 ","21,264 ","13,779 ","11,833 ","4,299 ","4,275 ","4,399 ","9,558 ","8,990 ","11,881 ","17,987 ","29,404 ","26,587 ","11,918 ","12,551 ","12,322 ","11,784 ","11,792 ","8,645 ","8,153 "
2016/5/5,"6,195 ","16,457 ","40,653 ","51,121 ","26,200 ","16,081 ","12,153 ","3,879 ","3,011 ","15,719 ","2,060 ","4,668 ","6,609 ","10,837 ","10,739 ","18,675 ","15,909 ","5,616 ","8,063 ","3,034 ","8,749 ","8,327 ","4,538 ","29,507 ","2,416 ","10,850 ","12,161 ","16,174 ","21,224 ","16,667 ","9,175 ","27,422 ","19,147 ","34,404 ","31,864 ","10,194 ","37,681 ","27,292 ","25,750 ","21,107 ","26,006 ","146,120 ","41,769 ","24,286 ","25,887 ","26,651 ","35,470 ","30,563 ","23,738 ","12,994 ","32,267 ","7,398 ","8,493 ","19,441 ","5,463 ","3,361 ","3,125 ","14,018 ","10,075 ","7,248 ","37,083 ","6,675 ","12,420 ","6,836 ","21,321 ","19,994 ","27,109 ","39,493 ","40,532 ","26,269 ","27,617 ","66,164 ","24,697 ","31,698 ","39,871 ","22,975 ","58,370 ","20,979 ","17,046 ","16,000 ","12,804 ","9,721 ","28,749 ","17,932 ","6,915 ","8,097 ","40,974 ","23,417 ","22,739 ","21,066 ","13,706 ","11,754 ","4,270 ","4,277 ","4,483 ","9,568 ","9,058 ","12,015 ","18,129 ","29,404 ","26,887 ","11,823 ","12,618 ","12,380 ","12,092 ","11,971 ","8,725 ","8,140 "
2016/5/6,"6,928 ","17,522 ","42,688 ","61,967 ","27,874 ","16,928 ","12,390 ","3,949 ","3,110 ","16,078 ","2,130 ","4,881 ","7,872 ","10,648 ","12,355 ","19,323 ","16,683 ","6,032 ","8,714 ","3,433 ","9,067 ","9,123 ","4,693 ","32,164 ","2,489 ","11,464 ","12,982 ","17,468 ","22,553 ","18,343 ","9,598 ","30,980 ","21,701 ","36,684 ","34,346 ","10,246 ","39,579 ","28,833 ","27,238 ","22,446 ","27,300 ","202,838 ","48,198 ","25,762 ","27,016 ","29,438 ","40,259 ","33,088 ","25,839 ","13,605 ","33,187 ","7,847 ","8,986 ","20,741 ","6,071 ","3,659 ","3,235 ","13,925 ","10,624 ","7,481 ","39,643 ","7,381 ","13,613 ","7,621 ","23,092 ","20,203 ","30,761 ","46,690 ","42,525 ","28,022 ","29,297 ","78,855 ","25,472 ","35,708 ","46,174 ","26,161 ","70,572 ","21,939 ","18,516 ","16,782 ","13,625 ","10,750 ","36,462 ","19,556 ","7,749 ","8,818 ","42,980 ","24,315 ","24,268 ","23,445 ","13,519 ","13,396 ","4,544 ","4,590 ","4,818 ","9,991 ","9,875 ","12,536 ","18,949 ","31,020 ","29,150 ","12,765 ","13,363 ","13,334 ","12,538 ","12,707 ","9,485 ","8,678 "
2016/5/7,"5,000 ","11,123 ","24,962 ","58,653 ","16,930 ","11,929 ","8,801 ","3,752 ","2,462 ","10,317 ","1,816 ","3,340 ","7,921 ","7,198 ","12,605 ","6,699 ","7,014 ","3,992 ","7,351 ","4,732 ","6,261 ","6,894 ","2,148 ","21,705 ","2,340 ","11,388 ","10,203 ","13,429 ","16,250 ","14,417 ","8,413 ","32,418 ","19,622 ","29,849 ","32,753 ","5,086 ","32,585 ","23,697 ","20,968 ","19,220 ","14,515 ","182,864 ","45,247 ","20,482 ","18,262 ","33,089 ","36,912 ","30,755 ","21,798 ","9,559 ","25,018 ","5,884 ","6,069 ","15,772 ","6,337 ","3,072 ","2,293 ","9,272 ","8,835 ","6,303 ","38,733 ","5,738 ","12,945 ","6,493 ","18,307 ","14,594 ","28,019 ","42,713 ","33,161 ","22,243 ","28,437 ","83,849 ","18,187 ","31,526 ","41,236 ","24,733 ","59,748 ","18,596 ","15,556 ","10,165 ","9,681 ","8,313 ","31,703 ","13,819 ","9,685 ","6,392 ","21,782 ","21,161 ","16,790 ","17,763 ","9,266 ","12,413 ","4,129 ","2,459 ","3,995 ","8,076 ","9,142 ","9,506 ","13,256 ","21,782 ","26,136 ","10,810 ","10,819 ","11,550 ","9,973 ","11,011 ","7,908 ","7,627 "
2016/5/8,"4,837 ","8,284 ","17,698 ","44,665 ","11,587 ","8,383 ","6,729 ","3,373 ","1,990 ","9,294 ","1,295 ","2,651 ","7,177 ","5,936 ","11,340 ","5,287 ","5,539 ","3,493 ","5,959 ","2,683 ","4,989 ","5,632 ","2,070 ","16,185 ","1,908 ","9,566 ","8,741 ","11,408 ","13,519 ","12,257 ","7,651 ","24,655 ","15,777 ","20,784 ","29,744 ","3,539 ","27,198 ","19,312 ","17,832 ","16,615 ","10,941 ","155,616 ","34,201 ","13,833 ","15,494 ","26,813 ","29,205 ","23,362 ","22,624 ","7,469 ","21,110 ","5,222 ","4,445 ","14,091 ","5,553 ","2,575 ","1,754 ","7,986 ","7,792 ","5,313 ","39,964 ","5,452 ","11,170 ","5,394 ","16,116 ","11,532 ","21,790 ","35,882 ","28,037 ","18,269 ","22,874 ","62,415 ","12,077 ","23,363 ","28,648 ","19,907 ","52,629 ","13,358 ","12,454 ","9,073 ","8,281 ","6,168 ","26,776 ","10,140 ","7,201 ","4,747 ","15,061 ","16,958 ","12,766 ","13,107 ","8,146 ","10,147 ","3,621 ","1,990 ","3,115 ","6,266 ","7,451 ","7,541 ","10,780 ","16,277 ","19,782 ","8,587 ","8,958 ","10,024 ","8,452 ","9,305 ","6,606 ","6,691 "
2016/5/9,"6,014 ","15,399 ","36,576 ","44,117 ","23,899 ","15,199 ","11,199 ","3,667 ","2,969 ","15,420 ","1,963 ","4,536 ","5,509 ","10,529 ","9,623 ","18,049 ","15,250 ","5,333 ","7,656 ","2,895 ","8,352 ","7,956 ","4,274 ","26,654 ","2,149 ","10,231 ","11,775 ","15,749 ","20,612 ","16,240 ","8,614 ","26,978 ","17,914 ","32,144 ","27,165 ","9,817 ","35,778 ","25,946 ","24,926 ","20,640 ","25,665 ","135,486 ","33,802 ","22,941 ","23,960 ","24,735 ","32,911 ","27,769 ","22,355 ","12,795 ","31,712 ","7,140 ","7,834 ","18,416 ","4,574 ","3,232 ","3,105 ","13,780 ","9,984 ","7,207 ","38,235 ","6,478 ","11,834 ","6,803 ","20,836 ","19,233 ","25,872 ","37,426 ","38,928 ","25,467 ","25,703 ","59,835 ","20,573 ","29,407 ","36,979 ","20,401 ","55,124 ","18,998 ","17,005 ","15,527 ","12,175 ","9,182 ","27,795 ","16,746 ","6,592 ","7,787 ","37,489 ","21,848 ","21,389 ","20,222 ","13,871 ","11,355 ","4,293 ","4,144 ","4,458 ","9,209 ","8,819 ","11,295 ","16,614 ","27,419 ","22,377 ","11,357 ","12,202 ","12,011 ","11,766 ","11,418 ","8,531 ","8,152 "
2016/5/10,"5,806 ","15,790 ","38,278 ","46,039 ","25,061 ","15,787 ","11,886 ","3,957 ","2,911 ","16,319 ","2,087 ","4,597 ","5,655 ","10,618 ","10,154 ","18,687 ","15,937 ","5,565 ","8,036 ","3,018 ","8,315 ","8,419 ","4,401 ","27,165 ","2,279 ","10,485 ","12,133 ","15,822 ","21,087 ","16,570 ","9,167 ","26,803 ","18,772 ","33,758 ","29,045 ","10,084 ","37,428 ","27,156 ","25,889 ","21,260 ","26,429 ","130,216 ","35,031 ","23,111 ","24,308 ","26,081 ","32,403 ","28,361 ","22,937 ","13,012 ","32,021 ","7,442 ","8,551 ","18,963 ","5,256 ","3,438 ","3,100 ","13,845 ","10,109 ","7,162 ","35,229 ","6,669 ","12,263 ","6,695 ","21,223 ","19,917 ","26,755 ","38,394 ","40,270 ","25,959 ","26,344 ","60,429 ","23,803 ","30,847 ","38,131 ","21,265 ","54,478 ","20,584 ","17,287 ","16,015 ","12,398 ","9,221 ","24,459 ","17,388 ","6,926 ","7,797 ","38,562 ","22,250 ","22,325 ","20,492 ","13,486 ","11,797 ","4,364 ","4,357 ","4,376 ","9,600 ","9,108 ","11,409 ","17,452 ","28,188 ","23,543 ","11,577 ","12,348 ","12,267 ","11,884 ","11,711 ","8,602 ","7,900 "
