"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2016/1/1,"5,343 ","9,474 ","19,353 ","52,201 ","12,691 ","8,239 ","7,470 ","3,126 ","1,943 ","8,207 ","1,557 ","3,428 ","19,798 ","5,991 ","12,726 ","4,978 ","5,603 ","3,649 ","6,471 ","4,137 ","5,079 ","6,215 ","2,154 ","26,458 ","2,219 ","12,837 ","9,313 ","11,769 ","13,224 ","13,129 ","7,227 ","26,123 ","16,874 ","19,108 ","27,243 ","4,014 ","29,246 ","19,930 ","18,948 ","17,503 ","12,243 ","196,060 ","37,472 ","18,082 ","15,858 ","34,604 ","48,047 ","32,186 ","19,022 ","7,658 ","22,610 ","5,437 ","5,199 ","15,964 ","12,836 ","2,954 ","1,744 ","9,021 ","8,436 ","6,583 ","66,155 ","5,410 ","11,250 ","5,971 ","15,998 ","11,139 ","26,172 ","48,938 ","28,081 ","18,899 ","33,622 ","90,605 ","12,818 ","26,432 ","36,694 ","22,737 ","59,621 ","12,420 ","14,512 ","8,562 ","9,253 ","11,918 ","36,179 ","12,344 ","8,481 ","5,600 ","18,352 ","11,246 ","13,617 ","20,137 ","7,654 ","9,017 ","3,786 ","1,993 ","3,338 ","6,255 ","8,899 ","8,900 ","11,902 ","21,922 ","24,010 ","9,374 ","9,444 ","9,638 ","9,058 ","9,577 ","7,263 ","6,996 "
2016/1/2,"4,387 ","10,119 ","20,504 ","53,682 ","13,772 ","9,136 ","7,880 ","3,547 ","2,343 ","9,231 ","1,730 ","3,922 ","20,932 ","6,335 ","12,886 ","5,607 ","6,021 ","3,622 ","7,221 ","4,105 ","5,160 ","6,605 ","2,039 ","26,830 ","2,248 ","12,699 ","9,222 ","11,829 ","13,757 ","13,087 ","7,319 ","26,108 ","17,216 ","22,321 ","29,485 ","4,327 ","29,904 ","20,695 ","19,012 ","17,489 ","11,250 ","171,064 ","37,519 ","19,355 ","15,845 ","27,357 ","43,579 ","31,971 ","19,878 ","8,320 ","22,840 ","5,416 ","5,269 ","16,180 ","12,662 ","2,838 ","1,796 ","8,437 ","8,497 ","6,308 ","58,182 ","5,018 ","10,623 ","5,785 ","16,056 ","12,435 ","26,041 ","44,493 ","29,232 ","19,483 ","30,380 ","85,674 ","13,390 ","30,384 ","39,500 ","23,375 ","57,669 ","13,317 ","14,154 ","8,919 ","9,141 ","10,729 ","34,470 ","12,196 ","10,136 ","5,979 ","18,816 ","16,160 ","14,299 ","18,607 ","8,000 ","9,374 ","3,992 ","1,959 ","3,526 ","6,310 ","8,358 ","9,060 ","12,187 ","20,078 ","23,732 ","9,157 ","9,747 ","9,982 ","8,918 ","9,821 ","7,159 ","6,757 "
2016/1/3,"4,750 ","8,535 ","17,414 ","41,087 ","11,472 ","8,555 ","6,812 ","3,078 ","2,155 ","8,695 ","1,300 ","2,460 ","6,040 ","6,280 ","12,840 ","5,079 ","5,798 ","3,450 ","6,037 ","2,308 ","5,090 ","6,314 ","1,992 ","23,236 ","1,873 ","8,000 ","8,137 ","11,637 ","13,377 ","11,813 ","7,413 ","23,919 ","14,868 ","20,239 ","22,602 ","4,050 ","26,402 ","18,719 ","16,869 ","15,008 ","9,228 ","156,701 ","30,778 ","13,988 ","14,737 ","19,585 ","27,281 ","21,785 ","20,877 ","7,099 ","20,657 ","4,900 ","3,947 ","13,640 ","8,123 ","2,419 ","1,550 ","6,647 ","6,934 ","4,910 ","33,156 ","4,437 ","8,959 ","5,103 ","14,289 ","10,819 ","20,888 ","35,814 ","26,047 ","17,065 ","22,731 ","63,070 ","12,853 ","23,499 ","29,983 ","17,604 ","46,379 ","13,624 ","12,303 ","8,649 ","8,200 ","5,629 ","25,113 ","9,955 ","6,649 ","4,523 ","15,173 ","10,717 ","12,675 ","12,042 ","7,763 ","7,161 ","4,162 ","1,940 ","2,679 ","5,829 ","6,725 ","7,261 ","11,176 ","17,651 ","19,228 ","7,549 ","7,899 ","10,227 ","7,765 ","8,836 ","6,026 ","6,280 "
2016/1/4,"5,599 ","15,821 ","36,672 ","43,976 ","24,082 ","15,048 ","11,429 ","3,683 ","2,903 ","15,571 ","1,980 ","4,492 ","5,370 ","10,695 ","9,643 ","18,218 ","15,109 ","5,276 ","7,661 ","2,809 ","8,329 ","8,163 ","4,015 ","26,750 ","2,183 ","10,114 ","11,875 ","15,489 ","20,255 ","16,454 ","8,642 ","26,429 ","17,627 ","31,882 ","27,258 ","9,464 ","36,168 ","25,642 ","25,076 ","20,479 ","26,262 ","132,192 ","33,262 ","23,600 ","23,988 ","25,102 ","33,762 ","28,239 ","22,707 ","12,679 ","32,011 ","7,236 ","7,689 ","18,820 ","6,077 ","3,196 ","2,978 ","13,764 ","10,073 ","7,138 ","37,660 ","6,068 ","11,295 ","6,769 ","20,364 ","19,065 ","25,484 ","35,867 ","38,925 ","25,140 ","27,251 ","60,782 ","22,051 ","29,267 ","37,338 ","21,162 ","52,848 ","19,855 ","16,644 ","15,368 ","11,778 ","9,509 ","25,195 ","16,435 ","6,277 ","7,191 ","36,855 ","20,918 ","20,819 ","19,924 ","13,650 ","11,163 ","4,108 ","4,054 ","4,149 ","8,812 ","8,392 ","11,350 ","16,670 ","27,207 ","23,070 ","11,182 ","11,931 ","11,839 ","11,393 ","11,417 ","8,402 ","7,905 "
2016/1/5,"5,542 ","16,228 ","38,227 ","46,876 ","25,083 ","15,680 ","11,956 ","3,790 ","2,954 ","15,735 ","1,975 ","4,544 ","6,890 ","10,808 ","9,821 ","18,898 ","15,635 ","5,356 ","7,870 ","2,970 ","8,479 ","8,467 ","4,305 ","27,674 ","2,304 ","10,574 ","11,865 ","15,601 ","20,917 ","16,446 ","8,949 ","25,835 ","18,253 ","33,653 ","28,767 ","9,858 ","36,991 ","26,834 ","25,510 ","20,800 ","26,411 ","128,359 ","34,928 ","24,175 ","24,547 ","26,450 ","34,265 ","28,998 ","23,496 ","13,104 ","32,732 ","7,569 ","7,892 ","19,509 ","6,497 ","3,420 ","3,095 ","14,388 ","10,173 ","7,320 ","35,522 ","6,158 ","11,483 ","6,608 ","20,909 ","19,824 ","26,989 ","36,420 ","40,405 ","25,755 ","27,608 ","62,818 ","23,827 ","30,232 ","38,802 ","22,376 ","54,018 ","20,712 ","17,199 ","15,941 ","12,389 ","9,719 ","25,516 ","17,483 ","6,710 ","7,172 ","38,649 ","21,915 ","21,617 ","20,212 ","13,510 ","11,552 ","4,208 ","4,252 ","4,373 ","9,091 ","8,990 ","11,667 ","16,907 ","28,490 ","23,792 ","11,301 ","12,256 ","12,161 ","11,745 ","11,660 ","8,621 ","7,902 "
2016/1/6,"5,432 ","16,785 ","39,719 ","47,466 ","25,397 ","16,365 ","12,130 ","3,881 ","3,000 ","16,364 ","1,934 ","4,523 ","5,462 ","10,832 ","9,972 ","19,527 ","16,059 ","5,393 ","8,094 ","2,723 ","8,523 ","8,596 ","4,593 ","27,576 ","2,416 ","10,270 ","12,091 ","16,345 ","20,833 ","16,502 ","9,032 ","26,662 ","18,892 ","34,124 ","28,888 ","9,978 ","37,921 ","27,687 ","26,041 ","21,178 ","27,361 ","128,417 ","35,963 ","24,451 ","25,031 ","25,202 ","34,686 ","28,982 ","24,813 ","13,015 ","32,808 ","7,861 ","7,903 ","19,427 ","6,182 ","3,566 ","3,082 ","15,326 ","10,167 ","7,281 ","34,067 ","6,253 ","11,498 ","6,857 ","21,183 ","19,683 ","27,327 ","37,918 ","40,892 ","26,346 ","27,456 ","64,022 ","25,068 ","31,225 ","40,221 ","23,126 ","55,981 ","21,420 ","17,546 ","15,986 ","12,555 ","9,473 ","26,530 ","17,931 ","6,717 ","7,440 ","40,810 ","23,048 ","22,632 ","20,719 ","13,595 ","11,813 ","4,474 ","4,486 ","4,387 ","9,533 ","9,370 ","12,146 ","17,891 ","29,773 ","24,752 ","11,644 ","12,516 ","12,699 ","12,252 ","12,071 ","8,620 ","8,087 "
2016/1/7,"5,245 ","16,391 ","39,032 ","49,267 ","25,222 ","15,556 ","11,884 ","3,755 ","2,935 ","16,298 ","2,052 ","4,651 ","6,516 ","10,932 ","10,498 ","19,118 ","15,520 ","5,591 ","8,128 ","3,008 ","8,494 ","8,386 ","4,174 ","28,307 ","2,404 ","10,207 ","12,049 ","15,741 ","20,853 ","16,822 ","9,054 ","26,526 ","18,618 ","33,657 ","29,706 ","9,683 ","37,225 ","27,305 ","25,684 ","21,116 ","26,030 ","134,162 ","36,284 ","24,008 ","25,071 ","26,618 ","34,457 ","29,498 ","24,182 ","13,009 ","33,319 ","7,569 ","8,171 ","19,589 ","6,936 ","3,418 ","3,152 ","14,843 ","10,423 ","7,401 ","36,384 ","6,300 ","11,740 ","6,782 ","21,195 ","19,642 ","27,661 ","37,747 ","40,115 ","26,049 ","27,639 ","65,270 ","24,286 ","32,367 ","40,310 ","22,466 ","56,679 ","20,798 ","17,174 ","16,162 ","12,409 ","10,007 ","27,179 ","17,581 ","6,589 ","7,144 ","40,036 ","23,881 ","21,914 ","20,946 ","13,521 ","12,033 ","4,385 ","4,216 ","4,320 ","9,110 ","9,025 ","11,848 ","17,194 ","28,734 ","24,133 ","11,372 ","12,549 ","12,042 ","11,732 ","11,806 ","8,697 ","7,990 "
2016/1/8,"5,728 ","17,743 ","41,585 ","54,792 ","26,544 ","16,607 ","12,644 ","3,999 ","3,106 ","16,992 ","2,103 ","4,695 ","6,938 ","10,839 ","12,574 ","19,181 ","16,520 ","5,972 ","8,582 ","3,166 ","8,883 ","9,143 ","4,558 ","42,543 ","2,496 ","10,778 ","12,787 ","16,726 ","22,315 ","17,687 ","9,508 ","29,370 ","20,299 ","35,335 ","31,587 ","10,150 ","39,279 ","28,626 ","26,953 ","21,745 ","26,936 ","165,670 ","40,691 ","26,252 ","26,478 ","27,988 ","37,911 ","31,944 ","25,880 ","13,323 ","34,370 ","7,801 ","8,506 ","20,275 ","7,523 ","3,482 ","3,218 ","14,496 ","10,774 ","7,698 ","37,488 ","6,812 ","12,909 ","7,243 ","22,391 ","20,185 ","29,974 ","42,329 ","42,372 ","28,067 ","28,685 ","75,926 ","25,394 ","35,191 ","46,569 ","25,798 ","64,044 ","22,348 ","18,709 ","16,684 ","14,005 ","10,374 ","28,948 ","19,144 ","7,673 ","7,685 ","41,441 ","24,550 ","23,115 ","22,431 ","13,935 ","12,925 ","4,923 ","4,508 ","4,701 ","9,430 ","9,791 ","12,520 ","18,844 ","31,409 ","26,309 ","12,109 ","13,094 ","13,443 ","12,374 ","12,563 ","9,230 ","8,455 "
2016/1/9,"4,915 ","12,238 ","26,918 ","56,546 ","18,624 ","12,209 ","9,493 ","3,620 ","2,772 ","11,384 ","1,822 ","3,355 ","9,761 ","7,680 ","15,668 ","6,897 ","8,266 ","4,436 ","8,037 ","3,946 ","6,482 ","7,450 ","2,379 ","38,662 ","2,505 ","12,718 ","10,594 ","14,476 ","18,280 ","16,353 ","9,017 ","37,052 ","21,361 ","30,604 ","30,674 ","5,700 ","34,362 ","25,041 ","22,836 ","20,076 ","17,250 ","173,903 ","42,223 ","22,163 ","18,787 ","28,107 ","40,058 ","30,690 ","22,340 ","9,810 ","27,665 ","6,254 ","5,761 ","17,483 ","9,718 ","3,556 ","1,988 ","9,249 ","9,730 ","6,406 ","42,558 ","5,623 ","12,415 ","6,946 ","18,651 ","15,396 ","30,485 ","41,874 ","35,035 ","23,938 ","30,400 ","84,995 ","18,956 ","34,325 ","44,144 ","23,531 ","56,512 ","17,423 ","16,071 ","10,820 ","9,938 ","9,382 ","26,816 ","14,044 ","11,011 ","6,630 ","23,299 ","20,813 ","17,316 ","19,360 ","9,848 ","11,735 ","5,652 ","2,694 ","3,976 ","8,106 ","9,124 ","10,083 ","14,470 ","24,307 ","25,469 ","10,598 ","11,158 ","12,825 ","10,736 ","11,244 ","8,327 ","7,899 "
2016/1/10,"4,570 ","9,078 ","18,511 ","43,735 ","13,808 ","8,933 ","7,180 ","3,273 ","2,284 ","9,305 ","1,509 ","2,722 ","10,674 ","6,790 ","11,638 ","5,575 ","6,008 ","3,771 ","6,387 ","3,697 ","5,322 ","6,045 ","1,827 ","34,045 ","2,019 ","10,562 ","8,653 ","11,504 ","13,889 ","13,792 ","7,403 ","24,837 ","16,150 ","21,804 ","23,408 ","4,430 ","27,598 ","20,053 ","17,826 ","15,619 ","11,349 ","152,784 ","33,428 ","15,673 ","17,217 ","24,870 ","32,986 ","24,471 ","22,851 ","7,381 ","21,871 ","5,357 ","4,812 ","14,796 ","8,138 ","2,881 ","1,695 ","8,177 ","7,928 ","5,366 ","40,041 ","5,159 ","10,349 ","5,457 ","15,767 ","12,528 ","23,785 ","34,258 ","28,431 ","19,000 ","28,503 ","68,910 ","15,617 ","25,965 ","33,043 ","18,326 ","45,534 ","13,853 ","13,299 ","9,080 ","8,537 ","8,179 ","23,256 ","10,339 ","8,918 ","4,993 ","17,356 ","11,042 ","13,282 ","14,854 ","7,825 ","9,061 ","4,275 ","2,278 ","3,361 ","5,994 ","7,319 ","7,978 ","11,222 ","20,160 ","21,422 ","8,509 ","8,841 ","9,676 ","8,284 ","9,081 ","6,701 ","6,485 "
