"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2017/8/1,"6,099 ","15,602 ","40,471 ","47,335 ","23,804 ","13,999 ","10,929 ","3,761 ","2,835 ","13,429 ","2,050 ","3,947 ","7,108 ","8,500 ","10,234 ","17,220 ","15,224 ","5,117 ","8,159 ","3,124 ","7,722 ","7,853 ","4,955 ","26,011 ","2,442 ","10,054 ","11,042 ","15,935 ","20,222 ","15,631 ","8,978 ","27,275 ","18,090 ","32,261 ","29,148 ","8,787 ","36,119 ","26,766 ","25,007 ","20,248 ","27,536 ","143,159 ","38,233 ","24,831 ","22,900 ","27,356 ","29,828 ","27,583 ","23,222 ","12,540 ","30,500 ","7,229 ","8,325 ","17,578 ","5,305 ","3,428 ","3,014 ","11,239 ","9,530 ","6,434 ","32,048 ","7,270 ","12,116 ","6,696 ","20,837 ","19,694 ","26,385 ","39,906 ","37,690 ","25,874 ","27,214 ","67,942 ","21,221 ","30,252 ","39,300 ","23,316 ","61,412 ","19,122 ","16,600 ","14,859 ","15,444 ","10,313 ","28,374 ","18,180 ","7,601 ","10,001 ","40,098 ","22,264 ","23,811 ","23,467 ","8,629 ","10,973 ","4,260 ","4,900 ","5,724 ","9,260 ","9,371 ","10,951 ","16,714 ","29,029 ","25,108 ","11,635 ","12,120 ","12,014 ","11,209 ","11,564 ","8,204 ","8,110 "
2017/8/2,"5,754 ","15,372 ","41,112 ","47,881 ","23,280 ","14,279 ","11,210 ","3,868 ","2,800 ","13,520 ","2,077 ","4,092 ","6,291 ","8,373 ","10,216 ","17,422 ","15,343 ","5,045 ","8,071 ","3,005 ","7,913 ","7,795 ","5,069 ","26,404 ","2,209 ","9,959 ","11,114 ","15,905 ","20,051 ","14,310 ","9,071 ","25,675 ","18,170 ","32,502 ","28,683 ","8,716 ","35,669 ","26,653 ","24,630 ","20,171 ","26,716 ","145,005 ","38,829 ","24,535 ","22,510 ","24,962 ","29,408 ","26,901 ","23,080 ","12,242 ","30,492 ","7,207 ","8,171 ","17,234 ","4,992 ","3,433 ","2,927 ","11,244 ","9,295 ","6,361 ","30,955 ","7,368 ","12,197 ","6,766 ","20,304 ","19,115 ","26,061 ","39,835 ","37,808 ","25,934 ","26,097 ","67,972 ","21,947 ","30,540 ","39,709 ","23,207 ","61,340 ","19,008 ","16,232 ","15,063 ","15,855 ","10,073 ","28,625 ","18,059 ","7,345 ","9,953 ","40,792 ","22,652 ","24,083 ","23,593 ","8,417 ","10,728 ","4,413 ","4,725 ","5,619 ","9,069 ","9,422 ","10,654 ","16,579 ","28,544 ","24,666 ","11,259 ","12,104 ","11,980 ","11,316 ","11,416 ","8,336 ","7,919 "
2017/8/3,"6,129 ","15,891 ","42,316 ","49,649 ","24,448 ","14,162 ","11,511 ","3,866 ","2,924 ","13,451 ","2,096 ","4,135 ","6,933 ","8,442 ","10,819 ","17,405 ","15,574 ","4,977 ","8,107 ","3,169 ","7,819 ","7,727 ","5,270 ","26,702 ","2,413 ","10,589 ","11,467 ","16,370 ","20,716 ","14,507 ","9,334 ","27,333 ","18,362 ","32,945 ","30,149 ","8,981 ","36,693 ","26,781 ","25,123 ","20,603 ","27,275 ","151,599 ","40,495 ","24,731 ","22,702 ","26,204 ","31,172 ","28,557 ","23,142 ","12,371 ","30,849 ","7,201 ","8,817 ","17,655 ","5,328 ","3,553 ","2,869 ","11,274 ","9,500 ","6,397 ","33,358 ","7,351 ","12,229 ","6,582 ","20,857 ","19,487 ","27,096 ","41,297 ","38,257 ","26,369 ","27,057 ","71,086 ","22,332 ","31,615 ","41,412 ","24,019 ","65,415 ","19,769 ","16,492 ","15,136 ","16,190 ","10,582 ","31,087 ","18,633 ","7,343 ","10,252 ","41,358 ","23,128 ","24,459 ","23,781 ","8,700 ","10,775 ","4,274 ","4,758 ","5,720 ","9,241 ","9,852 ","11,156 ","17,174 ","29,274 ","26,146 ","11,671 ","12,259 ","12,213 ","11,515 ","11,517 ","8,392 ","7,983 "
2017/8/4,"6,589 ","16,283 ","43,163 ","55,002 ","24,459 ","14,439 ","11,818 ","3,909 ","2,805 ","13,095 ","2,079 ","3,903 ","7,009 ","8,400 ","12,003 ","17,657 ","15,540 ","5,182 ","8,411 ","3,258 ","7,960 ","7,877 ","5,171 ","26,850 ","2,406 ","10,481 ","11,914 ","16,627 ","21,230 ","15,448 ","9,458 ","28,793 ","19,213 ","32,752 ","30,499 ","8,657 ","37,065 ","27,373 ","25,445 ","20,606 ","26,984 ","186,662 ","44,115 ","26,539 ","23,735 ","26,150 ","32,793 ","29,931 ","24,331 ","12,218 ","30,602 ","7,332 ","9,199 ","17,943 ","5,570 ","3,523 ","2,875 ","10,899 ","9,690 ","6,460 ","33,877 ","7,959 ","13,159 ","7,144 ","21,385 ","19,473 ","28,305 ","46,462 ","39,201 ","26,846 ","27,867 ","78,540 ","22,457 ","34,198 ","45,590 ","26,563 ","71,615 ","19,895 ","17,039 ","15,523 ","19,035 ","10,909 ","32,648 ","19,763 ","7,812 ","11,101 ","42,717 ","23,623 ","25,633 ","25,682 ","8,033 ","11,391 ","4,476 ","4,845 ","5,867 ","9,104 ","10,201 ","11,143 ","17,828 ","30,231 ","27,206 ","12,158 ","12,509 ","12,641 ","11,670 ","11,870 ","8,647 ","8,286 "
2017/8/5,"4,956 ","10,346 ","24,930 ","55,251 ","16,263 ","10,462 ","8,232 ","3,517 ","2,459 ","8,867 ","1,561 ","3,011 ","9,081 ","6,446 ","12,614 ","6,093 ","7,142 ","3,962 ","7,030 ","3,248 ","5,578 ","6,515 ","2,595 ","16,424 ","2,269 ","10,757 ","9,860 ","13,080 ","15,226 ","15,625 ","8,263 ","42,344 ","19,531 ","26,105 ","25,592 ","4,724 ","32,028 ","22,933 ","20,155 ","18,675 ","13,566 ","185,639 ","43,811 ","20,826 ","17,276 ","26,501 ","35,165 ","28,709 ","20,726 ","9,008 ","26,182 ","5,914 ","6,142 ","15,084 ","6,046 ","3,091 ","2,051 ","8,420 ","8,455 ","5,560 ","39,750 ","6,171 ","11,931 ","6,285 ","18,156 ","14,697 ","28,065 ","44,211 ","32,188 ","21,589 ","28,094 ","85,671 ","14,714 ","33,059 ","41,082 ","21,635 ","61,238 ","15,233 ","14,902 ","9,488 ","14,719 ","9,264 ","30,698 ","14,321 ","10,595 ","9,455 ","21,701 ","23,001 ","17,176 ","19,826 ","6,972 ","9,620 ","3,908 ","2,403 ","5,452 ","7,721 ","9,668 ","9,212 ","13,622 ","21,385 ","24,012 ","10,290 ","10,727 ","11,102 ","9,847 ","10,624 ","7,731 ","7,290 "
2017/8/6,"4,934 ","8,728 ","18,937 ","44,400 ","13,921 ","8,890 ","6,906 ","3,338 ","2,106 ","7,625 ","1,379 ","2,609 ","8,327 ","5,725 ","10,311 ","5,465 ","5,881 ","3,460 ","6,070 ","3,171 ","4,898 ","5,714 ","2,426 ","14,150 ","2,226 ","10,224 ","8,617 ","11,571 ","12,849 ","13,070 ","7,779 ","35,194 ","16,673 ","20,950 ","22,501 ","4,119 ","28,670 ","20,129 ","17,738 ","16,199 ","10,436 ","165,910 ","36,542 ","14,931 ","16,696 ","21,120 ","29,381 ","24,028 ","18,189 ","7,587 ","20,592 ","5,058 ","4,805 ","13,699 ","5,153 ","2,659 ","1,903 ","7,211 ","7,275 ","4,944 ","36,442 ","5,913 ","10,330 ","5,562 ","16,056 ","11,925 ","21,859 ","38,427 ","27,388 ","18,613 ","25,539 ","72,389 ","12,844 ","28,612 ","32,171 ","17,679 ","50,875 ","13,573 ","13,095 ","8,844 ","13,620 ","7,252 ","27,509 ","11,382 ","9,512 ","7,770 ","16,694 ","12,799 ","14,557 ","15,266 ","6,258 ","7,713 ","3,327 ","2,107 ","4,960 ","6,829 ","8,006 ","7,515 ","11,882 ","18,057 ","21,343 ","8,676 ","9,082 ","9,124 ","8,415 ","9,124 ","6,685 ","6,425 "
2017/8/7,"6,106 ","15,006 ","40,330 ","47,505 ","23,499 ","13,294 ","11,181 ","3,917 ","2,871 ","13,262 ","1,998 ","3,797 ","5,563 ","8,266 ","10,250 ","17,083 ","14,644 ","4,954 ","7,793 ","3,062 ","7,767 ","7,535 ","5,046 ","25,517 ","2,432 ","9,964 ","11,241 ","16,176 ","20,131 ","14,153 ","8,820 ","26,391 ","17,947 ","31,735 ","27,550 ","8,838 ","35,664 ","26,190 ","24,446 ","20,289 ","26,607 ","153,248 ","37,838 ","24,712 ","22,490 ","23,561 ","29,668 ","26,851 ","22,463 ","11,979 ","30,611 ","7,052 ","8,422 ","17,475 ","4,591 ","3,256 ","2,825 ","11,024 ","9,491 ","6,441 ","32,967 ","7,418 ","12,131 ","6,865 ","20,475 ","19,392 ","26,193 ","41,224 ","37,225 ","25,834 ","27,490 ","69,414 ","19,914 ","31,086 ","39,478 ","23,971 ","62,290 ","18,598 ","16,425 ","14,838 ","16,047 ","10,389 ","29,081 ","17,997 ","7,316 ","10,116 ","39,644 ","21,705 ","23,701 ","22,893 ","8,807 ","10,659 ","4,324 ","4,753 ","5,563 ","9,246 ","9,481 ","10,539 ","16,594 ","28,423 ","24,567 ","11,416 ","12,079 ","12,002 ","11,180 ","11,543 ","8,438 ","7,891 "
2017/8/8,"5,777 ","15,495 ","40,799 ","48,007 ","23,921 ","13,739 ","11,258 ","3,871 ","2,748 ","13,176 ","2,000 ","3,915 ","6,351 ","8,266 ","10,456 ","17,136 ","14,990 ","4,850 ","7,899 ","2,983 ","7,674 ","7,592 ","5,347 ","25,936 ","2,512 ","10,048 ","11,139 ","16,356 ","20,326 ","14,599 ","9,010 ","26,200 ","17,615 ","31,914 ","28,914 ","8,759 ","35,797 ","26,245 ","24,672 ","20,298 ","26,741 ","143,967 ","38,981 ","24,388 ","22,053 ","25,063 ","29,431 ","27,570 ","23,434 ","12,129 ","30,193 ","7,158 ","8,369 ","17,352 ","4,856 ","3,497 ","2,826 ","11,722 ","9,512 ","6,258 ","31,816 ","7,490 ","12,148 ","6,764 ","20,555 ","19,448 ","25,972 ","41,334 ","37,647 ","26,044 ","27,254 ","66,797 ","20,333 ","29,381 ","39,133 ","23,771 ","61,505 ","19,068 ","16,768 ","14,758 ","16,068 ","10,510 ","28,653 ","18,132 ","7,437 ","9,989 ","39,538 ","22,054 ","23,900 ","22,913 ","9,193 ","10,977 ","4,319 ","4,731 ","5,641 ","9,188 ","9,446 ","10,740 ","16,268 ","28,394 ","24,751 ","11,191 ","12,298 ","12,127 ","11,315 ","11,436 ","8,468 ","8,106 "
2017/8/9,"6,306 ","15,891 ","42,117 ","50,470 ","23,444 ","14,218 ","11,522 ","3,951 ","2,889 ","13,668 ","2,112 ","3,940 ","6,465 ","8,996 ","10,587 ","17,512 ","15,262 ","5,039 ","8,007 ","3,306 ","8,028 ","7,804 ","5,260 ","26,890 ","3,372 ","10,457 ","11,360 ","16,658 ","20,368 ","14,593 ","9,207 ","28,118 ","18,690 ","32,854 ","29,321 ","9,234 ","36,310 ","27,070 ","25,177 ","20,508 ","27,069 ","152,640 ","41,421 ","25,672 ","22,904 ","25,254 ","31,130 ","28,114 ","23,498 ","12,324 ","31,039 ","7,217 ","8,617 ","17,855 ","5,095 ","3,412 ","2,959 ","11,406 ","9,519 ","6,294 ","33,324 ","7,562 ","12,568 ","6,977 ","20,925 ","19,780 ","27,406 ","42,090 ","38,498 ","26,380 ","27,665 ","72,365 ","22,940 ","31,476 ","41,765 ","25,014 ","63,889 ","19,441 ","16,935 ","15,220 ","16,398 ","10,805 ","31,402 ","18,611 ","7,715 ","10,173 ","41,835 ","23,304 ","24,548 ","24,188 ","9,195 ","11,442 ","4,543 ","4,818 ","5,871 ","9,538 ","9,774 ","10,548 ","17,111 ","30,288 ","25,570 ","11,785 ","12,422 ","12,744 ","11,532 ","11,748 ","8,699 ","8,166 "
2017/8/10,"6,430 ","15,924 ","42,849 ","51,829 ","24,268 ","14,347 ","11,392 ","3,747 ","2,753 ","13,413 ","2,043 ","3,871 ","7,086 ","8,891 ","10,968 ","17,313 ","15,338 ","5,120 ","8,107 ","3,168 ","8,230 ","8,052 ","5,241 ","26,890 ","3,392 ","10,362 ","11,227 ","16,759 ","20,672 ","14,685 ","9,392 ","28,029 ","18,736 ","32,476 ","30,829 ","9,020 ","36,756 ","27,165 ","25,263 ","20,681 ","26,907 ","162,920 ","41,969 ","25,226 ","22,921 ","25,918 ","32,493 ","28,574 ","23,607 ","11,976 ","31,002 ","7,335 ","8,644 ","17,710 ","5,170 ","3,479 ","2,898 ","11,255 ","9,449 ","6,386 ","33,113 ","7,715 ","12,613 ","6,947 ","20,875 ","19,561 ","27,728 ","42,952 ","38,630 ","26,591 ","28,290 ","74,714 ","21,445 ","33,336 ","42,671 ","24,559 ","66,074 ","19,250 ","17,149 ","15,287 ","16,665 ","10,811 ","41,403 ","18,931 ","7,532 ","10,206 ","41,445 ","24,426 ","24,786 ","24,302 ","9,379 ","11,425 ","4,381 ","4,911 ","5,795 ","9,703 ","9,958 ","10,746 ","17,064 ","30,350 ","26,037 ","11,944 ","12,517 ","12,422 ","11,782 ","11,769 ","8,801 ","8,267 "
