"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2016/2/1,"5,664 ","17,119 ","40,861 ","56,032 ","23,371 ","15,123 ","12,209 ","4,302 ","2,976 ","14,065 ","1,957 ","3,560 ","4,118 ","8,325 ","11,278 ","17,636 ","15,229 ","4,762 ","8,501 ","2,849 ","8,017 ","8,091 ","4,555 ","27,244 ","2,471 ","9,766 ","12,194 ","16,207 ","21,276 ","14,899 ","9,701 ","27,463 ","19,675 ","34,283 ","33,126 ","8,307 ","39,070 ","27,625 ","27,199 ","21,236 ","28,523 ","169,044 ","40,999 ","26,772 ","23,919 ","23,864 ","29,652 ","28,336 ","23,725 ","12,307 ","32,013 ","7,714 ","8,170 ","17,536 ","6,706 ","3,420 ","2,912 ","10,946 ","9,367 ","6,646 ","29,100 ","7,144 ","12,012 ","7,082 ","20,948 ","18,678 ","29,457 ","42,326 ","40,313 ","27,166 ","27,984 ","76,570 ","22,805 ","34,343 ","46,239 ","26,767 ","63,319 ","20,558 ","18,470 ","15,615 ","12,104 ","8,936 ","42,324 ","18,759 ","7,179 ","9,279 ","42,467 ","25,247 ","23,866 ","21,237 ","8,350 ","11,381 ","4,452 ","4,396 ","4,355 ","9,386 ","9,984 ","12,411 ","17,457 ","30,531 ","25,667 ","11,352 ","11,794 ","12,765 ","12,077 ","12,359 ","7,729 ","8,164 "
2016/2/2,"5,765 ","18,004 ","42,365 ","58,111 ","24,225 ","15,334 ","12,581 ","4,273 ","3,026 ","13,996 ","2,026 ","3,513 ","5,662 ","8,710 ","12,452 ","18,249 ","15,921 ","5,381 ","8,513 ","2,832 ","8,055 ","8,302 ","4,580 ","27,694 ","2,342 ","9,755 ","12,288 ","16,655 ","20,801 ","15,554 ","9,940 ","28,269 ","20,619 ","35,160 ","36,324 ","8,161 ","39,236 ","28,381 ","27,144 ","21,745 ","28,474 ","163,333 ","42,657 ","27,111 ","24,804 ","25,180 ","32,415 ","30,235 ","24,720 ","12,564 ","31,833 ","7,727 ","8,201 ","17,981 ","7,422 ","3,405 ","3,025 ","10,913 ","9,859 ","6,877 ","30,017 ","7,487 ","12,335 ","7,002 ","21,083 ","18,861 ","30,372 ","42,358 ","41,065 ","27,532 ","28,416 ","76,687 ","22,094 ","34,983 ","48,219 ","27,901 ","63,639 ","21,525 ","18,943 ","16,283 ","12,373 ","9,516 ","41,767 ","19,141 ","7,614 ","9,780 ","43,383 ","23,115 ","24,608 ","22,207 ","8,307 ","11,525 ","4,554 ","4,497 ","4,652 ","9,538 ","9,899 ","12,603 ","17,595 ","31,230 ","27,274 ","11,104 ","11,923 ","12,666 ","11,628 ","12,213 ","7,920 ","8,265 "
2016/2/3,"6,018 ","17,361 ","41,669 ","59,865 ","25,516 ","15,216 ","12,438 ","4,254 ","2,983 ","14,031 ","2,057 ","3,698 ","6,924 ","8,608 ","12,588 ","18,313 ","16,030 ","5,315 ","8,908 ","2,925 ","8,176 ","8,532 ","4,667 ","28,790 ","2,356 ","10,277 ","12,437 ","16,823 ","21,038 ","16,094 ","9,768 ","28,587 ","21,351 ","35,343 ","37,502 ","8,315 ","38,955 ","28,301 ","27,221 ","21,767 ","28,128 ","166,146 ","43,402 ","27,417 ","24,213 ","25,620 ","33,165 ","31,150 ","27,328 ","11,981 ","32,716 ","7,824 ","8,223 ","18,607 ","7,347 ","3,531 ","2,965 ","11,054 ","9,839 ","7,118 ","31,774 ","8,036 ","12,871 ","7,674 ","21,384 ","18,589 ","30,980 ","42,462 ","41,182 ","27,359 ","29,011 ","82,702 ","23,578 ","35,451 ","49,364 ","28,401 ","62,888 ","21,384 ","19,108 ","16,401 ","12,466 ","9,856 ","29,381 ","19,153 ","8,284 ","9,873 ","42,763 ","22,270 ","25,116 ","22,823 ","8,234 ","11,405 ","4,610 ","4,627 ","4,475 ","9,308 ","10,008 ","12,898 ","17,770 ","31,153 ","26,290 ","11,494 ","12,170 ","12,716 ","11,643 ","12,233 ","8,008 ","8,088 "
2016/2/4,"5,965 ","17,144 ","42,148 ","61,908 ","23,012 ","14,748 ","12,163 ","4,117 ","2,998 ","13,298 ","1,985 ","3,535 ","7,320 ","8,518 ","12,715 ","17,428 ","15,442 ","4,928 ","8,662 ","2,961 ","7,870 ","8,136 ","4,419 ","27,203 ","2,489 ","10,042 ","12,177 ","16,433 ","20,453 ","15,032 ","9,586 ","27,661 ","20,602 ","33,905 ","37,803 ","7,814 ","37,775 ","27,105 ","26,422 ","21,029 ","26,501 ","173,338 ","44,399 ","26,596 ","23,878 ","25,049 ","33,233 ","30,769 ","25,293 ","11,624 ","31,397 ","7,738 ","8,235 ","18,470 ","7,220 ","3,411 ","2,894 ","10,642 ","9,430 ","7,073 ","32,284 ","7,974 ","13,064 ","7,040 ","20,428 ","18,345 ","30,242 ","43,182 ","40,650 ","27,079 ","28,485 ","76,281 ","21,013 ","34,383 ","49,539 ","27,760 ","64,651 ","20,807 ","18,828 ","16,212 ","11,974 ","9,549 ","29,312 ","18,705 ","8,432 ","10,408 ","42,188 ","26,552 ","24,207 ","22,704 ","8,038 ","11,376 ","4,698 ","4,536 ","4,438 ","8,922 ","9,815 ","12,736 ","17,089 ","30,364 ","25,962 ","11,253 ","11,834 ","12,445 ","11,418 ","11,935 ","7,839 ","7,911 "
2016/2/5,"6,066 ","15,662 ","37,964 ","63,849 ","21,425 ","12,915 ","11,438 ","3,864 ","2,661 ","12,213 ","1,890 ","3,214 ","5,044 ","7,304 ","11,724 ","16,001 ","13,826 ","4,580 ","8,025 ","2,712 ","7,291 ","7,723 ","4,042 ","26,560 ","2,145 ","9,328 ","11,564 ","16,172 ","19,570 ","14,553 ","9,392 ","24,885 ","19,479 ","31,003 ","35,698 ","7,217 ","36,376 ","25,838 ","24,920 ","20,426 ","23,861 ","187,299 ","44,610 ","25,686 ","22,520 ","23,671 ","31,711 ","27,939 ","24,700 ","11,077 ","28,027 ","7,231 ","7,818 ","17,504 ","6,561 ","3,103 ","2,719 ","9,619 ","8,908 ","6,358 ","27,545 ","8,095 ","12,850 ","7,049 ","20,305 ","17,106 ","29,734 ","44,673 ","39,050 ","26,175 ","27,689 ","79,355 ","19,882 ","32,248 ","50,814 ","26,294 ","64,797 ","20,317 ","17,537 ","14,982 ","11,443 ","8,700 ","28,011 ","17,899 ","7,871 ","10,547 ","39,252 ","19,957 ","22,733 ","21,934 ","6,960 ","11,060 ","4,821 ","4,724 ","4,495 ","8,546 ","10,303 ","12,128 ","16,454 ","29,011 ","25,767 ","10,839 ","11,464 ","12,050 ","11,031 ","11,786 ","7,498 ","7,760 "
2016/2/6,"4,484 ","6,846 ","14,274 ","45,192 ","9,590 ","5,804 ","5,314 ","2,825 ","1,397 ","6,090 ","1,079 ","1,778 ","4,256 ","4,109 ","7,592 ","3,536 ","3,953 ","2,362 ","4,607 ","1,613 ","3,528 ","4,311 ","1,192 ","13,181 ","1,305 ","6,359 ","6,508 ","8,860 ","10,085 ","9,480 ","5,869 ","15,919 ","12,132 ","15,553 ","22,574 ","2,524 ","22,190 ","14,702 ","13,602 ","13,590 ","6,314 ","136,315 ","29,941 ","15,239 ","11,516 ","13,614 ","24,978 ","19,251 ","15,195 ","6,159 ","15,900 ","4,032 ","3,547 ","11,350 ","5,463 ","2,075 ","1,244 ","5,153 ","5,787 ","4,080 ","20,900 ","4,110 ","7,058 ","4,515 ","12,278 ","9,042 ","18,635 ","29,753 ","22,472 ","14,987 ","21,155 ","58,076 ","8,751 ","20,152 ","32,214 ","13,771 ","40,677 ","11,670 ","11,879 ","6,733 ","6,101 ","4,244 ","16,056 ","8,875 ","6,702 ","6,844 ","12,553 ","11,707 ","10,707 ","12,645 ","4,041 ","6,514 ","2,500 ","1,725 ","2,486 ","4,915 ","7,086 ","8,814 ","8,865 ","13,350 ","17,107 ","6,368 ","7,100 ","7,420 ","6,563 ","7,915 ","4,707 ","4,932 "
2016/2/7,"3,254 ","4,427 ","9,348 ","22,363 ","5,952 ","3,660 ","3,886 ","2,164 ","1,307 ","4,357 ",870 ,"1,372 ","1,835 ","2,525 ","5,150 ","2,138 ","2,205 ","1,645 ","3,128 ","1,204 ","2,234 ","2,864 ",723 ,"14,202 ","1,116 ","5,168 ","4,919 ","6,099 ","6,840 ","6,119 ","4,395 ","7,633 ","6,180 ","8,979 ","12,267 ","1,545 ","14,553 ","9,741 ","9,377 ","9,667 ","3,714 ","90,780 ","14,277 ","7,692 ","7,152 ","9,590 ","15,419 ","12,412 ","9,892 ","4,032 ","10,054 ","3,228 ","2,453 ","8,229 ","4,317 ","1,492 ",839 ,"3,665 ","4,000 ","3,285 ","19,483 ","3,157 ","4,835 ","3,170 ","8,014 ","5,465 ","9,953 ","18,150 ","13,168 ","9,241 ","17,006 ","34,180 ","6,125 ","8,544 ","12,762 ","6,542 ","21,438 ","7,733 ","7,263 ","4,162 ","4,010 ","3,567 ","13,422 ","5,533 ","4,294 ","3,005 ","7,422 ","4,981 ","6,940 ","7,806 ","2,570 ","4,260 ","1,683 ","1,181 ","1,747 ","3,709 ","4,600 ","4,766 ","6,350 ","8,528 ","10,653 ","3,910 ","4,386 ","5,211 ","4,247 ","5,388 ","3,570 ","3,404 "
2016/2/8,"3,698 ","5,693 ","10,984 ","37,278 ","6,647 ","4,341 ","4,447 ","2,593 ","1,490 ","5,374 ","1,361 ","2,279 ","17,419 ","3,017 ","8,865 ","2,284 ","2,675 ","2,056 ","4,180 ","3,311 ","2,758 ","3,919 ","1,029 ","10,153 ","1,363 ","10,101 ","6,684 ","8,723 ","8,703 ","8,492 ","4,916 ","12,878 ","7,707 ","10,839 ","17,065 ","2,040 ","20,713 ","14,064 ","13,090 ","15,824 ","4,601 ","122,836 ","24,400 ","12,626 ","10,851 ","20,345 ","34,204 ","24,819 ","13,888 ","5,245 ","13,824 ","4,536 ","5,561 ","11,831 ","8,695 ","2,642 ","3,033 ","19,583 ","6,059 ","4,856 ","59,483 ","4,447 ","8,326 ","4,986 ","12,393 ","7,722 ","19,907 ","29,337 ","20,276 ","13,463 ","58,540 ","67,490 ","6,014 ","15,292 ","19,369 ","11,429 ","42,367 ","7,541 ","11,054 ","5,749 ","6,507 ","8,002 ","25,564 ","7,012 ","5,831 ","3,865 ","9,507 ","6,563 ","8,466 ","19,838 ","3,532 ","6,952 ","2,723 ","1,763 ","2,554 ","5,152 ","7,035 ","6,128 ","7,069 ","37,843 ","12,254 ","6,107 ","8,647 ","7,231 ","6,988 ","8,608 ","4,951 ","4,752 "
2016/2/9,"3,961 ","6,333 ","12,960 ","37,356 ","7,458 ","4,553 ","5,112 ","2,868 ","1,497 ","5,892 ","1,287 ","2,857 ","20,136 ","3,333 ","9,252 ","2,842 ","3,238 ","2,300 ","4,870 ","3,201 ","3,378 ","4,440 ","1,362 ","11,911 ","1,719 ","11,331 ","7,798 ","9,399 ","9,654 ","9,024 ","5,472 ","13,962 ","8,590 ","11,461 ","21,706 ","2,447 ","22,491 ","15,571 ","14,770 ","16,777 ","5,607 ","136,022 ","24,305 ","11,659 ","10,841 ","19,968 ","36,670 ","28,490 ","15,569 ","5,900 ","16,021 ","4,582 ","4,700 ","12,677 ","10,799 ","2,379 ","1,865 ","13,122 ","6,614 ","5,561 ","64,134 ","4,881 ","9,155 ","5,164 ","12,709 ","8,677 ","19,494 ","31,070 ","20,836 ","14,382 ","37,270 ","68,598 ","6,013 ","16,857 ","20,780 ","13,615 ","40,614 ","8,557 ","11,451 ","6,538 ","7,054 ","7,935 ","25,555 ","8,015 ","6,095 ","3,795 ","10,773 ","7,324 ","9,305 ","17,439 ","4,039 ","7,578 ","3,152 ","1,616 ","2,737 ","5,698 ","7,326 ","6,443 ","7,773 ","20,103 ","13,883 ","6,790 ","8,202 ","8,560 ","7,516 ","9,370 ","5,928 ","5,425 "
2016/2/10,"4,396 ","7,259 ","14,856 ","44,792 ","9,198 ","5,254 ","5,768 ","3,094 ","1,757 ","7,103 ","1,702 ","3,603 ","27,820 ","3,689 ","11,367 ","3,349 ","3,807 ","3,042 ","5,428 ","4,713 ","3,876 ","5,381 ","1,586 ","24,074 ","2,023 ","14,331 ","8,364 ","10,302 ","10,720 ","10,162 ","5,658 ","18,524 ","10,747 ","12,933 ","26,908 ","2,769 ","24,628 ","17,607 ","16,144 ","18,329 ","7,466 ","159,196 ","30,432 ","14,336 ","13,108 ","23,382 ","44,997 ","35,684 ","17,188 ","6,472 ","18,310 ","5,016 ","5,274 ","14,719 ","13,015 ","2,837 ","2,140 ","15,703 ","7,232 ","6,663 ","80,374 ","5,542 ","11,058 ","5,700 ","14,507 ","9,418 ","22,838 ","35,571 ","23,758 ","15,784 ","40,477 ","85,025 ","7,658 ","24,085 ","28,810 ","18,941 ","49,287 ","9,338 ","13,108 ","7,212 ","8,750 ","10,298 ","30,103 ","8,795 ","7,459 ","4,696 ","12,528 ","8,473 ","10,405 ","20,468 ","4,815 ","8,044 ","3,595 ","1,823 ","3,104 ","6,026 ","8,270 ","7,277 ","8,937 ","20,856 ","17,788 ","8,165 ","9,158 ","8,956 ","8,070 ","9,477 ","6,189 ","6,141 "
