"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2018/11/1,"5,511 ","16,373 ","45,480 ","48,168 ","28,700 ","16,732 ","12,476 ","4,021 ","3,014 ","16,486 ","2,231 ","4,911 ","5,625 ","11,085 ","11,105 ","20,209 ","18,103 ","5,975 ","9,222 ","3,173 ","9,067 ","8,910 ","5,716 ","36,671 ","2,586 ","11,022 ","12,387 ","17,353 ","22,627 ","18,204 ","9,943 ","28,284 ","18,994 ","35,073 ","29,269 ","11,921 ","39,124 ","28,391 ","26,640 ","22,524 ","26,763 ","135,757 ","40,659 ","24,380 ","24,939 ","28,279 ","32,787 ","29,075 ","24,269 ","13,396 ","33,628 ","7,247 ","8,739 ","19,199 ","6,091 ","3,816 ","3,793 ","14,122 ","9,943 ","7,215 ","34,135 ","8,279 ","13,340 ","7,283 ","22,825 ","24,347 ","27,769 ","43,116 ","43,185 ","27,527 ","29,146 ","67,153 ","26,039 ","33,240 ","37,442 ","23,946 ","63,668 ","21,986 ","17,150 ","16,883 ","19,320 ","12,880 ","29,954 ","19,882 ","7,588 ","11,978 ","43,292 ","26,492 ","26,348 ","24,721 ","14,885 ","12,018 ","4,779 ","5,208 ","6,467 ","10,695 ","10,009 ","12,403 ","19,093 ","30,564 ","26,905 ","13,716 ","13,044 ","13,148 ","13,002 ","12,523 ","10,465 ","9,356 "
2018/11/2,"6,285 ","16,965 ","47,891 ","55,335 ","30,043 ","17,510 ","13,245 ","4,298 ","3,087 ","17,006 ","2,237 ","4,974 ","5,999 ","10,937 ","12,325 ","20,321 ","18,118 ","6,324 ","9,777 ","3,091 ","9,280 ","9,459 ","5,799 ","36,697 ","2,786 ","11,639 ","13,101 ","18,339 ","23,810 ","19,068 ","10,404 ","31,644 ","20,016 ","37,388 ","31,489 ","12,331 ","40,804 ","30,013 ","27,567 ","23,493 ","28,045 ","178,640 ","46,799 ","25,580 ","25,860 ","29,692 ","34,117 ","31,120 ","25,526 ","13,572 ","34,554 ","7,588 ","9,313 ","19,968 ","7,086 ","3,952 ","3,774 ","13,765 ","10,287 ","7,328 ","36,034 ","8,879 ","14,826 ","7,857 ","24,499 ","24,969 ","30,661 ","49,084 ","44,533 ","28,949 ","30,626 ","77,482 ","27,393 ","36,264 ","42,617 ","25,504 ","72,902 ","23,057 ","18,999 ","16,868 ","23,011 ","13,050 ","33,525 ","21,632 ","8,300 ","13,116 ","44,972 ","27,414 ","28,397 ","25,760 ","14,795 ","12,766 ","4,947 ","5,267 ","7,009 ","11,383 ","10,673 ","13,050 ","20,223 ","32,256 ","28,859 ","14,300 ","13,636 ","14,124 ","13,572 ","13,547 ","10,935 ","9,630 "
2018/11/3,"4,318 ","10,612 ","26,259 ","53,046 ","20,090 ","12,006 ","8,833 ","3,590 ","2,700 ","10,497 ","1,652 ","3,810 ","10,536 ","8,499 ","11,834 ","6,352 ","8,440 ","4,395 ","8,271 ","3,241 ","6,181 ","9,317 ","2,521 ","23,474 ","2,384 ","12,232 ","10,153 ","14,169 ","16,535 ","16,092 ","8,969 ","31,635 ","18,486 ","29,610 ","26,198 ","6,012 ","33,080 ","23,058 ","20,474 ","19,572 ","15,458 ","169,657 ","48,614 ","21,068 ","18,474 ","32,819 ","38,179 ","29,219 ","21,702 ","9,899 ","28,386 ","7,515 ","6,587 ","17,202 ","9,792 ","3,323 ","1,957 ","9,613 ","9,118 ","5,964 ","39,583 ","6,545 ","11,793 ","6,233 ","18,993 ","17,164 ","28,742 ","44,175 ","34,168 ","22,808 ","31,801 ","86,945 ","17,629 ","32,780 ","38,035 ","22,025 ","59,893 ","16,118 ","15,116 ","11,036 ","16,837 ","9,529 ","29,426 ","14,576 ","11,734 ","11,929 ","22,025 ","19,728 ","17,698 ","21,061 ","8,691 ","9,755 ","4,314 ","2,732 ","7,413 ","8,723 ","9,623 ","11,497 ","14,416 ","21,516 ","25,660 ","11,225 ","10,683 ","10,946 ","9,963 ","10,917 ","7,964 ","7,819 "
2018/11/4,"4,387 ","8,487 ","19,590 ","41,907 ","13,650 ","9,108 ","7,410 ","3,539 ","2,351 ","9,373 ","1,593 ","3,313 ","11,308 ","6,307 ","11,480 ","5,453 ","7,428 ","3,697 ","7,042 ","3,489 ","5,346 ","6,020 ","2,194 ","14,591 ","2,233 ","11,315 ","9,013 ","12,341 ","14,348 ","15,334 ","8,112 ","27,460 ","15,179 ","22,215 ","24,828 ","4,873 ","28,555 ","20,343 ","17,683 ","16,965 ","11,640 ","148,671 ","38,950 ","15,057 ","17,176 ","27,159 ","31,757 ","23,796 ","22,005 ","8,158 ","23,745 ","5,572 ","5,671 ","15,555 ","9,302 ","2,878 ","1,712 ","9,011 ","7,843 ","5,650 ","42,998 ","6,011 ","9,894 ","5,651 ","16,463 ","14,786 ","23,007 ","38,268 ","28,228 ","19,262 ","26,749 ","70,663 ","14,950 ","25,774 ","27,765 ","15,616 ","49,212 ","13,609 ","13,597 ","9,244 ","14,010 ","9,542 ","25,422 ","11,372 ","10,889 ","9,570 ","16,435 ","12,297 ","14,477 ","17,023 ","7,091 ","8,163 ","3,543 ","2,070 ","5,591 ","7,166 ","7,852 ","8,929 ","11,613 ","17,733 ","21,076 ","9,165 ","8,802 ","9,287 ","8,769 ","9,293 ","6,934 ","6,629 "
2018/11/5,"5,551 ","15,342 ","43,221 ","44,844 ","27,476 ","15,362 ","11,939 ","3,944 ","2,972 ","16,310 ","2,127 ","4,940 ","6,124 ","10,576 ","9,940 ","19,817 ","17,348 ","5,734 ","8,924 ","3,083 ","8,818 ","8,003 ","5,346 ","28,154 ","2,419 ","10,982 ","12,038 ","17,315 ","22,075 ","17,616 ","9,595 ","27,067 ","17,560 ","33,776 ","27,776 ","11,656 ","38,031 ","27,409 ","25,929 ","22,096 ","27,008 ","136,623 ","38,359 ","23,742 ","24,470 ","26,881 ","32,328 ","28,706 ","22,947 ","13,289 ","33,238 ","7,159 ","8,400 ","19,015 ","5,758 ","3,633 ","3,873 ","13,986 ","9,883 ","7,254 ","36,932 ","8,324 ","13,434 ","7,283 ","22,943 ","24,145 ","27,563 ","41,843 ","41,817 ","27,115 ","29,475 ","65,383 ","23,999 ","31,299 ","35,615 ","21,699 ","61,188 ","21,020 ","16,640 ","15,882 ","17,131 ","13,033 ","29,817 ","18,983 ","7,608 ","11,757 ","41,141 ","25,189 ","25,655 ","24,117 ","14,592 ","11,640 ","4,746 ","5,031 ","6,364 ","10,356 ","9,692 ","11,791 ","17,897 ","29,468 ","25,134 ","13,575 ","12,958 ","12,864 ","12,860 ","12,223 ","10,458 ","9,151 "
2018/11/6,"5,139 ","15,956 ","43,959 ","46,014 ","28,105 ","15,604 ","11,945 ","3,895 ","3,053 ","16,321 ","2,262 ","5,086 ","7,412 ","10,976 ","10,427 ","20,022 ","17,700 ","5,893 ","9,038 ","3,486 ","8,789 ","8,876 ","5,300 ","28,547 ","2,432 ","11,790 ","12,256 ","17,448 ","22,760 ","18,233 ","9,733 ","27,348 ","17,853 ","34,715 ","29,127 ","11,771 ","38,532 ","28,223 ","26,170 ","22,231 ","27,847 ","133,164 ","39,480 ","24,390 ","24,849 ","29,010 ","34,209 ","29,001 ","24,290 ","13,666 ","33,784 ","7,271 ","8,938 ","20,088 ","5,902 ","3,778 ","3,747 ","14,488 ","10,261 ","7,438 ","37,694 ","8,488 ","13,607 ","7,557 ","23,545 ","24,502 ","28,342 ","41,854 ","42,783 ","27,258 ","29,591 ","65,338 ","25,532 ","31,437 ","36,313 ","23,101 ","61,799 ","21,338 ","16,749 ","16,500 ","17,500 ","13,495 ","29,277 ","19,279 ","7,857 ","12,227 ","41,377 ","25,466 ","25,798 ","24,973 ","14,581 ","12,138 ","4,831 ","4,970 ","6,320 ","10,565 ","9,636 ","12,119 ","18,483 ","30,379 ","25,454 ","13,638 ","13,084 ","12,938 ","12,804 ","12,417 ","10,522 ","9,273 "
2018/11/7,"5,248 ","15,839 ","43,695 ","47,892 ","28,082 ","15,724 ","12,219 ","3,995 ","3,093 ","16,358 ","2,255 ","4,952 ","7,375 ","11,104 ","11,612 ","20,139 ","18,052 ","5,990 ","9,036 ","3,398 ","9,298 ","8,831 ","5,294 ","28,770 ","2,294 ","11,704 ","12,459 ","17,582 ","22,730 ","18,112 ","9,760 ","27,703 ","18,443 ","34,808 ","29,149 ","11,649 ","38,603 ","28,134 ","26,229 ","22,148 ","27,121 ","134,543 ","40,344 ","24,448 ","24,745 ","29,193 ","34,475 ","29,049 ","24,111 ","13,624 ","33,854 ","7,412 ","8,841 ","20,159 ","5,705 ","3,781 ","3,860 ","14,455 ","10,201 ","7,340 ","37,703 ","8,350 ","13,503 ","7,583 ","23,397 ","24,603 ","28,297 ","42,860 ","42,913 ","27,871 ","29,597 ","65,624 ","25,529 ","31,969 ","36,370 ","24,313 ","62,426 ","21,389 ","17,009 ","15,654 ","17,345 ","13,558 ","28,068 ","19,663 ","7,912 ","11,955 ","41,951 ","26,117 ","25,833 ","25,010 ","14,185 ","12,181 ","4,883 ","5,130 ","6,495 ","10,549 ","9,768 ","12,244 ","18,323 ","29,958 ","26,105 ","13,490 ","13,224 ","13,057 ","12,694 ","12,357 ","10,677 ","9,346 "
2018/11/8,"5,488 ","16,551 ","44,903 ","68,010 ","28,513 ","16,037 ","12,441 ","4,096 ","3,140 ","16,620 ","2,306 ","5,027 ","7,917 ","11,357 ","11,383 ","19,808 ","17,684 ","6,011 ","9,267 ","3,353 ","8,898 ","8,988 ","5,241 ","29,284 ","2,516 ","11,694 ","12,407 ","17,518 ","22,388 ","18,070 ","10,033 ","28,021 ","18,843 ","34,452 ","30,238 ","11,734 ","38,930 ","28,438 ","26,261 ","22,429 ","27,332 ","140,424 ","40,861 ","24,239 ","24,725 ","28,636 ","35,675 ","29,602 ","24,531 ","13,691 ","33,913 ","7,373 ","9,209 ","20,084 ","6,029 ","3,774 ","3,953 ","14,384 ","10,060 ","7,442 ","38,149 ","8,470 ","13,890 ","7,516 ","23,879 ","24,581 ","28,933 ","43,481 ","43,266 ","27,942 ","31,446 ","72,066 ","25,643 ","32,493 ","37,498 ","24,139 ","62,998 ","21,695 ","17,073 ","16,903 ","17,894 ","13,621 ","29,395 ","19,369 ","7,913 ","12,111 ","42,187 ","28,561 ","25,934 ","25,653 ","14,637 ","12,178 ","4,754 ","5,028 ","6,405 ","10,615 ","9,895 ","12,583 ","18,831 ","31,448 ","26,733 ","13,777 ","13,315 ","13,006 ","12,919 ","12,300 ","10,674 ","9,416 "
2018/11/9,"6,126 ","16,809 ","47,145 ","79,022 ","29,761 ","17,282 ","13,395 ","4,191 ","3,295 ","17,098 ","2,396 ","5,205 ","8,486 ","11,242 ","12,185 ","20,071 ","18,413 ","6,408 ","9,831 ","3,708 ","9,334 ","9,719 ","5,484 ","36,876 ","3,074 ","11,840 ","13,245 ","18,610 ","23,442 ","19,313 ","10,799 ","32,526 ","20,797 ","36,927 ","30,861 ","11,957 ","40,767 ","30,038 ","27,313 ","23,295 ","27,977 ","182,788 ","47,795 ","26,754 ","26,181 ","30,742 ","37,486 ","32,006 ","26,547 ","13,877 ","34,685 ","7,470 ","9,085 ","21,298 ","6,800 ","3,847 ","3,895 ","14,148 ","10,588 ","7,622 ","40,184 ","9,305 ","15,494 ","8,164 ","24,777 ","24,907 ","31,957 ","49,818 ","45,241 ","30,167 ","32,568 ","83,979 ","26,623 ","36,294 ","44,699 ","27,367 ","74,357 ","23,042 ","18,746 ","17,294 ","22,307 ","14,217 ","33,105 ","21,552 ","8,723 ","13,602 ","44,357 ","27,805 ","28,250 ","27,152 ","14,912 ","12,771 ","5,059 ","5,421 ","6,865 ","10,802 ","10,930 ","13,058 ","19,821 ","31,814 ","28,107 ","14,375 ","14,045 ","13,991 ","13,266 ","12,922 ","10,900 ","9,765 "
2018/11/10,"4,357 ","11,794 ","27,128 ","77,259 ","19,704 ","12,774 ","10,373 ","3,995 ","2,844 ","12,448 ","1,910 ","5,345 ","12,199 ","8,879 ","12,712 ","7,215 ","8,005 ","8,523 ","8,839 ","5,071 ","6,738 ","7,950 ","2,535 ","27,800 ","3,452 ","13,899 ","10,870 ","14,879 ","18,252 ","17,296 ","9,322 ","33,885 ","20,080 ","30,915 ","27,222 ","6,129 ","35,794 ","25,385 ","22,171 ","20,517 ","14,205 ","182,193 ","49,698 ","22,062 ","21,612 ","37,005 ","40,422 ","31,074 ","23,334 ","12,264 ","31,209 ","6,761 ","6,680 ","17,788 ","8,754 ","3,400 ","2,371 ","10,642 ","9,751 ","6,784 ","45,117 ","7,374 ","13,267 ","6,847 ","20,503 ","17,950 ","31,776 ","50,069 ","37,187 ","24,296 ","31,584 ","96,937 ","18,183 ","35,836 ","40,699 ","23,476 ","72,077 ","18,007 ","17,286 ","11,881 ","17,388 ","11,040 ","29,724 ","15,037 ","12,195 ","12,379 ","23,989 ","16,823 ","19,696 ","22,066 ","10,001 ","11,031 ","4,630 ","2,723 ","6,936 ","8,623 ","11,089 ","11,526 ","15,489 ","25,409 ","27,067 ","12,114 ","12,996 ","13,200 ","10,955 ","11,871 ","8,658 ","8,830 "
