"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2018/2/1,"5,420 ","16,652 ","45,555 ","51,340 ","25,392 ","15,074 ","12,431 ","4,221 ","3,104 ","14,036 ","2,032 ","3,754 ","5,427 ","8,531 ","11,683 ","18,367 ","16,509 ","4,971 ","8,692 ","2,876 ","7,767 ","8,209 ","5,621 ","41,675 ","2,765 ","10,500 ","11,592 ","17,336 ","23,160 ","15,925 ","10,187 ","27,315 ","19,295 ","34,683 ","30,086 ","9,254 ","39,096 ","28,038 ","26,784 ","21,796 ","27,063 ","150,378 ","41,200 ","25,247 ","23,436 ","25,128 ","29,857 ","27,746 ","24,089 ","12,227 ","32,571 ","7,981 ","9,215 ","18,125 ","6,681 ","3,610 ","3,015 ","11,457 ","9,617 ","6,580 ","29,856 ","8,029 ","12,295 ","7,099 ","21,719 ","20,826 ","28,481 ","42,491 ","40,790 ","27,706 ","29,217 ","73,325 ","22,569 ","33,640 ","42,659 ","26,346 ","65,207 ","21,263 ","17,949 ","15,473 ","17,519 ","10,539 ","31,265 ","19,446 ","7,440 ","12,419 ","43,673 ","24,290 ","26,609 ","25,139 ","8,301 ","11,971 ","4,657 ","5,208 ","6,246 ","10,076 ","10,505 ","12,020 ","18,420 ","31,695 ","26,347 ","12,576 ","12,678 ","12,562 ","12,325 ","12,398 ","8,634 ","8,784 "
2018/2/2,"5,751 ","17,102 ","48,399 ","57,432 ","27,437 ","15,978 ","13,060 ","4,323 ","3,019 ","14,071 ","2,202 ","3,887 ","6,288 ","8,836 ","14,583 ","18,972 ","16,914 ","5,337 ","9,002 ","3,032 ","8,021 ","8,518 ","5,902 ","40,755 ","2,510 ","10,654 ","12,398 ","17,690 ","23,229 ","13,679 ","10,522 ","28,960 ","20,763 ","36,233 ","31,521 ","9,250 ","40,491 ","29,331 ","27,811 ","22,170 ","27,755 ","176,741 ","46,255 ","26,843 ","24,664 ","26,235 ","31,568 ","29,484 ","25,741 ","12,383 ","32,841 ","7,450 ","8,565 ","18,959 ","7,338 ","3,803 ","2,875 ","10,205 ","9,909 ","6,655 ","31,526 ","8,703 ","13,641 ","7,560 ","22,388 ","21,637 ","30,324 ","47,052 ","42,324 ","29,115 ","30,215 ","82,028 ","23,438 ","34,712 ","47,171 ","29,427 ","73,517 ","22,516 ","18,678 ","16,141 ","19,964 ","11,152 ","33,024 ","21,015 ","8,135 ","13,857 ","46,140 ","29,703 ","28,289 ","27,033 ","8,651 ","11,750 ","4,850 ","5,346 ","6,469 ","10,333 ","11,025 ","12,689 ","19,668 ","33,378 ","27,749 ","12,880 ","12,861 ","13,614 ","12,615 ","12,639 ","8,858 ","8,937 "
2018/2/3,"3,812 ","11,019 ","26,903 ","55,733 ","17,533 ","11,527 ","8,887 ","3,923 ","2,595 ","9,883 ","1,528 ","2,771 ","4,595 ","6,741 ","13,118 ","6,367 ","7,452 ","4,002 ","7,416 ","2,263 ","5,390 ","6,904 ","2,422 ","36,799 ","2,150 ","8,441 ","9,399 ","12,892 ","15,660 ","15,600 ","8,628 ","27,936 ","17,860 ","26,651 ","23,425 ","4,665 ","32,796 ","22,583 ","20,857 ","17,725 ","12,742 ","164,483 ","43,359 ","20,130 ","17,067 ","20,493 ","28,048 ","26,050 ","19,396 ","8,697 ","23,330 ","5,741 ","5,364 ","14,789 ","8,486 ","2,846 ","1,678 ","6,889 ","7,723 ","4,614 ","25,635 ","5,820 ","10,061 ","5,931 ","17,101 ","14,839 ","26,251 ","41,607 ","32,985 ","21,972 ","26,667 ","80,754 ","15,177 ","30,132 ","40,141 ","23,310 ","57,285 ","16,720 ","14,331 ","9,435 ","15,928 ","6,167 ","29,212 ","14,436 ","7,737 ","10,971 ","22,861 ","19,921 ","18,003 ","17,310 ","6,864 ","9,642 ","4,150 ","2,615 ","5,486 ","8,210 ","10,051 ","11,031 ","14,444 ","22,964 ","23,200 ","10,062 ","9,753 ","11,656 ","10,019 ","10,867 ","7,087 ","7,163 "
2018/2/4,"3,700 ","9,131 ","19,366 ","43,723 ","12,651 ","8,574 ","7,200 ","3,366 ","2,086 ","8,461 ","1,324 ","2,198 ","3,808 ","5,635 ","10,386 ","4,992 ","6,189 ","3,568 ","5,889 ","1,993 ","4,423 ","5,829 ","2,034 ","28,070 ","2,011 ","7,581 ","8,145 ","11,162 ","13,572 ","12,967 ","7,825 ","26,362 ","15,331 ","21,917 ","22,007 ","4,073 ","28,768 ","19,414 ","17,740 ","15,689 ","12,698 ","151,454 ","37,180 ","15,213 ","15,734 ","18,429 ","24,268 ","22,806 ","17,375 ","7,001 ","19,938 ","4,910 ","4,685 ","13,693 ","7,298 ","2,706 ","1,443 ","6,317 ","6,237 ","4,997 ","23,022 ","5,217 ","8,204 ","4,976 ","14,428 ","11,450 ","21,921 ","36,907 ","28,353 ","18,254 ","23,611 ","70,418 ","13,513 ","24,567 ","31,564 ","18,554 ","51,023 ","14,263 ","12,597 ","8,249 ","13,526 ","5,342 ","24,460 ","10,875 ","7,214 ","9,855 ","17,236 ","16,938 ","15,216 ","14,622 ","5,899 ","7,050 ","3,491 ","2,303 ","4,554 ","7,212 ","8,153 ","9,512 ","12,319 ","19,005 ","20,072 ","8,379 ","8,389 ","9,746 ","8,827 ","9,548 ","5,814 ","6,168 "
2018/2/5,"5,294 ","17,235 ","45,221 ","49,417 ","24,740 ","14,845 ","12,139 ","4,274 ","2,993 ","13,697 ","1,922 ","3,540 ","3,995 ","8,494 ","11,374 ","18,255 ","16,046 ","4,745 ","8,380 ","2,748 ","7,601 ","7,855 ","5,331 ","32,520 ","2,396 ","10,032 ","11,664 ","16,964 ","21,279 ","15,922 ","9,623 ","29,219 ","19,488 ","34,058 ","27,778 ","9,024 ","39,017 ","27,667 ","26,710 ","21,250 ","26,903 ","154,911 ","40,660 ","25,547 ","23,660 ","23,179 ","29,036 ","26,873 ","22,872 ","11,537 ","31,238 ","7,026 ","8,445 ","17,332 ","6,770 ","3,475 ","2,543 ","9,650 ","9,162 ","6,089 ","26,995 ","7,968 ","11,940 ","7,126 ","21,153 ","20,784 ","27,700 ","43,024 ","40,244 ","26,871 ","28,328 ","75,637 ","20,584 ","32,309 ","42,115 ","25,903 ","64,359 ","20,149 ","17,089 ","15,324 ","16,450 ","9,947 ","32,904 ","19,334 ","7,057 ","12,562 ","43,437 ","23,609 ","26,277 ","24,153 ","8,312 ","11,148 ","4,844 ","5,279 ","6,119 ","9,935 ","10,794 ","12,063 ","19,138 ","31,518 ","25,267 ","12,396 ","11,941 ","12,663 ","12,398 ","12,531 ","8,166 ","8,715 "
2018/2/6,"5,335 ","16,368 ","45,644 ","51,956 ","24,826 ","15,316 ","12,338 ","4,070 ","3,133 ","13,539 ","2,103 ","3,450 ","6,251 ","8,832 ","11,551 ","18,323 ","16,512 ","4,850 ","8,501 ","2,923 ","7,551 ","8,276 ","5,219 ","27,995 ","2,314 ","10,065 ","11,889 ","16,937 ","22,137 ","16,648 ","9,862 ","31,293 ","20,303 ","33,846 ","31,989 ","9,477 ","39,150 ","28,684 ","26,617 ","21,717 ","27,669 ","156,931 ","42,722 ","27,063 ","24,467 ","25,305 ","33,656 ","29,202 ","25,182 ","11,967 ","31,880 ","7,611 ","8,866 ","18,316 ","7,459 ","3,645 ","2,995 ","10,901 ","9,618 ","6,488 ","30,934 ","8,075 ","12,543 ","7,381 ","21,866 ","21,289 ","29,552 ","42,895 ","41,364 ","27,752 ","29,674 ","77,851 ","21,832 ","32,844 ","43,643 ","26,715 ","65,720 ","20,698 ","17,489 ","15,561 ","16,673 ","11,243 ","37,809 ","19,892 ","7,532 ","14,279 ","43,180 ","27,855 ","26,636 ","25,994 ","8,503 ","11,283 ","4,680 ","5,297 ","6,184 ","9,693 ","10,984 ","12,585 ","18,097 ","32,093 ","26,921 ","12,560 ","12,503 ","12,867 ","12,282 ","12,348 ","8,709 ","8,798 "
2018/2/7,"5,326 ","16,883 ","46,026 ","53,826 ","25,573 ","16,765 ","12,493 ","4,469 ","3,308 ","14,071 ","2,063 ","3,654 ","4,949 ","8,579 ","12,400 ","18,677 ","16,741 ","4,875 ","8,770 ","3,002 ","7,925 ","8,226 ","5,715 ","27,039 ","2,531 ","10,172 ","12,172 ","17,535 ","22,453 ","15,631 ","10,332 ","30,059 ","20,352 ","35,017 ","30,919 ","9,259 ","40,253 ","28,743 ","27,529 ","22,020 ","27,279 ","160,886 ","43,688 ","26,538 ","23,869 ","24,344 ","28,270 ","27,992 ","24,990 ","12,004 ","32,590 ","7,825 ","8,734 ","17,507 ","6,699 ","3,663 ","3,039 ","10,906 ","9,605 ","6,581 ","28,619 ","8,373 ","12,626 ","7,487 ","21,776 ","21,246 ","29,378 ","44,235 ","41,654 ","28,097 ","29,017 ","76,974 ","23,074 ","34,027 ","43,684 ","27,370 ","67,457 ","21,052 ","17,498 ","15,725 ","16,513 ","10,256 ","39,456 ","19,992 ","7,418 ","12,780 ","45,007 ","24,587 ","27,635 ","24,985 ","8,669 ","11,047 ","4,699 ","5,306 ","5,824 ","10,087 ","11,091 ","12,479 ","18,781 ","33,006 ","27,257 ","12,661 ","12,277 ","13,173 ","12,489 ","12,425 ","8,547 ","8,632 "
2018/2/8,"5,482 ","17,137 ","47,408 ","55,917 ","27,902 ","16,748 ","12,635 ","4,313 ","3,312 ","14,040 ","2,056 ","3,769 ","5,653 ","8,804 ","12,615 ","19,048 ","16,762 ","4,966 ","9,031 ","2,940 ","8,028 ","8,590 ","5,530 ","27,564 ","2,664 ","10,287 ","12,194 ","17,523 ","23,096 ","16,673 ","10,570 ","28,172 ","20,966 ","35,984 ","32,948 ","9,321 ","40,871 ","29,826 ","27,606 ","22,078 ","28,229 ","163,394 ","45,577 ","26,823 ","24,664 ","25,589 ","30,943 ","30,038 ","25,194 ","12,471 ","33,095 ","7,991 ","9,102 ","19,027 ","7,253 ","3,706 ","2,974 ","11,391 ","9,797 ","6,755 ","31,653 ","8,405 ","12,787 ","7,574 ","22,538 ","21,420 ","30,696 ","44,730 ","42,036 ","28,667 ","30,862 ","81,137 ","22,357 ","35,114 ","45,468 ","29,005 ","70,370 ","21,334 ","17,648 ","15,929 ","17,126 ","11,227 ","42,471 ","20,786 ","8,065 ","14,009 ","46,453 ","25,459 ","27,641 ","26,128 ","8,701 ","11,654 ","4,848 ","5,467 ","6,201 ","10,229 ","10,890 ","13,312 ","19,155 ","33,217 ","28,352 ","12,765 ","12,687 ","13,128 ","12,148 ","12,526 ","8,674 ","8,762 "
2018/2/9,"6,200 ","18,577 ","50,242 ","63,301 ","27,779 ","17,951 ","13,500 ","4,646 ","3,231 ","14,934 ","2,103 ","3,836 ","6,834 ","9,056 ","14,410 ","19,329 ","17,289 ","5,362 ","9,417 ","3,150 ","8,384 ","9,098 ","5,901 ","29,806 ","2,627 ","10,734 ","12,680 ","18,364 ","23,299 ","17,247 ","10,802 ","30,819 ","22,702 ","36,717 ","35,069 ","9,449 ","42,133 ","30,032 ","28,622 ","22,876 ","28,969 ","186,170 ","50,578 ","28,789 ","25,869 ","26,967 ","32,757 ","31,000 ","26,556 ","12,455 ","33,205 ","8,125 ","9,313 ","18,969 ","7,356 ","3,679 ","2,934 ","11,507 ","10,152 ","7,007 ","32,923 ","9,056 ","14,050 ","7,864 ","23,098 ","22,064 ","32,328 ","49,758 ","43,702 ","29,309 ","31,508 ","88,838 ","24,504 ","37,541 ","51,749 ","31,121 ","77,382 ","23,045 ","19,089 ","16,461 ","20,130 ","11,323 ","47,112 ","22,505 ","8,372 ","15,706 ","48,345 ","26,919 ","30,305 ","27,635 ","8,631 ","12,201 ","5,131 ","5,762 ","6,453 ","10,768 ","11,892 ","13,617 ","20,412 ","34,907 ","29,631 ","13,430 ","12,913 ","14,341 ","12,619 ","13,217 ","8,882 ","9,157 "
2018/2/10,"4,039 ","11,107 ","28,078 ","62,882 ","18,505 ","10,979 ","9,423 ","4,122 ","2,669 ","10,314 ","1,579 ","2,766 ","5,832 ","7,075 ","12,389 ","6,275 ","7,574 ","4,082 ","7,764 ","2,488 ","5,524 ","7,147 ","2,089 ","19,703 ","2,326 ","9,268 ","9,821 ","13,480 ","16,634 ","14,743 ","8,929 ","37,466 ","20,223 ","27,599 ","27,415 ","4,817 ","34,474 ","23,676 ","21,140 ","18,801 ","12,674 ","177,312 ","48,775 ","21,843 ","18,160 ","23,126 ","31,697 ","28,558 ","20,603 ","9,513 ","25,124 ","5,918 ","5,653 ","15,309 ","7,920 ","2,907 ","1,845 ","7,863 ","7,916 ","5,387 ","28,877 ","6,663 ","10,825 ","6,288 ","18,193 ","15,656 ","28,996 ","42,775 ","34,395 ","22,982 ","29,867 ","91,392 ","15,676 ","33,096 ","46,089 ","23,865 ","62,767 ","17,765 ","15,637 ","9,909 ","14,909 ","7,304 ","47,675 ","15,720 ","9,688 ","15,276 ","24,430 ","27,560 ","19,716 ","20,501 ","7,163 ","9,610 ","4,225 ","2,886 ","5,560 ","8,387 ","10,645 ","12,964 ","15,666 ","24,258 ","25,154 ","10,400 ","10,452 ","11,681 ","10,269 ","11,182 ","7,294 ","7,550 "
