"tation Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2017/4/11,"5,503 ","16,680 ","42,086 ","45,026 ","27,127 ","16,150 ","12,248 ","4,131 ","3,188 ","16,356 ","2,068 ","4,577 ","6,040 ","10,592 ","10,209 ","20,040 ","16,799 ","5,799 ","8,395 ","2,949 ","8,719 ","8,679 ","4,971 ","27,873 ","2,373 ","10,654 ","12,061 ","16,953 ","21,927 ","17,044 ","9,592 ","27,447 ","18,355 ","33,915 ","29,933 ","10,924 ","39,025 ","27,676 ","26,206 ","21,687 ","27,700 ","141,198 ","36,130 ","23,974 ","24,568 ","26,877 ","33,663 ","28,781 ","23,684 ","12,925 ","33,127 ","7,737 ","9,015 ","18,940 ","5,748 ","3,772 ","3,244 ","14,463 ","10,081 ","7,000 ","34,504 ","7,693 ","12,163 ","6,869 ","22,360 ","21,261 ","27,157 ","39,656 ","41,382 ","26,982 ","28,485 ","67,664 ","25,020 ","31,391 ","38,107 ","22,781 ","58,853 ","21,116 ","17,357 ","15,771 ","16,206 ","10,170 ","27,531 ","16,368 ","7,403 ","10,296 ","41,615 ","24,905 ","25,093 ","23,707 ","13,798 ","11,687 ","4,220 ","5,004 ","6,169 ","10,436 ","9,939 ","12,172 ","18,424 ","31,235 ","24,463 ","12,512 ","13,098 ","12,763 ","12,929 ","12,427 ","9,272 ","8,582 "
2017/4/12,"5,567 ","16,805 ","42,024 ","46,617 ","27,366 ","16,066 ","12,281 ","4,019 ","3,165 ","16,241 ","2,130 ","4,798 ","6,460 ","10,780 ","10,906 ","19,660 ","16,629 ","5,652 ","8,420 ","3,053 ","9,202 ","8,959 ","4,821 ","31,768 ","2,399 ","10,954 ","12,132 ","17,147 ","22,139 ","17,060 ","9,614 ","28,323 ","19,268 ","34,474 ","30,648 ","10,891 ","38,828 ","28,409 ","26,217 ","21,896 ","27,469 ","148,159 ","37,658 ","23,981 ","24,834 ","26,350 ","34,224 ","29,580 ","24,447 ","13,351 ","33,655 ","7,620 ","8,841 ","19,309 ","6,277 ","3,693 ","3,168 ","14,356 ","10,072 ","7,073 ","36,403 ","7,681 ","12,420 ","7,125 ","22,360 ","21,539 ","27,966 ","41,557 ","41,137 ","27,307 ","28,077 ","71,201 ","25,415 ","31,799 ","38,807 ","23,045 ","58,804 ","21,075 ","17,163 ","15,955 ","17,216 ","10,534 ","27,610 ","16,391 ","7,453 ","10,490 ","42,621 ","25,144 ","25,097 ","23,296 ","13,673 ","11,930 ","4,340 ","4,966 ","6,250 ","10,142 ","9,895 ","12,155 ","18,439 ","30,698 ","25,358 ","12,156 ","13,396 ","12,693 ","12,445 ","12,272 ","9,415 ","8,528 "
2017/4/13,"5,563 ","16,623 ","42,593 ","47,463 ","27,342 ","15,792 ","12,222 ","3,893 ","3,156 ","16,317 ","2,087 ","4,690 ","7,775 ","10,433 ","10,867 ","19,632 ","16,463 ","5,707 ","8,202 ","3,282 ","8,786 ","8,609 ","4,603 ","31,818 ","2,481 ","10,976 ","11,924 ","17,096 ","21,872 ","16,739 ","9,432 ","28,005 ","19,260 ","34,279 ","30,562 ","10,816 ","38,369 ","28,144 ","25,812 ","21,479 ","27,427 ","143,991 ","37,866 ","24,473 ","24,930 ","26,569 ","35,618 ","30,070 ","24,020 ","13,123 ","33,668 ","7,509 ","8,906 ","19,821 ","6,519 ","3,678 ","3,106 ","13,958 ","10,131 ","6,874 ","38,599 ","7,624 ","12,719 ","7,272 ","22,221 ","21,426 ","27,516 ","41,268 ","40,547 ","27,239 ","28,121 ","71,126 ","24,641 ","31,994 ","38,559 ","23,054 ","62,023 ","21,019 ","16,634 ","15,452 ","16,512 ","10,683 ","34,001 ","16,128 ","7,672 ","10,127 ","41,930 ","24,812 ","24,637 ","23,215 ","13,647 ","11,678 ","4,235 ","4,795 ","6,024 ","10,205 ","9,574 ","12,000 ","18,191 ","29,955 ","26,138 ","12,040 ","13,324 ","12,453 ","12,439 ","12,183 ","9,395 ","8,560 "
2017/4/14,"6,211 ","17,263 ","44,488 ","54,581 ","27,918 ","16,499 ","12,572 ","4,081 ","3,304 ","16,504 ","2,125 ","4,916 ","8,438 ","10,521 ","12,303 ","19,350 ","16,791 ","6,091 ","8,597 ","3,338 ","8,917 ","9,002 ","4,848 ","32,335 ","2,477 ","11,546 ","12,332 ","17,572 ","23,166 ","17,932 ","9,813 ","31,813 ","21,185 ","35,263 ","34,153 ","10,914 ","39,684 ","29,694 ","26,893 ","22,553 ","31,107 ","177,335 ","43,376 ","25,908 ","26,308 ","29,204 ","40,161 ","32,578 ","25,485 ","13,426 ","34,599 ","7,700 ","9,023 ","20,797 ","7,413 ","3,859 ","3,233 ","14,300 ","10,836 ","7,151 ","41,809 ","8,205 ","13,893 ","7,536 ","23,414 ","21,434 ","30,046 ","45,650 ","41,993 ","28,052 ","29,984 ","84,147 ","26,011 ","34,676 ","44,903 ","26,459 ","69,809 ","21,309 ","18,038 ","16,089 ","18,794 ","12,146 ","36,246 ","17,136 ","8,455 ","11,138 ","43,711 ","26,140 ","26,059 ","25,810 ","11,999 ","12,673 ","4,663 ","5,097 ","6,413 ","10,331 ","10,400 ","12,730 ","19,475 ","31,791 ","28,482 ","13,046 ","13,879 ","13,205 ","12,814 ","12,745 ","9,756 ","9,062 "
2017/4/15,"4,557 ","11,890 ","27,446 ","56,028 ","22,164 ","11,392 ","9,170 ","4,877 ","2,711 ","10,523 ","1,785 ","3,558 ","11,971 ","8,180 ","13,558 ","6,805 ","9,101 ","4,378 ","7,852 ","3,886 ","6,167 ","7,512 ","2,345 ","19,960 ","2,488 ","12,908 ","10,336 ","13,719 ","16,592 ","16,695 ","8,686 ","32,050 ","19,809 ","30,469 ","29,360 ","6,323 ","34,108 ","24,127 ","22,233 ","19,748 ","17,654 ","182,429 ","44,543 ","21,129 ","19,227 ","35,619 ","42,111 ","31,609 ","22,578 ","9,948 ","29,201 ","6,271 ","6,597 ","17,619 ","8,726 ","3,194 ","2,059 ","9,860 ","9,244 ","6,239 ","48,712 ","6,450 ","12,455 ","6,770 ","18,956 ","16,294 ","29,618 ","42,828 ","33,043 ","22,533 ","30,346 ","98,571 ","18,070 ","31,146 ","41,328 ","23,541 ","60,504 ","16,602 ","16,948 ","10,068 ","14,631 ","9,937 ","37,127 ","12,441 ","12,402 ","9,731 ","23,968 ","21,884 ","18,037 ","21,422 ","9,081 ","11,316 ","4,041 ","2,866 ","6,069 ","7,993 ","10,193 ","10,511 ","14,476 ","23,201 ","26,341 ","13,921 ","11,332 ","11,466 ","10,366 ","11,053 ","7,949 ","7,864 "
2017/4/16,"4,273 ","9,020 ","20,542 ","43,269 ","13,861 ","8,825 ","7,369 ","3,394 ","2,343 ","8,643 ","1,404 ","2,998 ","11,089 ","7,310 ","12,854 ","5,486 ","6,249 ","4,177 ","6,699 ","3,563 ","5,366 ","6,002 ","2,019 ","15,352 ","2,126 ","10,941 ","8,635 ","12,224 ","13,913 ","14,494 ","7,747 ","29,850 ","16,606 ","22,585 ","23,946 ","4,527 ","29,360 ","20,538 ","18,073 ","18,042 ","11,311 ","169,934 ","34,896 ","15,778 ","18,083 ","31,412 ","35,298 ","26,317 ","19,341 ","8,173 ","22,424 ","5,505 ","5,649 ","15,866 ","7,922 ","2,624 ","1,650 ","9,363 ","8,266 ","6,186 ","49,398 ","6,110 ","10,572 ","5,709 ","16,573 ","12,383 ","23,610 ","38,910 ","28,241 ","19,252 ","25,646 ","78,558 ","15,824 ","25,523 ","30,140 ","17,040 ","49,173 ","13,596 ","14,707 ","8,573 ","12,503 ","8,663 ","33,383 ","9,126 ","11,233 ","7,622 ","19,033 ","16,911 ","15,339 ","16,334 ","7,502 ","9,536 ","3,954 ","2,315 ","5,614 ","7,004 ","8,145 ","8,229 ","12,036 ","18,929 ","21,932 ","9,313 ","9,992 ","9,924 ","8,902 ","9,564 ","7,280 ","6,852 "
2017/4/17,"5,635 ","15,302 ","39,045 ","43,326 ","23,305 ","14,425 ","11,320 ","3,768 ","3,038 ","15,673 ","2,021 ","4,684 ","6,079 ","10,449 ","9,886 ","18,460 ","14,397 ","5,464 ","8,005 ","3,142 ","8,488 ","8,185 ","4,536 ","25,909 ","2,221 ","10,926 ","11,329 ","16,396 ","20,841 ","16,071 ","8,744 ","26,272 ","17,436 ","32,097 ","27,648 ","10,104 ","36,396 ","26,579 ","25,095 ","21,013 ","26,136 ","139,114 ","34,446 ","23,397 ","23,741 ","25,423 ","33,937 ","28,598 ","22,800 ","12,758 ","32,531 ","7,147 ","8,477 ","18,739 ","5,262 ","3,466 ","3,064 ","13,987 ","9,999 ","6,909 ","39,644 ","7,524 ","12,136 ","7,058 ","21,631 ","20,666 ","26,313 ","38,488 ","39,166 ","25,935 ","27,294 ","64,398 ","22,046 ","29,417 ","35,733 ","21,381 ","58,045 ","19,157 ","16,549 ","14,996 ","15,136 ","10,584 ","27,007 ","14,928 ","7,701 ","9,777 ","38,986 ","23,246 ","23,236 ","22,798 ","13,054 ","11,215 ","4,162 ","4,624 ","5,765 ","9,701 ","9,312 ","11,482 ","17,123 ","28,501 ","23,745 ","8,410 ","12,740 ","12,040 ","11,787 ","11,942 ","9,113 ","8,157 "
2017/4/18,"5,513 ","15,764 ","40,886 ","44,386 ","26,666 ","15,271 ","11,537 ","3,705 ","3,082 ","15,722 ","2,010 ","4,561 ","7,067 ","10,404 ","10,103 ","18,742 ","16,248 ","5,498 ","8,168 ","3,115 ","8,579 ","8,348 ","4,660 ","27,801 ","2,248 ","10,771 ","11,672 ","16,512 ","21,180 ","16,527 ","9,032 ","26,329 ","17,698 ","32,358 ","29,349 ","10,730 ","37,145 ","27,414 ","25,386 ","21,229 ","28,043 ","134,706 ","35,077 ","23,993 ","24,497 ","26,767 ","33,465 ","29,035 ","23,316 ","13,075 ","32,036 ","7,335 ","8,579 ","18,837 ","5,894 ","3,533 ","3,019 ","14,115 ","9,899 ","6,878 ","36,055 ","7,447 ","12,288 ","6,986 ","21,813 ","20,950 ","26,724 ","38,565 ","39,890 ","26,469 ","27,652 ","65,017 ","25,182 ","30,141 ","37,009 ","22,100 ","57,803 ","19,853 ","16,747 ","15,243 ","15,302 ","10,526 ","25,906 ","15,790 ","7,363 ","9,730 ","40,306 ","23,928 ","24,184 ","23,126 ","13,275 ","11,630 ","4,253 ","4,788 ","5,866 ","9,678 ","9,344 ","11,464 ","17,541 ","28,441 ","24,645 ","11,866 ","12,736 ","12,264 ","12,132 ","12,029 ","9,031 ","8,437 "
2017/4/19,"5,539 ","16,124 ","40,744 ","45,551 ","26,451 ","15,561 ","11,772 ","3,975 ","3,012 ","16,120 ","2,053 ","4,558 ","7,010 ","10,519 ","10,596 ","19,522 ","16,541 ","5,659 ","8,309 ","3,153 ","9,081 ","8,470 ","4,761 ","32,247 ","2,315 ","10,910 ","11,915 ","16,878 ","21,716 ","16,505 ","9,274 ","27,144 ","18,060 ","33,640 ","29,811 ","10,739 ","37,785 ","27,989 ","25,612 ","20,959 ","27,985 ","138,669 ","36,468 ","24,329 ","24,744 ","27,051 ","34,602 ","29,635 ","25,178 ","13,331 ","32,440 ","7,358 ","8,544 ","19,401 ","5,829 ","3,551 ","3,146 ","15,057 ","10,047 ","7,033 ","36,492 ","7,638 ","12,630 ","7,005 ","22,093 ","21,082 ","27,496 ","39,612 ","40,800 ","27,177 ","27,846 ","67,034 ","25,871 ","30,958 ","38,026 ","24,027 ","59,487 ","20,310 ","17,028 ","15,741 ","16,456 ","10,213 ","27,801 ","18,096 ","7,301 ","9,690 ","40,873 ","24,335 ","23,910 ","24,064 ","12,898 ","12,075 ","4,443 ","4,767 ","5,993 ","10,038 ","9,700 ","11,984 ","17,985 ","28,947 ","24,877 ","11,939 ","13,248 ","12,544 ","12,199 ","12,088 ","9,476 ","8,407 "
2017/4/20,"5,603 ","16,033 ","41,970 ","46,531 ","26,648 ","15,289 ","11,746 ","3,926 ","3,058 ","15,898 ","2,068 ","4,759 ","6,890 ","10,534 ","10,313 ","19,094 ","16,256 ","5,594 ","8,052 ","3,021 ","8,822 ","8,543 ","4,694 ","33,305 ","2,391 ","10,905 ","11,591 ","16,541 ","21,311 ","16,553 ","9,183 ","27,755 ","18,679 ","33,008 ","30,001 ","10,751 ","37,428 ","27,820 ","25,364 ","21,153 ","26,985 ","140,760 ","36,863 ","23,874 ","24,526 ","27,115 ","36,537 ","29,750 ","23,808 ","13,077 ","32,396 ","7,460 ","8,665 ","19,129 ","5,735 ","3,625 ","3,105 ","13,990 ","9,918 ","6,955 ","36,988 ","7,634 ","12,458 ","6,876 ","21,905 ","20,604 ","27,179 ","39,889 ","39,923 ","26,724 ","27,475 ","68,004 ","24,566 ","32,241 ","38,867 ","24,098 ","61,805 ","20,348 ","16,882 ","15,424 ","16,980 ","10,755 ","30,835 ","18,371 ","7,504 ","9,705 ","41,182 ","24,930 ","24,558 ","23,498 ","13,164 ","11,986 ","4,408 ","4,835 ","5,892 ","9,969 ","9,553 ","11,979 ","17,927 ","28,781 ","25,436 ","12,036 ","13,267 ","12,418 ","11,912 ","12,104 ","9,275 ","8,380 "
2017/4/21,"6,380 ","17,373 ","44,350 ","54,522 ","28,296 ","17,070 ","12,943 ","4,425 ","3,130 ","16,535 ","2,123 ","4,739 ","7,496 ","10,577 ","12,493 ","19,457 ","16,888 ","5,984 ","9,028 ","3,320 ","9,319 ","9,232 ","5,048 ","34,494 ","2,645 ","11,989 ","12,813 ","17,733 ","22,946 ","17,786 ","10,374 ","31,178 ","20,648 ","35,357 ","32,848 ","11,041 ","40,461 ","29,577 ","27,226 ","22,752 ","27,219 ","185,012 ","43,090 ","25,610 ","25,604 ","33,254 ","36,701 ","32,100 ","25,111 ","13,521 ","33,532 ","7,856 ","9,103 ","20,204 ","6,328 ","3,596 ","3,182 ","14,294 ","10,530 ","7,154 ","39,123 ","8,021 ","14,033 ","7,533 ","23,333 ","21,450 ","29,797 ","46,246 ","42,842 ","28,596 ","29,158 ","78,542 ","25,954 ","36,048 ","45,140 ","27,191 ","73,284 ","22,311 ","18,449 ","16,497 ","19,894 ","11,054 ","34,279 ","19,962 ","8,212 ","10,998 ","43,868 ","26,223 ","26,422 ","23,819 ","13,854 ","12,187 ","4,482 ","5,053 ","6,469 ","10,667 ","10,567 ","12,614 ","19,259 ","31,606 ","27,881 ","12,939 ","13,722 ","13,750 ","12,740 ","12,788 ","9,875 ","8,998 "
2017/4/22,"4,431 ","11,587 ","27,654 ","57,575 ","18,713 ","12,384 ","9,672 ","3,829 ","2,653 ","10,653 ","1,686 ","4,582 ","6,482 ","7,974 ","13,064 ","6,939 ","7,839 ","4,615 ","7,735 ","2,874 ","6,097 ","7,331 ","2,469 ","22,542 ","2,279 ","12,361 ","9,868 ","14,035 ","17,001 ","14,744 ","9,363 ","34,358 ","19,602 ","30,542 ","26,038 ","6,323 ","34,407 ","24,824 ","21,732 ","19,030 ","14,631 ","181,856 ","44,223 ","20,652 ","18,833 ","36,914 ","34,929 ","29,775 ","21,159 ","9,748 ","27,133 ","6,005 ","6,577 ","15,768 ","7,911 ","3,311 ","2,073 ","9,266 ","8,652 ","5,626 ","34,844 ","6,129 ","11,567 ","6,369 ","18,673 ","15,228 ","28,881 ","44,662 ","34,449 ","23,234 ","27,694 ","90,894 ","19,223 ","38,956 ","42,925 ","26,336 ","64,884 ","17,239 ","16,724 ","10,409 ","15,797 ","6,836 ","36,496 ","14,765 ","9,211 ","9,635 ","24,662 ","22,343 ","19,775 ","19,310 ","9,663 ","9,507 ","4,437 ","2,608 ","5,860 ","9,337 ","10,346 ","10,080 ","15,097 ","22,924 ","24,408 ","10,902 ","11,083 ","12,127 ","10,719 ","11,468 ","7,533 ","7,520 "
2017/4/23,"4,498 ","10,256 ","19,869 ","43,672 ","14,409 ","9,405 ","7,370 ","3,506 ","2,334 ","9,205 ","1,541 ","4,210 ","11,421 ","7,445 ","10,780 ","6,109 ","6,178 ","4,007 ","6,447 ","3,469 ","5,347 ","6,583 ","2,048 ","15,201 ","2,133 ","12,355 ","8,786 ","12,065 ","13,602 ","14,011 ","7,879 ","31,941 ","17,054 ","23,256 ","26,392 ","4,945 ","29,061 ","21,104 ","18,385 ","16,528 ","11,821 ","172,306 ","35,980 ","15,990 ","18,240 ","35,343 ","35,363 ","27,060 ","22,472 ","7,874 ","23,906 ","5,440 ","5,313 ","15,543 ","7,695 ","3,156 ","1,578 ","9,192 ","7,986 ","5,487 ","46,182 ","5,975 ","11,139 ","5,596 ","16,776 ","12,712 ","23,875 ","39,226 ","28,782 ","19,908 ","26,542 ","76,429 ","14,902 ","30,605 ","31,837 ","20,342 ","50,886 ","13,649 ","14,184 ","8,744 ","12,729 ","8,469 ","32,342 ","11,649 ","11,616 ","7,999 ","17,961 ","12,819 ","14,965 ","16,208 ","8,755 ","8,476 ","3,505 ","2,375 ","5,806 ","6,986 ","8,206 ","8,272 ","12,021 ","18,291 ","21,986 ","9,063 ","9,578 ","9,181 ","9,093 ","9,671 ","6,995 ","6,818 "
2017/4/24,"5,763 ","15,664 ","39,895 ","43,047 ","25,418 ","14,935 ","11,483 ","3,690 ","3,047 ","15,632 ","2,019 ","4,603 ","5,705 ","10,388 ","9,731 ","18,612 ","15,655 ","5,342 ","7,857 ","2,891 ","8,330 ","8,241 ","4,725 ","26,098 ","2,215 ","10,904 ","11,326 ","16,329 ","20,803 ","16,320 ","8,853 ","27,069 ","17,827 ","32,327 ","27,172 ","10,458 ","36,989 ","26,643 ","24,940 ","20,923 ","26,238 ","136,248 ","33,609 ","23,318 ","23,861 ","25,160 ","32,660 ","27,757 ","22,606 ","12,436 ","31,789 ","7,330 ","8,469 ","18,661 ","5,197 ","3,399 ","2,934 ","13,694 ","9,898 ","6,999 ","36,341 ","7,243 ","11,815 ","6,924 ","21,329 ","20,483 ","25,912 ","37,899 ","39,732 ","26,301 ","27,079 ","63,057 ","22,585 ","30,205 ","35,738 ","21,526 ","58,201 ","19,388 ","16,598 ","15,049 ","15,207 ","10,187 ","27,029 ","17,446 ","7,031 ","10,130 ","40,197 ","24,384 ","23,850 ","22,632 ","13,418 ","11,012 ","4,165 ","4,684 ","5,665 ","9,683 ","9,175 ","11,696 ","17,293 ","27,964 ","23,579 ","11,684 ","12,797 ","12,206 ","11,822 ","11,782 ","9,094 ","8,289 "
2017/4/25,"5,819 ","16,147 ","40,834 ","44,707 ","26,188 ","15,593 ","11,896 ","3,898 ","3,133 ","15,738 ","2,201 ","4,740 ","7,468 ","10,608 ","9,956 ","19,392 ","16,086 ","5,544 ","8,150 ","3,253 ","8,413 ","8,615 ","4,659 ","26,630 ","2,324 ","11,408 ","11,971 ","16,478 ","21,393 ","16,885 ","9,044 ","27,346 ","18,197 ","32,601 ","30,004 ","10,678 ","36,985 ","27,095 ","25,355 ","21,415 ","26,530 ","134,432 ","35,449 ","23,533 ","24,025 ","26,808 ","34,479 ","29,358 ","23,519 ","12,950 ","32,599 ","7,536 ","8,771 ","19,549 ","6,028 ","3,775 ","3,094 ","14,221 ","10,027 ","7,142 ","36,740 ","7,453 ","12,329 ","6,768 ","21,961 ","20,839 ","26,890 ","38,749 ","40,548 ","26,601 ","27,686 ","62,906 ","23,945 ","29,648 ","36,744 ","21,984 ","57,607 ","19,841 ","16,697 ","15,525 ","15,332 ","10,334 ","26,487 ","17,823 ","7,651 ","9,841 ","40,317 ","24,105 ","24,642 ","22,685 ","13,702 ","11,806 ","4,282 ","4,785 ","5,819 ","10,188 ","9,306 ","11,588 ","17,458 ","29,196 ","24,049 ","11,970 ","12,918 ","12,339 ","11,981 ","12,087 ","9,321 ","8,312 "
2017/4/26,"5,749 ","16,127 ","40,872 ","45,040 ","25,793 ","15,842 ","11,809 ","3,956 ","3,067 ","15,929 ","2,073 ","4,622 ","6,308 ","10,748 ","10,244 ","19,076 ","16,235 ","5,636 ","8,207 ","3,147 ","8,786 ","8,510 ","4,669 ","26,671 ","2,324 ","11,111 ","11,845 ","16,572 ","21,453 ","16,798 ","9,423 ","28,021 ","18,490 ","33,824 ","29,953 ","10,978 ","37,543 ","27,673 ","25,303 ","21,222 ","26,214 ","135,206 ","36,103 ","23,821 ","24,427 ","26,467 ","33,906 ","29,199 ","23,505 ","12,707 ","33,291 ","7,579 ","8,950 ","19,147 ","5,651 ","3,830 ","3,162 ","14,193 ","10,081 ","7,031 ","36,080 ","7,597 ","12,290 ","7,218 ","22,044 ","20,787 ","27,118 ","39,103 ","40,490 ","27,038 ","28,670 ","65,074 ","24,178 ","31,325 ","37,536 ","22,992 ","58,765 ","20,486 ","17,079 ","15,419 ","15,773 ","10,455 ","28,744 ","18,038 ","7,545 ","9,695 ","41,389 ","24,582 ","24,249 ","23,187 ","13,740 ","11,463 ","4,267 ","4,853 ","5,892 ","10,023 ","9,567 ","11,795 ","17,593 ","29,775 ","24,873 ","12,047 ","12,964 ","12,433 ","11,957 ","12,161 ","9,314 ","8,473 "
2017/4/27,"5,722 ","16,460 ","43,874 ","48,628 ","26,855 ","16,592 ","12,126 ","4,191 ","3,273 ","16,248 ","2,049 ","4,561 ","5,232 ","10,990 ","10,683 ","19,840 ","16,537 ","6,226 ","8,356 ","3,005 ","8,851 ","8,551 ","5,132 ","26,614 ","2,542 ","10,806 ","12,101 ","17,203 ","22,004 ","16,849 ","9,778 ","28,280 ","19,126 ","34,813 ","29,560 ","11,005 ","38,775 ","28,320 ","26,634 ","21,451 ","26,398 ","140,817 ","37,191 ","23,458 ","24,660 ","27,512 ","32,157 ","28,962 ","23,160 ","12,820 ","32,815 ","7,751 ","8,764 ","18,680 ","5,770 ","3,574 ","3,052 ","13,874 ","9,849 ","6,782 ","33,248 ","7,500 ","12,151 ","6,972 ","22,180 ","21,165 ","26,692 ","41,607 ","41,341 ","27,466 ","27,075 ","65,466 ","24,953 ","32,367 ","39,275 ","23,088 ","62,170 ","21,018 ","17,481 ","15,667 ","16,099 ","9,803 ","30,290 ","18,962 ","7,201 ","9,995 ","42,870 ","25,948 ","25,515 ","22,872 ","13,782 ","11,443 ","4,243 ","4,873 ","6,039 ","10,368 ","10,091 ","12,197 ","18,771 ","30,576 ","25,511 ","12,349 ","13,021 ","12,877 ","12,706 ","12,449 ","9,251 ","8,529 "
2017/4/28,"6,945 ","17,235 ","43,764 ","54,129 ","27,547 ","16,751 ","12,607 ","4,147 ","3,300 ","16,457 ","2,255 ","4,884 ","8,210 ","10,879 ","12,635 ","19,214 ","16,833 ","8,281 ","8,825 ","3,659 ","9,305 ","9,273 ","4,815 ","33,784 ","2,543 ","12,678 ","12,532 ","17,316 ","22,774 ","17,911 ","9,873 ","31,770 ","21,050 ","34,820 ","32,912 ","11,206 ","40,120 ","29,595 ","26,652 ","22,465 ","27,835 ","185,653 ","42,612 ","26,122 ","26,166 ","31,508 ","40,041 ","32,465 ","25,643 ","13,495 ","34,067 ","7,856 ","9,087 ","20,662 ","6,612 ","3,747 ","3,242 ","14,005 ","10,521 ","6,965 ","40,400 ","8,083 ","14,193 ","7,551 ","23,284 ","21,308 ","30,705 ","45,627 ","42,126 ","28,141 ","30,039 ","77,955 ","24,651 ","34,609 ","44,243 ","26,599 ","70,620 ","21,336 ","18,117 ","16,424 ","18,854 ","11,709 ","33,454 ","20,084 ","9,087 ","11,035 ","43,817 ","26,045 ","25,895 ","25,736 ","13,551 ","12,590 ","4,638 ","5,055 ","6,320 ","10,332 ","10,192 ","12,646 ","19,113 ","31,085 ","27,985 ","12,938 ","13,783 ","13,405 ","12,602 ","12,748 ","9,745 ","8,818 "
2017/4/29,"5,888 ","11,527 ","25,417 ","55,428 ","17,668 ","11,738 ","8,713 ","3,732 ","2,521 ","10,631 ","1,730 ","3,883 ","12,539 ","8,034 ","12,650 ","6,410 ","9,336 ","6,042 ","7,953 ","4,221 ","6,189 ","7,070 ","2,246 ","27,258 ","2,472 ","16,508 ","10,045 ","13,711 ","16,108 ","15,021 ","9,412 ","34,547 ","19,927 ","27,881 ","27,005 ","5,878 ","33,711 ","23,956 ","20,644 ","19,061 ","14,981 ","184,131 ","43,752 ","22,322 ","18,847 ","31,856 ","43,867 ","31,703 ","21,388 ","9,761 ","26,886 ","6,230 ","6,508 ","16,697 ","8,938 ","3,201 ","2,081 ","9,953 ","9,264 ","6,419 ","49,835 ","6,242 ","14,565 ","6,438 ","18,553 ","14,852 ","28,944 ","41,722 ","32,595 ","22,643 ","29,956 ","90,737 ","17,208 ","31,714 ","41,041 ","23,488 ","58,410 ","15,450 ","16,118 ","9,973 ","15,602 ","10,550 ","31,622 ","14,287 ","13,011 ","9,516 ","23,237 ","21,254 ","17,525 ","21,493 ","9,467 ","14,192 ","3,753 ","2,552 ","6,166 ","8,117 ","9,990 ","10,238 ","14,642 ","21,469 ","25,862 ","10,758 ","10,913 ","11,036 ","9,961 ","11,049 ","7,918 ","7,817 "
2017/4/30,"4,707 ","9,632 ","20,597 ","47,005 ","14,628 ","9,344 ","7,537 ","3,555 ","2,316 ","9,445 ","1,645 ","3,464 ","15,728 ","7,787 ","10,891 ","6,738 ","5,675 ","3,773 ","6,458 ","4,224 ","5,239 ","5,994 ","2,028 ","22,488 ","2,401 ","15,027 ","9,130 ","12,213 ","13,783 ","13,884 ","7,800 ","31,121 ","17,048 ","22,090 ","24,768 ","4,782 ","29,170 ","21,146 ","17,880 ","16,538 ","11,250 ","174,879 ","38,358 ","17,234 ","17,930 ","27,597 ","40,341 ","28,538 ","19,425 ","7,908 ","23,585 ","5,299 ","5,377 ","16,408 ","8,720 ","3,010 ","1,644 ","9,440 ","8,104 ","5,971 ","57,006 ","6,022 ","14,025 ","5,680 ","16,358 ","12,683 ","24,606 ","38,626 ","28,674 ","19,118 ","28,139 ","79,260 ","13,885 ","26,657 ","33,729 ","19,233 ","50,696 ","12,866 ","13,491 ","8,402 ","14,366 ","10,281 ","27,665 ","11,510 ","12,908 ","8,581 ","18,807 ","19,779 ","14,969 ","20,165 ","8,442 ","9,033 ","3,432 ","2,080 ","5,782 ","6,947 ","8,429 ","8,630 ","12,223 ","18,407 ","23,926 ","9,128 ","9,564 ","9,590 ","8,695 ","9,460 ","7,302 ","6,913 "
