"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2017/2/1,"4,325 ","7,933 ","18,179 ","44,663 ","11,327 ","6,556 ","6,638 ","3,374 ","1,960 ","8,145 ","1,474 ","2,911 ","13,265 ","4,905 ","9,925 ","4,551 ","5,450 ","3,429 ","6,444 ","3,184 ","4,510 ","5,555 ","2,028 ","13,764 ","1,950 ","12,811 ","8,549 ","11,262 ","12,639 ","11,190 ","7,061 ","21,030 ","13,222 ","16,759 ","19,213 ","3,209 ","27,990 ","19,322 ","17,212 ","17,432 ","11,201 ","126,761 ","32,158 ","16,407 ","13,611 ","25,399 ","33,144 ","25,138 ","17,850 ","7,927 ","21,022 ","5,279 ","5,500 ","14,580 ","9,553 ","2,956 ","2,253 ","11,865 ","7,345 ","5,126 ","47,011 ","5,541 ","9,291 ","5,593 ","15,618 ","12,047 ","22,255 ","33,524 ","25,995 ","18,026 ","34,434 ","83,033 ","8,203 ","26,839 ","32,415 ","16,560 ","47,434 ","12,389 ","13,324 ","7,877 ","11,854 ","8,475 ","23,724 ","10,865 ","6,015 ","6,137 ","16,709 ","10,237 ","13,549 ","18,043 ","5,350 ","7,849 ","3,128 ","1,978 ","3,165 ","6,324 ","8,157 ","7,605 ","10,369 ","20,714 ","17,904 ","8,215 ","9,710 ","9,180 ","8,580 ","9,175 ","6,416 ","6,146 "
2017/2/2,"5,329 ","13,912 ","36,334 ","49,634 ","19,751 ","11,015 ","10,314 ","3,664 ","2,674 ","11,588 ","1,892 ","3,392 ","10,384 ","6,602 ","10,789 ","14,097 ","12,662 ","4,238 ","7,590 ","3,050 ","6,624 ","7,247 ","4,070 ","37,191 ","2,198 ","11,024 ","11,035 ","14,682 ","18,136 ","13,421 ","8,631 ","23,547 ","17,163 ","27,282 ","28,300 ","6,935 ","34,326 ","25,264 ","23,120 ","20,650 ","22,254 ","148,411 ","37,605 ","21,935 ","20,905 ","26,264 ","33,271 ","27,972 ","21,847 ","10,816 ","28,025 ","6,203 ","7,890 ","17,215 ","8,636 ","3,265 ","2,430 ","10,712 ","8,843 ","6,020 ","37,523 ","6,462 ","11,434 ","6,734 ","19,416 ","17,010 ","27,207 ","38,750 ","34,773 ","24,326 ","31,271 ","84,477 ","16,603 ","31,587 ","40,773 ","23,876 ","60,324 ","17,225 ","15,648 ","13,272 ","14,964 ","9,998 ","29,742 ","16,316 ","6,731 ","8,339 ","35,969 ","19,474 ","22,257 ","22,699 ","6,629 ","10,308 ","4,030 ","3,739 ","4,046 ","8,048 ","9,596 ","9,960 ","15,041 ","29,285 ","21,938 ","10,505 ","11,588 ","11,400 ","10,650 ","10,932 ","7,886 ","7,624 "
2017/2/3,"5,558 ","14,908 ","38,865 ","55,145 ","21,663 ","12,294 ","10,867 ","3,871 ","2,718 ","12,177 ","2,080 ","3,904 ","13,947 ","6,952 ","11,864 ","15,258 ","13,200 ","4,592 ","8,325 ","3,581 ","7,454 ","7,715 ","4,552 ","38,262 ","2,302 ","12,863 ","11,470 ","15,527 ","18,940 ","14,648 ","9,083 ","26,819 ","18,694 ","29,279 ","30,652 ","7,231 ","36,153 ","26,474 ","24,148 ","21,185 ","24,828 ","166,116 ","41,710 ","23,840 ","22,443 ","28,965 ","37,983 ","31,078 ","23,493 ","11,078 ","29,501 ","7,046 ","8,207 ","18,172 ","8,897 ","3,443 ","2,653 ","11,871 ","9,234 ","6,543 ","43,020 ","6,713 ","12,339 ","7,034 ","20,797 ","17,928 ","29,403 ","42,671 ","37,121 ","25,697 ","32,628 ","93,738 ","17,606 ","34,510 ","45,628 ","26,409 ","66,205 ","18,274 ","17,082 ","14,219 ","16,234 ","11,538 ","30,836 ","17,988 ","8,306 ","9,145 ","38,623 ","20,605 ","23,066 ","24,528 ","7,192 ","11,272 ","4,325 ","4,069 ","4,495 ","8,862 ","9,937 ","10,467 ","16,032 ","29,802 ","24,388 ","11,356 ","12,331 ","11,989 ","11,148 ","11,529 ","8,527 ","8,085 "
2017/2/4,"4,422 ","10,438 ","24,005 ","54,012 ","16,196 ","9,234 ","8,249 ","3,619 ","2,561 ","8,924 ","1,704 ","3,528 ","13,495 ","6,225 ","11,510 ","6,155 ","6,747 ","4,201 ","7,732 ","3,969 ","5,797 ","7,206 ","2,274 ","37,788 ","2,516 ","15,504 ","10,209 ","13,388 ","15,353 ","14,338 ","8,417 ","41,839 ","18,981 ","25,012 ","25,497 ","5,216 ","32,704 ","23,637 ","20,916 ","19,932 ","13,303 ","167,477 ","40,445 ","19,263 ","17,721 ","31,154 ","39,262 ","29,068 ","20,886 ","9,256 ","25,031 ","6,021 ","6,630 ","16,720 ","9,377 ","3,098 ","1,874 ","10,614 ","8,682 ","6,030 ","46,494 ","6,535 ","12,258 ","6,601 ","19,021 ","14,722 ","28,722 ","41,209 ","33,133 ","22,474 ","33,954 ","136,032 ","12,897 ","32,538 ","39,958 ","21,180 ","55,660 ","15,559 ","15,950 ","9,909 ","15,234 ","10,629 ","26,042 ","13,515 ","9,599 ","14,596 ","21,878 ","14,712 ","17,324 ","20,853 ","6,880 ","10,402 ","4,013 ","2,490 ","4,307 ","7,959 ","9,620 ","9,579 ","13,003 ","23,639 ","22,401 ","10,845 ","11,479 ","11,224 ","10,190 ","10,905 ","8,259 ","8,033 "
2017/2/5,"4,461 ","8,658 ","18,228 ","42,790 ","12,849 ","7,856 ","7,153 ","3,416 ","2,294 ","7,788 ","1,593 ","3,130 ","12,335 ","5,829 ","10,117 ","5,187 ","6,059 ","3,581 ","6,756 ","3,582 ","4,999 ","6,194 ","2,051 ","26,210 ","2,384 ","13,656 ","9,218 ","11,899 ","12,908 ","12,262 ","7,711 ","34,616 ","16,837 ","20,879 ","23,016 ","4,764 ","29,046 ","20,622 ","17,931 ","17,516 ","9,927 ","156,104 ","33,421 ","14,513 ","16,958 ","27,673 ","32,204 ","24,643 ","18,624 ","7,797 ","21,331 ","5,629 ","5,571 ","15,971 ","8,151 ","2,921 ","1,812 ","10,130 ","7,741 ","5,348 ","41,804 ","6,482 ","10,696 ","5,693 ","16,418 ","11,936 ","24,337 ","37,828 ","29,090 ","19,509 ","30,731 ","108,734 ","11,529 ","27,247 ","32,379 ","18,105 ","46,723 ","14,008 ","14,501 ","9,023 ","12,641 ","9,224 ","20,911 ","10,728 ","8,953 ","10,360 ","17,639 ","12,898 ","14,725 ","16,960 ","6,439 ","10,137 ","3,391 ","2,161 ","3,713 ","6,605 ","8,174 ","8,446 ","11,104 ","20,198 ","19,873 ","9,329 ","9,955 ","10,026 ","8,945 ","9,420 ","7,215 ","7,164 "
2017/2/6,"6,061 ","15,703 ","40,342 ","48,697 ","22,520 ","13,584 ","11,327 ","3,914 ","3,220 ","13,497 ","2,074 ","3,802 ","7,051 ","8,040 ","11,154 ","17,304 ","14,902 ","5,190 ","8,266 ","3,113 ","7,668 ","8,005 ","4,626 ","32,916 ","2,284 ","11,208 ","11,884 ","16,607 ","20,995 ","15,522 ","9,327 ","27,098 ","18,466 ","32,735 ","30,155 ","8,175 ","37,334 ","26,916 ","25,244 ","21,445 ","27,289 ","154,415 ","37,325 ","24,261 ","23,859 ","27,603 ","32,915 ","28,065 ","23,424 ","11,996 ","32,039 ","7,324 ","8,802 ","17,934 ","6,398 ","3,421 ","2,920 ","12,366 ","9,696 ","6,535 ","36,464 ","7,451 ","12,535 ","7,071 ","21,208 ","19,606 ","29,211 ","42,205 ","39,137 ","26,978 ","30,771 ","97,710 ","19,628 ","32,579 ","40,800 ","24,877 ","61,570 ","19,082 ","17,601 ","15,068 ","15,164 ","10,989 ","28,511 ","17,832 ","7,700 ","10,630 ","40,324 ","24,859 ","23,759 ","24,079 ","8,194 ","12,816 ","4,310 ","4,441 ","4,619 ","9,165 ","9,643 ","10,871 ","16,418 ","29,808 ","23,224 ","11,939 ","12,502 ","12,058 ","11,611 ","11,803 ","8,772 ","8,458 "
2017/2/7,"5,536 ","16,094 ","42,050 ","50,985 ","23,796 ","14,562 ","11,677 ","4,049 ","3,402 ","13,894 ","2,173 ","3,738 ","10,590 ","8,305 ","11,361 ","17,610 ","15,507 ","5,358 ","8,412 ","3,565 ","7,964 ","8,305 ","5,059 ","27,103 ","2,437 ","11,724 ","11,903 ","16,987 ","21,521 ","15,446 ","9,198 ","27,765 ","19,517 ","33,339 ","32,231 ","9,080 ","38,076 ","28,313 ","26,059 ","21,867 ","27,849 ","155,592 ","39,409 ","25,204 ","23,869 ","29,051 ","35,315 ","29,779 ","24,346 ","12,496 ","32,681 ","7,701 ","9,552 ","18,820 ","7,845 ","3,521 ","3,061 ","12,466 ","10,170 ","6,784 ","38,307 ","7,692 ","12,909 ","7,109 ","21,658 ","20,155 ","29,848 ","43,360 ","39,735 ","27,306 ","31,062 ","99,342 ","21,121 ","33,555 ","42,179 ","25,559 ","62,549 ","19,531 ","17,960 ","15,515 ","15,240 ","11,615 ","29,346 ","18,759 ","8,345 ","11,214 ","40,498 ","22,089 ","24,553 ","24,073 ","8,040 ","14,047 ","4,609 ","4,457 ","5,034 ","9,438 ","10,049 ","11,084 ","16,660 ","29,803 ","24,729 ","11,906 ","12,824 ","12,356 ","11,745 ","12,090 ","8,921 ","8,584 "
2017/2/8,"5,810 ","16,240 ","41,404 ","51,431 ","24,796 ","14,793 ","11,965 ","4,112 ","3,175 ","13,691 ","2,244 ","3,915 ","10,290 ","8,488 ","11,510 ","17,665 ","15,445 ","5,024 ","8,696 ","3,406 ","7,927 ","8,633 ","4,980 ","28,002 ","2,396 ","12,285 ","12,430 ","16,950 ","22,147 ","15,399 ","9,663 ","28,291 ","19,579 ","33,417 ","32,781 ","8,892 ","38,381 ","28,691 ","26,581 ","21,880 ","27,845 ","159,964 ","40,065 ","25,409 ","24,717 ","28,774 ","36,311 ","30,220 ","26,662 ","12,699 ","33,283 ","7,490 ","9,173 ","19,063 ","7,562 ","3,796 ","3,047 ","12,805 ","10,017 ","7,002 ","38,804 ","7,876 ","13,176 ","7,341 ","22,341 ","20,038 ","30,171 ","43,665 ","40,323 ","27,863 ","30,983 ","99,301 ","22,491 ","33,852 ","43,070 ","25,419 ","65,166 ","19,814 ","17,910 ","15,884 ","15,936 ","11,623 ","36,372 ","18,699 ","8,245 ","11,013 ","41,241 ","23,628 ","24,681 ","24,382 ","8,428 ","15,094 ","4,647 ","4,464 ","4,897 ","9,608 ","10,077 ","11,589 ","17,480 ","30,490 ","25,804 ","11,923 ","12,994 ","12,334 ","11,985 ","12,235 ","9,179 ","8,852 "
2017/2/9,"5,625 ","16,269 ","42,784 ","51,632 ","24,026 ","14,002 ","11,672 ","3,933 ","3,092 ","13,103 ","2,152 ","3,668 ","6,737 ","8,345 ","10,934 ","17,662 ","15,355 ","4,936 ","8,371 ","3,080 ","7,723 ","8,097 ","5,282 ","27,216 ","2,474 ","11,106 ","11,710 ","16,441 ","21,496 ","15,200 ","9,504 ","27,265 ","19,619 ","33,480 ","32,080 ","8,665 ","38,230 ","28,220 ","25,760 ","21,346 ","26,940 ","155,553 ","41,152 ","24,913 ","24,223 ","26,800 ","32,624 ","28,215 ","24,300 ","12,078 ","31,940 ","7,423 ","9,048 ","18,322 ","7,440 ","3,550 ","3,087 ","11,398 ","9,471 ","6,405 ","32,346 ","7,394 ","11,803 ","6,833 ","21,652 ","19,198 ","29,300 ","42,044 ","38,929 ","27,139 ","28,939 ","91,506 ","21,548 ","33,746 ","43,513 ","25,593 ","65,276 ","19,441 ","17,449 ","15,360 ","15,400 ","10,786 ","40,286 ","19,084 ","7,921 ","10,406 ","42,120 ","24,003 ","24,449 ","24,034 ","7,946 ","11,813 ","4,599 ","4,536 ","4,769 ","9,561 ","9,963 ","11,521 ","17,654 ","30,436 ","26,012 ","11,950 ","12,607 ","12,244 ","11,735 ","11,952 ","8,734 ","8,479 "
2017/2/10,"6,219 ","17,193 ","44,713 ","57,701 ","25,661 ","14,719 ","12,488 ","4,130 ","3,007 ","13,692 ","2,212 ","3,803 ","7,681 ","8,313 ","12,933 ","18,186 ","16,288 ","5,189 ","8,964 ","3,212 ","8,250 ","8,466 ","5,251 ","34,172 ","2,253 ","12,293 ","12,302 ","17,405 ","21,828 ","16,233 ","9,913 ","30,862 ","21,146 ","35,038 ","32,491 ","9,051 ","39,344 ","28,717 ","26,573 ","22,415 ","27,690 ","182,676 ","45,326 ","26,855 ","25,546 ","29,445 ","36,352 ","29,483 ","25,497 ","12,181 ","32,483 ","7,734 ","9,389 ","18,688 ","8,214 ","3,628 ","3,058 ","11,439 ","9,776 ","6,600 ","34,759 ","7,967 ","12,983 ","7,287 ","22,247 ","19,599 ","31,637 ","47,196 ","40,888 ","28,539 ","31,915 ","109,218 ","22,976 ","36,835 ","47,758 ","27,070 ","72,786 ","20,637 ","18,544 ","15,968 ","18,240 ","11,384 ","44,536 ","20,705 ","8,006 ","12,310 ","43,902 ","24,797 ","25,817 ","25,278 ","8,246 ","15,319 ","5,000 ","4,878 ","4,978 ","9,971 ","10,770 ","11,786 ","19,538 ","32,361 ","27,606 ","12,466 ","13,298 ","13,138 ","12,550 ","12,645 ","9,444 ","9,135 "
