"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2015/5/1,"5,768 ","11,696 ","23,404 ","57,689 ","18,999 ","13,387 ","9,776 ","3,635 ","2,521 ","13,857 ","1,894 ","4,652 ","11,562 ","9,803 ","11,821 ","7,733 ","8,581 ","5,467 ","7,359 ","3,816 ","7,315 ","8,009 ","2,026 ","19,968 ","2,277 ","12,197 ","11,322 ","13,566 ","16,903 ","16,152 ","8,315 ","30,586 ","19,943 ","28,212 ","29,112 ","8,497 ","33,625 ","24,693 ","22,421 ","19,196 ","23,706 ","185,241 ","40,703 ","23,190 ","20,454 ","26,126 ","41,702 ","33,594 ","22,645 ","11,930 ","30,705 ","6,096 ","5,644 ","19,264 ","8,554 ","3,291 ","2,489 ","11,324 ","10,565 ","6,620 ","46,234 ","17,872 ","6,852 ","19,683 ","15,333 ","27,091 ","42,533 ","35,743 ","22,413 ","28,067 ","79,122 ","21,582 ","28,625 ","39,487 ","22,015 ","61,458 ","17,869 ","17,178 ","13,315 ","10,844 ","8,689 ","42,941 ","13,450 ","7,468 ","5,710 ","24,024 ","13,901 ","14,785 ","16,346 ","12,813 ","11,227 ","4,040 ","2,322 ","3,709 ","8,351 ","8,447 ","10,911 ","14,549 ","20,639 ","25,672 ","10,458 ","11,821 ","11,594 ","10,597 ","10,837 ","7,826 ","7,364 "
2015/5/2,"4,751 ","11,352 ","22,797 ","57,466 ","16,887 ","11,967 ","8,947 ","3,538 ","2,522 ","11,128 ","1,543 ","4,859 ","12,365 ","8,962 ","15,852 ","7,057 ","8,971 ","5,600 ","7,509 ","4,205 ","6,336 ","7,042 ","2,095 ","24,252 ","2,290 ","13,798 ","10,353 ","13,114 ","16,413 ","16,793 ","8,077 ","34,524 ","21,629 ","28,907 ","25,911 ","5,046 ","31,888 ","23,242 ","21,346 ","18,333 ","14,381 ","182,548 ","42,068 ","21,468 ","19,397 ","28,001 ","43,242 ","32,100 ","25,824 ","9,405 ","27,077 ","6,202 ","5,682 ","16,448 ","9,011 ","3,504 ","2,022 ","9,146 ","9,277 ","6,319 ","48,724 ","18,324 ","6,568 ","17,667 ","13,249 ","28,383 ","41,199 ","33,067 ","21,999 ","28,170 ","87,835 ","17,028 ","30,458 ","39,924 ","23,886 ","58,933 ","15,897 ","16,187 ","10,078 ","8,914 ","8,470 ","50,729 ","13,129 ","10,086 ","4,989 ","21,188 ","14,981 ","14,711 ","17,976 ","12,097 ","11,090 ","4,995 ","2,308 ","3,483 ","7,194 ","8,515 ","9,039 ","13,068 ","20,055 ","25,790 ","9,805 ","11,314 ","12,127 ","9,669 ","10,738 ","7,756 ","7,479 "
2015/5/3,"4,818 ","9,512 ","17,521 ","47,169 ","14,067 ","9,685 ","7,519 ","3,443 ","2,290 ","9,719 ","1,489 ","4,226 ","11,623 ","7,996 ","10,600 ","6,443 ","7,273 ","3,607 ","6,275 ","3,698 ","5,323 ","6,245 ","1,631 ","15,544 ","2,230 ","11,329 ","9,436 ","11,531 ","13,649 ","14,379 ","7,462 ","31,095 ","18,425 ","23,491 ","23,957 ","4,166 ","28,262 ","20,191 ","17,997 ","16,468 ","11,602 ","168,673 ","34,931 ","16,520 ","18,254 ","25,211 ","34,870 ","27,493 ","24,372 ","7,869 ","23,047 ","5,423 ","4,785 ","14,674 ","7,360 ","2,794 ","1,631 ","8,276 ","8,116 ","5,824 ","44,890 ","16,257 ","5,643 ","16,356 ","10,820 ","23,913 ","36,500 ","29,359 ","19,631 ","26,148 ","75,054 ","14,698 ","27,052 ","32,181 ","20,001 ","51,141 ","13,679 ","14,099 ","9,518 ","7,487 ","7,307 ","44,133 ","10,474 ","9,104 ","4,192 ","16,829 ","11,913 ","12,304 ","13,894 ","9,087 ","8,811 ","3,296 ","2,013 ","2,966 ","6,105 ","7,221 ","7,521 ","11,112 ","18,590 ","23,099 ","8,361 ","9,509 ","9,762 ","8,245 ","9,315 ","6,582 ","6,473 "
2015/5/4,"5,664 ","15,756 ","36,068 ","47,611 ","23,644 ","15,249 ","11,737 ","3,851 ","3,135 ","15,476 ","1,959 ","4,558 ","5,303 ","10,338 ","9,049 ","17,311 ","14,510 ","5,340 ","7,839 ","2,789 ","8,268 ","8,423 ","3,500 ","27,282 ","2,022 ","10,193 ","11,840 ","14,999 ","20,188 ","16,053 ","8,662 ","26,732 ","18,241 ","33,231 ","28,817 ","9,136 ","36,201 ","26,008 ","25,486 ","20,173 ","25,704 ","140,730 ","35,909 ","25,060 ","24,556 ","24,593 ","33,749 ","29,519 ","22,490 ","12,732 ","31,528 ","7,303 ","7,226 ","18,555 ","5,656 ","3,570 ","2,939 ","13,401 ","9,949 ","7,614 ","37,133 ","15,641 ","6,691 ","20,174 ","17,852 ","25,946 ","37,722 ","39,863 ","25,041 ","27,177 ","63,294 ","22,984 ","29,777 ","37,385 ","22,546 ","56,117 ","20,049 ","17,619 ","15,821 ","10,589 ","8,559 ","39,302 ","15,830 ","5,955 ","6,368 ","37,639 ","19,250 ","19,397 ","16,396 ","13,703 ","11,221 ","4,146 ","4,013 ","4,002 ","8,614 ","8,216 ","11,232 ","16,919 ","27,463 ","24,297 ","10,693 ","11,713 ","11,869 ","11,218 ","11,220 ","8,113 ","7,502 "
2015/5/5,"5,435 ","16,509 ","38,550 ","49,937 ","24,541 ","16,097 ","11,956 ","3,956 ","3,078 ","16,326 ","1,923 ","4,720 ","4,912 ","10,563 ","9,424 ","18,543 ","15,591 ","5,512 ","7,959 ","2,743 ","8,536 ","8,696 ","3,964 ","27,597 ","2,120 ","9,860 ","12,060 ","15,491 ","20,894 ","16,506 ","8,936 ","26,684 ","18,761 ","34,423 ","28,922 ","9,799 ","36,988 ","26,868 ","26,370 ","20,524 ","26,847 ","133,735 ","36,852 ","24,786 ","25,105 ","25,205 ","32,747 ","29,072 ","23,446 ","13,171 ","32,404 ","7,852 ","7,460 ","18,752 ","5,700 ","3,561 ","3,099 ","13,864 ","10,168 ","7,627 ","33,664 ","15,138 ","6,640 ","20,591 ","18,447 ","26,301 ","38,409 ","40,630 ","25,652 ","26,264 ","60,997 ","24,554 ","30,134 ","38,994 ","22,755 ","54,486 ","21,021 ","17,931 ","16,228 ","10,685 ","8,404 ","25,756 ","16,601 ","6,082 ","6,549 ","39,829 ","20,335 ","20,047 ","16,550 ","13,557 ","11,491 ","4,284 ","4,444 ","4,054 ","9,104 ","8,697 ","11,863 ","17,474 ","28,568 ","23,806 ","10,916 ","12,049 ","12,193 ","11,785 ","11,769 ","7,852 ","7,537 "
2015/5/6,"5,389 ","16,116 ","36,349 ","48,889 ","23,747 ","15,753 ","11,876 ","3,733 ","3,186 ","16,390 ","2,048 ","4,787 ","5,588 ","10,501 ","9,730 ","18,044 ","15,071 ","5,506 ","7,801 ","3,073 ","8,179 ","8,495 ","3,672 ","28,051 ","2,169 ","10,531 ","11,936 ","15,401 ","20,538 ","16,307 ","8,753 ","26,921 ","18,911 ","33,908 ","29,252 ","8,759 ","35,911 ","26,518 ","25,653 ","20,602 ","26,299 ","130,964 ","35,703 ","24,371 ","24,919 ","25,618 ","34,362 ","29,780 ","25,218 ","13,145 ","33,339 ","7,377 ","7,273 ","19,788 ","5,612 ","3,725 ","3,395 ","14,469 ","10,551 ","7,819 ","36,480 ","16,059 ","6,737 ","20,834 ","18,253 ","26,489 ","37,617 ","40,038 ","25,851 ","26,259 ","60,744 ","24,191 ","29,076 ","39,198 ","22,552 ","54,165 ","20,533 ","17,679 ","16,148 ","10,964 ","8,854 ","24,880 ","15,970 ","6,483 ","6,297 ","37,789 ","19,859 ","19,681 ","17,121 ","13,462 ","11,550 ","4,188 ","4,210 ","4,101 ","8,446 ","8,541 ","11,423 ","16,624 ","27,943 ","22,617 ","10,985 ","12,227 ","11,896 ","11,308 ","11,219 ","7,905 ","7,592 "
2015/5/7,"5,521 ","16,128 ","37,088 ","48,751 ","23,953 ","15,500 ","11,621 ","3,676 ","3,084 ","15,674 ","2,035 ","4,641 ","5,649 ","10,327 ","9,870 ","18,215 ","15,090 ","5,457 ","7,865 ","3,011 ","8,356 ","8,424 ","3,629 ","28,035 ","2,239 ","10,593 ","11,930 ","15,426 ","20,697 ","16,241 ","8,627 ","26,811 ","18,884 ","33,769 ","28,547 ","8,834 ","36,074 ","26,241 ","25,597 ","20,349 ","26,323 ","135,366 ","36,795 ","24,043 ","25,530 ","25,541 ","35,044 ","29,569 ","23,818 ","13,215 ","33,124 ","7,492 ","7,667 ","19,276 ","5,572 ","3,722 ","3,107 ","14,092 ","10,534 ","7,753 ","36,397 ","16,237 ","6,852 ","20,630 ","18,141 ","27,139 ","37,506 ","39,814 ","25,957 ","26,331 ","62,169 ","23,867 ","29,476 ","39,546 ","23,111 ","56,552 ","20,665 ","17,721 ","16,050 ","10,865 ","9,085 ","26,687 ","15,955 ","6,394 ","6,261 ","38,043 ","20,119 ","19,361 ","17,385 ","13,269 ","11,201 ","4,244 ","4,140 ","3,976 ","8,585 ","8,245 ","11,531 ","16,461 ","28,047 ","22,732 ","10,963 ","12,165 ","11,943 ","11,554 ","11,440 ","8,145 ","7,407 "
2015/5/8,"6,032 ","16,926 ","37,978 ","59,092 ","24,964 ","16,414 ","12,206 ","3,829 ","3,109 ","15,797 ","2,070 ","4,739 ","5,950 ","10,547 ","11,159 ","18,117 ","15,654 ","5,939 ","8,368 ","3,345 ","9,008 ","9,292 ","3,790 ","29,492 ","2,495 ","11,148 ","12,688 ","16,255 ","21,623 ","16,804 ","9,397 ","30,534 ","20,793 ","35,775 ","32,018 ","8,927 ","37,549 ","27,949 ","26,821 ","21,671 ","26,403 ","191,566 ","41,211 ","25,163 ","26,532 ","27,407 ","38,086 ","31,462 ","25,817 ","13,278 ","33,168 ","7,885 ","7,657 ","20,555 ","5,957 ","3,937 ","3,132 ","13,933 ","10,746 ","7,890 ","38,725 ","17,497 ","7,418 ","22,227 ","18,464 ","29,273 ","44,101 ","41,066 ","26,917 ","27,374 ","72,181 ","24,398 ","31,402 ","44,103 ","26,732 ","67,830 ","21,616 ","18,579 ","17,177 ","11,784 ","9,603 ","29,793 ","17,599 ","7,022 ","6,651 ","39,292 ","20,337 ","20,311 ","18,747 ","13,177 ","11,982 ","4,567 ","4,262 ","4,280 ","9,095 ","9,004 ","11,813 ","17,380 ","28,679 ","24,583 ","11,623 ","13,112 ","12,884 ","11,818 ","11,839 ","8,669 ","7,740 "
2015/5/9,"4,781 ","11,096 ","22,102 ","57,645 ","15,269 ","11,162 ","8,731 ","3,687 ","2,598 ","10,002 ","1,592 ","3,384 ","6,071 ","6,976 ","13,918 ","6,334 ","6,882 ","4,011 ","7,512 ","3,052 ","5,999 ","6,878 ","2,045 ","19,236 ","2,315 ","10,590 ","9,977 ","12,933 ","17,148 ","13,404 ","8,185 ","29,042 ","18,833 ","28,602 ","24,521 ","4,301 ","31,524 ","23,011 ","21,592 ","18,964 ","14,271 ","179,302 ","39,637 ","19,640 ","17,589 ","32,458 ","33,303 ","27,882 ","23,139 ","9,712 ","25,811 ","6,242 ","5,342 ","15,935 ","6,698 ","3,144 ","2,156 ","10,241 ","9,388 ","6,252 ","39,132 ","16,034 ","6,501 ","19,620 ","13,455 ","27,708 ","41,248 ","33,678 ","21,648 ","25,389 ","74,554 ","17,275 ","27,705 ","38,539 ","24,100 ","59,543 ","18,073 ","15,648 ","10,068 ","8,730 ","7,023 ","28,210 ","12,533 ","8,043 ","4,505 ","20,544 ","15,211 ","14,501 ","14,350 ","9,133 ","10,484 ","5,335 ","2,462 ","5,187 ","7,573 ","8,205 ","8,932 ","12,662 ","19,957 ","21,990 ","10,026 ","10,542 ","12,462 ","9,871 ","10,906 ","7,580 ","7,045 "
2015/5/10,"4,211 ","8,214 ","16,041 ","44,605 ","10,814 ","8,356 ","6,845 ","3,203 ","2,342 ","8,524 ","1,319 ","2,575 ","6,427 ","5,980 ","9,784 ","5,560 ","5,443 ","3,325 ","6,054 ","3,043 ","4,887 ","5,735 ","2,021 ","14,285 ","1,933 ","10,436 ","8,418 ","10,848 ","14,152 ","12,430 ","7,329 ","27,686 ","15,770 ","21,160 ","29,254 ","3,292 ","26,703 ","19,231 ","17,422 ","16,147 ","13,026 ","144,855 ","31,260 ","14,070 ","15,536 ","20,268 ","28,775 ","21,912 ","23,073 ","7,562 ","21,103 ","4,967 ","4,247 ","13,632 ","5,992 ","2,824 ","1,575 ","8,051 ","7,785 ","5,746 ","42,790 ","13,007 ","5,364 ","15,332 ","10,698 ","21,209 ","33,258 ","27,112 ","18,126 ","23,031 ","62,040 ","11,700 ","20,628 ","27,932 ","19,895 ","45,152 ","12,671 ","13,520 ","9,210 ","7,461 ","6,415 ","25,172 ","9,507 ","8,395 ","3,562 ","14,295 ","8,958 ","11,661 ","12,522 ","7,764 ","7,625 ","3,657 ","1,766 ","2,802 ","5,564 ","6,899 ","6,920 ","10,232 ","15,227 ","18,723 ","7,787 ","8,601 ","9,684 ","8,067 ","9,389 ","6,405 ","5,991 "
