"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2015/3/1,"4,424 ","9,024 ","16,634 ","44,906 ","11,948 ","9,248 ","7,025 ","3,263 ","2,380 ","9,379 ","1,376 ","3,018 ","10,842 ","6,914 ","11,417 ","5,449 ","5,664 ","3,639 ","6,165 ","3,092 ","5,050 ","6,365 ","1,509 ","17,287 ","2,183 ","10,314 ","9,046 ","11,617 ","14,153 ","13,468 ","7,654 ","38,240 ","18,890 ","22,668 ","24,694 ","3,375 ","28,813 ","20,742 ","18,706 ","17,147 ","11,368 ","171,584 ","33,733 ","15,226 ","17,888 ","52,805 ","38,910 ","27,605 ","24,583 ","8,229 ","23,238 ","5,354 ","5,546 ","17,380 ","9,375 ","3,076 ","1,702 ","9,744 ","7,849 ","5,960 ","41,667 ","13,570 ","5,499 ","15,715 ","10,364 ","23,960 ","37,402 ","28,954 ","18,642 ","26,673 ","72,868 ","12,957 ","29,359 ","31,595 ","25,412 ","53,971 ","13,531 ","14,031 ","9,378 ","7,761 ","7,104 ","20,880 ","10,696 ","7,897 ","3,749 ","16,173 ","10,273 ","11,653 ","14,668 ","9,319 ","9,173 ","3,994 ","1,896 ","2,952 ","6,182 ","7,598 ","7,420 ","10,840 ","18,340 ","19,764 ","8,564 ","9,415 ","10,102 ","8,739 ","9,465 ","6,737 ","6,725 "
2015/3/2,"5,340 ","15,564 ","33,309 ","44,475 ","22,926 ","14,992 ","11,340 ","3,618 ","3,124 ","15,771 ","1,982 ","4,536 ","5,375 ","10,541 ","9,401 ","17,461 ","14,507 ","5,314 ","7,676 ","2,901 ","8,430 ","8,385 ","3,139 ","29,453 ","2,032 ","10,259 ","12,044 ","15,071 ","20,328 ","16,591 ","8,603 ","26,673 ","18,054 ","32,447 ","27,476 ","8,569 ","35,757 ","25,783 ","25,380 ","20,387 ","27,064 ","134,207 ","32,968 ","24,040 ","25,291 ","36,271 ","35,363 ","29,600 ","22,947 ","12,913 ","33,102 ","7,324 ","7,362 ","19,527 ","5,996 ","3,561 ","3,086 ","14,878 ","10,349 ","7,367 ","37,105 ","15,940 ","6,685 ","20,239 ","17,982 ","26,083 ","35,780 ","39,610 ","24,794 ","27,329 ","59,569 ","23,044 ","29,294 ","36,984 ","24,028 ","56,306 ","20,312 ","17,814 ","15,938 ","10,339 ","8,376 ","23,840 ","15,393 ","5,667 ","5,656 ","36,538 ","17,982 ","17,770 ","16,342 ","13,902 ","11,045 ","4,399 ","4,035 ","3,853 ","8,378 ","8,372 ","11,224 ","15,940 ","26,946 ","21,359 ","10,646 ","11,921 ","11,804 ","11,273 ","11,317 ","8,113 ","7,434 "
2015/3/3,"5,052 ","15,999 ","34,845 ","46,019 ","23,640 ","15,557 ","11,619 ","3,734 ","3,112 ","16,340 ","1,995 ","4,706 ","7,227 ","10,545 ","9,655 ","17,977 ","14,919 ","5,601 ","7,899 ","3,281 ","8,371 ","8,614 ","3,215 ","32,214 ","2,080 ","10,743 ","12,179 ","15,239 ","21,013 ","16,546 ","8,665 ","27,532 ","18,890 ","33,056 ","29,365 ","8,743 ","36,365 ","26,641 ","26,106 ","20,728 ","26,897 ","132,556 ","34,500 ","24,525 ","26,185 ","44,352 ","37,722 ","30,783 ","24,013 ","13,292 ","33,387 ","7,710 ","7,656 ","20,420 ","6,237 ","3,638 ","3,163 ","15,001 ","10,433 ","7,851 ","37,878 ","15,894 ","6,612 ","20,657 ","17,924 ","27,150 ","37,001 ","40,332 ","25,204 ","27,349 ","60,477 ","24,050 ","30,295 ","38,073 ","24,523 ","56,735 ","20,843 ","18,008 ","16,355 ","10,679 ","8,881 ","25,714 ","16,097 ","6,109 ","5,627 ","36,633 ","18,594 ","18,259 ","16,782 ","14,123 ","11,323 ","4,738 ","4,101 ","4,118 ","8,636 ","8,318 ","11,404 ","16,241 ","28,331 ","22,294 ","10,990 ","12,260 ","12,168 ","11,524 ","11,614 ","8,311 ","7,461 "
2015/3/4,"5,098 ","16,254 ","35,735 ","48,388 ","23,658 ","16,271 ","12,061 ","3,987 ","3,123 ","16,847 ","2,021 ","4,781 ","5,659 ","10,802 ","9,543 ","18,410 ","15,111 ","5,588 ","8,239 ","2,878 ","8,730 ","8,782 ","3,390 ","33,277 ","2,160 ","10,506 ","12,334 ","15,691 ","20,892 ","16,588 ","9,166 ","28,903 ","19,188 ","34,601 ","30,178 ","9,156 ","37,163 ","26,917 ","26,276 ","20,627 ","26,577 ","136,814 ","35,537 ","24,536 ","25,419 ","36,493 ","35,488 ","30,281 ","24,589 ","12,809 ","33,172 ","7,560 ","7,460 ","19,782 ","5,849 ","3,667 ","3,289 ","14,959 ","10,317 ","7,658 ","35,454 ","15,631 ","6,698 ","20,640 ","18,290 ","26,685 ","37,454 ","41,075 ","25,709 ","27,204 ","61,802 ","25,155 ","31,450 ","39,574 ","25,424 ","58,315 ","22,041 ","18,544 ","16,538 ","10,757 ","8,472 ","27,450 ","16,664 ","5,995 ","5,840 ","37,288 ","19,630 ","19,061 ","16,341 ","14,144 ","11,554 ","4,705 ","4,289 ","4,082 ","8,779 ","8,596 ","11,557 ","17,233 ","28,052 ","23,036 ","10,990 ","12,248 ","12,364 ","11,575 ","11,759 ","8,347 ","7,462 "
2015/3/5,"5,094 ","16,394 ","35,406 ","46,912 ","23,680 ","15,745 ","11,793 ","3,888 ","3,125 ","15,841 ","1,970 ","4,913 ","10,694 ","10,560 ","9,625 ","18,386 ","15,017 ","5,749 ","9,437 ","2,998 ","8,560 ","8,731 ","3,261 ","34,007 ","2,122 ","10,485 ","11,988 ","15,762 ","20,706 ","16,700 ","8,968 ","27,634 ","18,776 ","33,978 ","31,351 ","8,594 ","36,369 ","26,363 ","25,816 ","20,694 ","26,214 ","135,735 ","35,214 ","25,120 ","26,259 ","50,459 ","37,871 ","30,184 ","23,884 ","12,712 ","32,616 ","7,625 ","7,835 ","19,715 ","5,767 ","3,570 ","3,167 ","15,357 ","10,068 ","7,629 ","35,967 ","15,586 ","6,654 ","20,416 ","18,324 ","26,890 ","36,376 ","39,883 ","25,613 ","30,239 ","62,526 ","24,100 ","30,857 ","38,839 ","22,519 ","55,194 ","21,130 ","18,017 ","16,248 ","10,659 ","9,324 ","27,578 ","16,340 ","5,902 ","5,609 ","37,267 ","19,830 ","18,602 ","16,995 ","14,172 ","11,793 ","4,458 ","4,311 ","4,238 ","8,724 ","8,429 ","11,557 ","16,650 ","28,655 ","23,178 ","11,028 ","12,071 ","11,970 ","11,572 ","11,583 ","8,409 ","7,530 "
2015/3/6,"5,640 ","18,145 ","39,244 ","56,386 ","24,887 ","16,719 ","12,915 ","4,044 ","3,209 ","16,851 ","2,082 ","4,750 ","6,666 ","10,947 ","11,413 ","19,296 ","16,382 ","6,110 ","8,778 ","3,091 ","9,173 ","9,643 ","3,515 ","36,357 ","2,426 ","11,156 ","13,034 ","16,652 ","22,207 ","17,982 ","9,655 ","31,772 ","22,167 ","36,776 ","32,819 ","9,097 ","39,787 ","29,143 ","27,617 ","22,076 ","28,678 ","177,442 ","41,877 ","26,762 ","27,746 ","50,639 ","42,249 ","33,274 ","26,059 ","13,383 ","35,326 ","8,113 ","8,342 ","21,197 ","6,913 ","3,957 ","3,312 ","14,646 ","10,849 ","7,947 ","37,863 ","17,439 ","7,223 ","22,431 ","18,716 ","30,024 ","42,704 ","42,475 ","27,228 ","29,449 ","75,429 ","26,467 ","35,052 ","45,431 ","25,995 ","64,980 ","22,470 ","19,671 ","17,588 ","11,989 ","9,754 ","31,185 ","18,090 ","6,927 ","6,415 ","40,750 ","20,670 ","20,611 ","18,994 ","15,093 ","12,574 ","5,099 ","4,738 ","4,394 ","9,363 ","9,749 ","12,061 ","18,316 ","30,944 ","25,394 ","11,972 ","13,227 ","13,556 ","12,336 ","12,439 ","9,077 ","8,511 "
2015/3/7,"4,687 ","12,785 ","24,972 ","60,334 ","18,143 ","11,962 ","10,164 ","3,813 ","3,041 ","11,778 ","1,764 ","4,013 ","10,754 ","8,860 ","13,664 ","7,307 ","7,428 ","4,586 ","8,185 ","3,761 ","6,588 ","8,164 ","1,487 ","28,074 ","3,440 ","12,266 ","10,921 ","14,076 ","17,659 ","16,059 ","9,198 ","38,282 ","23,669 ","31,890 ","31,059 ","4,974 ","35,674 ","26,559 ","23,612 ","20,435 ","19,883 ","189,305 ","45,078 ","24,229 ","21,520 ","85,478 ","50,943 ","35,729 ","24,339 ","10,313 ","30,224 ","6,754 ","6,729 ","19,105 ","10,247 ","3,667 ","2,282 ","11,065 ","10,223 ","6,837 ","44,044 ","15,378 ","6,674 ","18,681 ","13,469 ","30,780 ","42,192 ","35,781 ","23,400 ","30,286 ","91,700 ","17,761 ","36,376 ","43,482 ","24,724 ","61,857 ","16,648 ","18,664 ","11,214 ","10,100 ","8,694 ","32,760 ","14,455 ","10,341 ","4,917 ","23,506 ","24,263 ","15,326 ","20,015 ","11,691 ","12,175 ","5,769 ","2,752 ","4,008 ","8,820 ","9,907 ","9,629 ","14,239 ","23,962 ","25,664 ","11,039 ","11,960 ","12,738 ","10,927 ","11,510 ","8,158 ","8,464 "
2015/3/8,"4,357 ","9,920 ","18,241 ","47,353 ","14,769 ","9,779 ","7,714 ","3,652 ","2,648 ","10,415 ","1,583 ","3,330 ","12,606 ","8,259 ","11,705 ","6,056 ","5,994 ","3,868 ","6,595 ","3,853 ","5,439 ","6,476 ","1,275 ","20,854 ","2,175 ","11,766 ","9,941 ","12,135 ","15,038 ","14,810 ","7,824 ","40,576 ","19,571 ","25,290 ","33,873 ","3,862 ","30,003 ","21,865 ","20,096 ","18,323 ","12,237 ","178,100 ","35,754 ","16,106 ","19,725 ","68,621 ","43,553 ","30,167 ","24,763 ","8,332 ","27,945 ","5,521 ","5,323 ","16,775 ","8,763 ","3,039 ","1,941 ","10,413 ","8,639 ","6,601 ","49,632 ","14,265 ","5,880 ","16,558 ","11,048 ","25,608 ","38,148 ","30,945 ","19,864 ","27,674 ","74,237 ","15,510 ","29,888 ","32,481 ","19,026 ","49,431 ","13,437 ","14,861 ","9,953 ","8,076 ","8,468 ","26,002 ","10,582 ","10,113 ","4,159 ","18,255 ","20,162 ","12,528 ","16,276 ","10,207 ","10,791 ","4,840 ","2,442 ","3,565 ","6,933 ","7,910 ","7,737 ","10,911 ","19,529 ","21,612 ","10,040 ","10,854 ","10,995 ","9,305 ","10,114 ","7,664 ","7,451 "
2015/3/9,"5,035 ","15,744 ","33,844 ","45,347 ","23,126 ","14,844 ","11,521 ","3,797 ","3,066 ","15,856 ","1,962 ","4,637 ","5,427 ","10,625 ","8,892 ","17,481 ","14,956 ","5,293 ","7,669 ","2,768 ","8,283 ","8,337 ","2,992 ","27,974 ","2,023 ","10,041 ","11,721 ","15,159 ","20,315 ","16,230 ","8,690 ","26,893 ","17,847 ","32,820 ","27,415 ","8,494 ","35,345 ","25,309 ","25,254 ","20,415 ","26,490 ","135,017 ","33,695 ","24,083 ","24,733 ","25,683 ","35,586 ","29,451 ","22,796 ","12,926 ","32,803 ","7,241 ","7,125 ","19,377 ","6,124 ","3,481 ","3,196 ","14,016 ","10,197 ","7,661 ","37,979 ","15,108 ","6,622 ","20,083 ","17,716 ","25,893 ","35,992 ","39,112 ","24,813 ","26,851 ","59,976 ","23,083 ","29,575 ","36,888 ","21,789 ","53,522 ","19,500 ","18,038 ","15,918 ","10,415 ","8,660 ","23,262 ","15,499 ","5,717 ","5,583 ","36,574 ","18,464 ","18,060 ","16,510 ","13,784 ","10,849 ","4,182 ","4,089 ","4,007 ","8,331 ","8,546 ","11,156 ","16,411 ","27,796 ","21,579 ","10,629 ","12,151 ","11,845 ","11,240 ","11,260 ","7,893 ","7,396 "
2015/3/10,"5,066 ","16,773 ","36,401 ","48,182 ","24,812 ","16,269 ","12,396 ","4,169 ","3,085 ","16,686 ","1,975 ","4,711 ","5,745 ","10,917 ","9,309 ","18,732 ","15,944 ","5,602 ","8,160 ","2,854 ","8,669 ","8,748 ","3,407 ","28,729 ","2,144 ","10,312 ","12,258 ","15,750 ","21,020 ","16,738 ","9,253 ","27,440 ","19,459 ","34,479 ","29,080 ","9,063 ","37,603 ","27,150 ","26,242 ","20,941 ","27,160 ","134,959 ","35,280 ","24,267 ","25,647 ","25,585 ","34,128 ","29,324 ","22,903 ","13,210 ","32,670 ","7,414 ","7,493 ","19,375 ","6,400 ","3,586 ","3,086 ","14,112 ","10,158 ","7,708 ","34,784 ","15,338 ","6,581 ","20,561 ","18,278 ","26,638 ","37,622 ","40,867 ","25,167 ","26,318 ","61,308 ","24,915 ","30,971 ","38,590 ","23,130 ","55,476 ","21,654 ","18,415 ","16,825 ","10,715 ","8,529 ","24,180 ","16,703 ","5,962 ","5,918 ","38,277 ","19,247 ","19,582 ","16,287 ","14,166 ","11,123 ","4,394 ","4,328 ","4,134 ","9,045 ","8,756 ","11,672 ","17,376 ","28,686 ","23,235 ","10,842 ","12,066 ","12,314 ","11,766 ","11,899 ","7,981 ","7,504 "
