"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2017/6/1,"5,692 ","15,956 ","41,443 ","45,228 ","26,693 ","15,051 ","11,694 ","3,741 ","3,037 ","15,851 ","2,010 ","4,662 ","6,642 ","10,459 ","11,305 ","18,821 ","16,260 ","5,669 ","8,321 ","3,095 ","8,607 ","8,494 ","4,795 ","38,019 ","2,369 ","10,628 ","11,564 ","16,626 ","21,494 ","16,906 ","9,147 ","27,848 ","18,023 ","32,137 ","28,929 ","10,561 ","36,939 ","27,169 ","25,026 ","20,814 ","27,156 ","134,472 ","35,736 ","23,662 ","23,985 ","26,068 ","33,010 ","29,016 ","23,418 ","12,804 ","32,302 ","7,311 ","8,310 ","18,873 ","5,101 ","3,580 ","3,079 ","13,716 ","9,754 ","6,801 ","34,741 ","7,383 ","12,365 ","6,656 ","21,577 ","20,681 ","26,935 ","39,278 ","39,842 ","26,184 ","26,695 ","65,686 ","23,988 ","30,470 ","37,601 ","21,949 ","61,173 ","20,020 ","16,729 ","15,384 ","16,414 ","10,541 ","33,745 ","18,147 ","7,457 ","9,512 ","40,654 ","24,601 ","24,044 ","22,663 ","13,246 ","11,545 ","4,359 ","4,639 ","5,830 ","9,849 ","9,360 ","11,374 ","17,335 ","28,239 ","24,278 ","11,813 ","12,952 ","11,924 ","11,779 ","11,968 ","9,351 ","8,183 "
2017/6/2,"5,892 ","15,891 ","41,225 ","45,476 ","25,445 ","15,481 ","11,787 ","3,918 ","2,912 ","15,209 ","1,982 ","4,239 ","4,702 ","9,507 ","10,744 ","18,666 ","16,125 ","5,688 ","8,312 ","2,836 ","8,800 ","8,711 ","5,123 ","37,380 ","2,329 ","10,216 ","11,562 ","16,160 ","21,067 ","15,946 ","9,490 ","26,988 ","17,893 ","32,213 ","28,052 ","9,981 ","37,001 ","26,857 ","25,196 ","20,572 ","25,542 ","144,300 ","35,007 ","22,623 ","22,598 ","23,803 ","29,717 ","25,709 ","22,213 ","12,271 ","29,876 ","7,161 ","7,994 ","17,362 ","4,784 ","3,437 ","2,926 ","12,527 ","9,220 ","6,166 ","27,605 ","7,368 ","11,994 ","6,681 ","21,333 ","20,164 ","25,609 ","40,814 ","39,176 ","25,684 ","24,683 ","65,279 ","23,678 ","29,897 ","37,159 ","22,387 ","60,641 ","20,154 ","16,386 ","14,933 ","17,782 ","9,220 ","32,368 ","18,160 ","6,864 ","9,397 ","39,636 ","23,546 ","24,648 ","21,174 ","11,483 ","11,124 ","4,112 ","4,662 ","5,746 ","9,912 ","9,801 ","11,085 ","17,639 ","28,226 ","24,030 ","12,062 ","12,632 ","12,555 ","12,206 ","12,126 ","8,935 ","8,419 "
2017/6/3,"5,120 ","13,642 ","35,447 ","51,258 ","23,032 ","12,936 ","10,656 ","3,806 ","2,696 ","13,081 ","1,726 ","3,928 ","5,498 ","7,998 ","11,936 ","12,697 ","12,739 ","5,137 ","7,848 ","2,643 ","7,495 ","7,977 ","4,348 ","31,064 ","2,435 ","9,611 ","10,636 ","15,193 ","18,713 ","14,486 ","9,126 ","28,265 ","16,785 ","28,722 ","29,192 ","7,878 ","35,005 ","25,154 ","22,726 ","18,936 ","16,305 ","149,693 ","38,333 ","20,936 ","20,970 ","23,321 ","27,788 ","26,223 ","20,181 ","10,562 ","26,293 ","5,914 ","5,724 ","15,931 ","5,169 ","3,196 ","1,834 ","8,613 ","8,336 ","5,491 ","28,182 ","6,769 ","11,177 ","6,075 ","19,479 ","15,979 ","25,491 ","43,140 ","35,557 ","23,941 ","24,611 ","75,152 ","20,899 ","28,747 ","38,867 ","24,129 ","62,071 ","19,201 ","15,495 ","13,333 ","17,410 ","8,119 ","31,033 ","16,623 ","7,498 ","9,443 ","36,655 ","20,416 ","22,832 ","18,582 ","8,775 ","10,770 ","3,844 ","3,967 ","5,690 ","9,524 ","10,042 ","10,985 ","16,670 ","25,857 ","24,808 ","11,176 ","11,627 ","12,403 ","11,325 ","11,484 ","8,188 ","7,837 "
2017/6/4,"4,618 ","8,253 ","19,389 ","42,012 ","15,203 ","9,322 ","7,121 ","3,184 ","2,014 ","9,091 ","1,341 ","2,232 ","4,697 ","6,673 ","11,745 ","5,063 ","5,764 ","3,497 ","5,872 ","2,213 ","4,977 ","5,594 ","2,190 ","14,248 ","1,880 ","7,618 ","7,793 ","11,307 ","14,021 ","12,386 ","7,412 ","31,659 ","15,460 ","21,139 ","21,976 ","4,295 ","26,259 ","18,507 ","15,905 ","14,628 ","12,021 ","142,244 ","32,930 ","13,641 ","15,668 ","19,217 ","25,719 ","22,203 ","16,807 ","6,880 ","21,782 ","4,728 ","4,245 ","12,614 ","4,891 ","2,335 ","1,458 ","7,093 ","6,449 ","4,067 ","26,650 ","4,951 ","8,276 ","4,721 ","14,298 ","11,070 ","21,306 ","34,949 ","27,399 ","17,594 ","22,180 ","72,704 ","14,783 ","23,715 ","30,913 ","16,663 ","44,700 ","13,587 ","12,296 ","7,903 ","12,069 ","5,145 ","21,912 ","10,407 ","7,881 ","6,991 ","16,537 ","17,492 ","14,792 ","14,369 ","7,313 ","6,956 ","3,302 ","1,972 ","4,412 ","6,127 ","7,508 ","7,165 ","11,312 ","16,574 ","19,820 ","7,593 ","8,012 ","8,893 ","7,927 ","8,477 ","5,786 ","5,594 "
2017/6/5,"5,644 ","15,410 ","39,542 ","43,452 ","24,403 ","14,661 ","11,194 ","3,788 ","3,018 ","15,444 ","2,130 ","4,255 ","5,309 ","10,444 ","9,737 ","18,511 ","15,571 ","5,147 ","7,800 ","3,011 ","8,438 ","7,832 ","4,715 ","25,883 ","2,232 ","10,100 ","11,084 ","16,484 ","20,414 ","16,316 ","8,888 ","27,410 ","17,685 ","32,090 ","26,838 ","10,821 ","36,272 ","26,216 ","24,520 ","20,499 ","27,365 ","133,722 ","34,474 ","23,596 ","23,270 ","24,731 ","33,169 ","27,793 ","22,604 ","12,592 ","31,547 ","7,354 ","8,329 ","17,841 ","4,654 ","3,386 ","3,103 ","13,785 ","9,698 ","6,896 ","36,150 ","7,335 ","11,987 ","6,888 ","21,243 ","20,516 ","26,099 ","38,636 ","39,010 ","25,951 ","26,942 ","66,785 ","22,201 ","29,799 ","36,013 ","21,365 ","56,833 ","19,112 ","16,345 ","14,851 ","14,767 ","10,220 ","26,010 ","17,372 ","6,975 ","9,983 ","39,819 ","23,141 ","23,955 ","22,853 ","13,652 ","11,027 ","4,253 ","4,752 ","5,684 ","9,621 ","9,487 ","11,231 ","17,312 ","28,208 ","23,327 ","11,573 ","12,335 ","11,917 ","11,652 ","11,691 ","9,119 ","8,172 "
2017/6/6,"5,663 ","15,577 ","40,849 ","44,986 ","25,208 ","15,255 ","11,413 ","3,759 ","2,929 ","15,254 ","2,050 ","4,398 ","7,228 ","10,362 ","10,670 ","18,934 ","15,794 ","5,217 ","8,142 ","3,026 ","8,208 ","7,985 ","4,708 ","26,424 ","2,417 ","10,449 ","11,608 ","16,503 ","21,230 ","16,593 ","9,082 ","27,707 ","18,282 ","32,613 ","28,738 ","10,629 ","36,378 ","26,502 ","24,896 ","20,672 ","27,648 ","134,029 ","35,586 ","24,193 ","23,829 ","26,366 ","33,672 ","28,832 ","23,379 ","13,033 ","32,348 ","7,298 ","8,571 ","18,415 ","5,058 ","3,494 ","3,097 ","13,993 ","9,987 ","6,877 ","34,939 ","7,410 ","12,362 ","6,901 ","21,662 ","20,938 ","27,263 ","38,934 ","39,919 ","26,324 ","26,748 ","65,128 ","23,723 ","30,208 ","37,424 ","24,008 ","57,377 ","19,797 ","16,385 ","15,149 ","15,161 ","10,038 ","26,061 ","17,739 ","7,430 ","9,627 ","39,895 ","23,644 ","24,634 ","23,150 ","13,670 ","11,296 ","4,271 ","4,746 ","5,765 ","9,783 ","9,579 ","11,254 ","17,083 ","28,281 ","24,279 ","11,814 ","12,588 ","12,154 ","11,707 ","11,655 ","9,221 ","8,266 "
2017/6/7,"5,756 ","15,540 ","40,662 ","45,931 ","25,480 ","15,271 ","11,479 ","4,053 ","3,437 ","15,829 ","2,103 ","4,442 ","6,356 ","10,396 ","10,503 ","18,743 ","15,672 ","5,291 ","8,056 ","3,131 ","8,798 ","8,331 ","4,832 ","26,577 ","2,307 ","10,652 ","11,628 ","16,656 ","21,114 ","16,532 ","9,166 ","27,384 ","18,288 ","33,117 ","28,871 ","10,758 ","36,769 ","27,582 ","25,170 ","20,976 ","26,660 ","137,630 ","36,569 ","24,383 ","23,927 ","27,367 ","34,459 ","29,022 ","23,309 ","13,014 ","32,440 ","7,546 ","8,535 ","18,555 ","5,065 ","3,535 ","3,209 ","13,814 ","9,611 ","6,859 ","35,227 ","7,316 ","12,246 ","6,891 ","21,531 ","20,673 ","27,006 ","39,373 ","39,899 ","26,901 ","27,098 ","67,301 ","24,433 ","30,553 ","38,101 ","22,033 ","59,011 ","19,821 ","16,671 ","15,135 ","15,536 ","10,304 ","27,885 ","18,034 ","7,669 ","10,171 ","40,452 ","23,746 ","24,628 ","23,078 ","13,344 ","11,241 ","4,336 ","4,645 ","5,803 ","9,733 ","9,721 ","12,026 ","17,429 ","28,680 ","24,857 ","11,924 ","12,765 ","12,264 ","11,829 ","11,995 ","9,297 ","8,230 "
2017/6/8,"5,737 ","15,632 ","40,934 ","46,785 ","24,838 ","15,033 ","11,473 ","3,831 ","3,534 ","15,351 ","2,008 ","4,333 ","6,859 ","10,263 ","10,923 ","18,700 ","15,560 ","5,104 ","7,915 ","2,912 ","8,381 ","8,155 ","4,773 ","26,514 ","2,390 ","10,509 ","11,506 ","16,410 ","20,838 ","16,621 ","9,061 ","27,804 ","18,390 ","33,326 ","29,009 ","10,624 ","36,432 ","26,978 ","24,759 ","20,734 ","26,036 ","138,431 ","37,517 ","23,750 ","23,605 ","25,722 ","33,243 ","29,587 ","23,736 ","12,516 ","32,408 ","7,417 ","8,488 ","18,396 ","4,995 ","3,574 ","3,006 ","14,006 ","9,644 ","6,793 ","35,674 ","7,447 ","12,341 ","6,857 ","21,327 ","20,669 ","26,939 ","39,414 ","40,104 ","26,586 ","26,771 ","66,787 ","24,075 ","30,815 ","38,433 ","22,061 ","61,513 ","19,755 ","16,410 ","15,242 ","15,890 ","10,796 ","28,931 ","17,976 ","7,248 ","9,653 ","40,397 ","23,975 ","24,670 ","23,445 ","13,319 ","11,683 ","4,261 ","4,660 ","5,818 ","9,961 ","9,444 ","11,414 ","17,657 ","28,427 ","24,661 ","11,798 ","12,693 ","12,018 ","11,928 ","11,643 ","9,427 ","8,187 "
2017/6/9,"6,294 ","16,399 ","42,566 ","53,171 ","26,675 ","15,933 ","12,219 ","3,960 ","3,511 ","15,674 ","2,114 ","4,303 ","7,396 ","10,441 ","11,994 ","18,421 ","15,883 ","5,678 ","8,651 ","3,277 ","8,739 ","8,927 ","4,875 ","27,777 ","2,376 ","11,459 ","12,362 ","17,458 ","22,455 ","18,080 ","9,597 ","30,565 ","20,477 ","34,774 ","31,447 ","10,905 ","38,538 ","28,603 ","26,402 ","21,744 ","27,397 ","174,673 ","42,473 ","26,138 ","24,967 ","28,439 ","37,841 ","31,780 ","25,216 ","12,943 ","33,425 ","7,660 ","8,784 ","19,445 ","5,858 ","3,570 ","3,099 ","13,930 ","10,048 ","6,907 ","38,992 ","7,988 ","13,674 ","7,465 ","22,602 ","20,703 ","29,466 ","45,362 ","41,646 ","27,686 ","29,597 ","79,060 ","24,944 ","34,848 ","44,097 ","25,145 ","70,439 ","20,657 ","17,576 ","15,868 ","18,110 ","10,919 ","33,916 ","19,431 ","8,286 ","10,582 ","42,907 ","24,666 ","25,971 ","24,978 ","14,019 ","13,253 ","4,729 ","4,816 ","6,202 ","10,340 ","10,466 ","11,997 ","18,725 ","30,791 ","26,923 ","12,414 ","13,363 ","12,921 ","12,335 ","12,395 ","9,949 ","8,791 "
2017/6/10,"5,035 ","10,622 ","25,947 ","55,499 ","18,850 ","12,241 ","8,993 ","3,664 ","2,732 ","10,173 ","1,685 ","3,363 ","8,681 ","7,882 ","13,179 ","6,505 ","7,310 ","4,460 ","7,592 ","3,298 ","6,188 ","6,925 ","2,332 ","21,623 ","2,309 ","11,420 ","10,584 ","14,364 ","18,058 ","17,955 ","9,000 ","32,021 ","19,602 ","28,932 ","29,846 ","5,935 ","33,622 ","24,481 ","21,698 ","19,769 ","14,469 ","188,445 ","43,495 ","20,622 ","19,469 ","28,521 ","38,281 ","32,330 ","22,897 ","9,668 ","29,656 ","5,888 ","5,850 ","16,572 ","6,175 ","3,230 ","2,148 ","9,625 ","8,891 ","5,951 ","43,557 ","6,367 ","12,547 ","6,337 ","18,803 ","15,359 ","28,773 ","44,794 ","34,545 ","22,740 ","27,815 ","91,471 ","18,788 ","33,164 ","40,631 ","22,893 ","64,270 ","16,458 ","15,148 ","9,860 ","15,641 ","8,742 ","34,690 ","14,131 ","11,228 ","9,609 ","22,744 ","20,473 ","19,294 ","19,961 ","14,511 ","13,242 ","5,111 ","2,738 ","7,937 ","8,567 ","10,271 ","10,064 ","14,577 ","22,268 ","25,508 ","10,778 ","11,771 ","12,291 ","10,164 ","11,432 ","8,899 ","8,177 "
2017/6/11,"4,901 ","8,535 ","19,131 ","43,925 ","13,261 ","9,311 ","7,127 ","3,417 ","2,231 ","10,432 ","1,439 ","2,836 ","8,002 ","6,625 ","10,740 ","5,709 ","6,567 ","3,746 ","6,372 ","2,860 ","5,378 ","5,810 ","2,022 ","14,552 ","2,107 ","9,892 ","8,628 ","11,789 ","14,027 ","14,960 ","7,693 ","29,393 ","16,295 ","22,747 ","21,371 ","4,614 ","29,899 ","20,579 ","18,212 ","16,733 ","10,856 ","174,318 ","34,876 ","14,376 ","18,233 ","24,217 ","32,832 ","26,278 ","18,356 ","7,590 ","24,240 ","5,122 ","4,881 ","14,782 ","5,204 ","2,791 ","2,096 ","8,137 ","7,444 ","4,988 ","36,283 ","5,954 ","9,959 ","5,378 ","15,741 ","12,104 ","22,593 ","39,435 ","28,141 ","18,985 ","23,368 ","75,045 ","12,749 ","24,422 ","30,924 ","17,579 ","52,093 ","13,804 ","13,580 ","8,993 ","12,703 ","6,783 ","29,066 ","10,716 ","10,216 ","7,416 ","17,704 ","11,832 ","14,415 ","14,471 ","8,086 ","12,878 ","3,763 ","2,205 ","6,508 ","7,017 ","8,036 ","8,102 ","11,829 ","17,588 ","20,895 ","8,972 ","9,186 ","9,606 ","8,586 ","9,075 ","7,190 ","6,592 "
2017/6/12,"5,921 ","15,209 ","39,331 ","43,649 ","24,444 ","14,844 ","11,302 ","3,867 ","2,915 ","15,350 ","2,019 ","4,385 ","5,790 ","10,054 ","9,716 ","18,226 ","15,424 ","5,168 ","7,948 ","2,913 ","8,294 ","7,877 ","4,727 ","25,579 ","2,311 ","10,498 ","11,432 ","16,289 ","20,653 ","15,963 ","8,933 ","26,663 ","17,504 ","32,023 ","26,842 ","10,437 ","36,393 ","26,236 ","25,228 ","20,504 ","25,963 ","140,220 ","33,989 ","23,371 ","22,903 ","24,142 ","30,634 ","27,456 ","22,619 ","12,348 ","31,172 ","7,282 ","8,156 ","17,581 ","4,452 ","3,383 ","3,062 ","13,230 ","9,726 ","6,557 ","34,407 ","7,152 ","12,043 ","6,745 ","21,112 ","20,147 ","25,620 ","39,646 ","39,160 ","25,544 ","25,995 ","63,647 ","21,853 ","29,305 ","36,336 ","20,639 ","58,535 ","19,222 ","16,144 ","14,774 ","15,673 ","9,467 ","30,095 ","17,316 ","6,777 ","9,660 ","38,613 ","22,934 ","23,788 ","21,832 ","13,297 ","11,003 ","4,152 ","4,553 ","5,496 ","9,705 ","9,667 ","11,304 ","17,019 ","27,691 ","22,731 ","11,684 ","12,439 ","12,334 ","11,989 ","12,153 ","9,240 ","8,208 "
